"org_name","country","facebook_url","followers_estimate","social_strength","notes"
"Hopitutuqaiki Language Immersion School","United States","https://www.facebook.com/p/Hopitutuqaiki-100083402467331/","769 likes","6","moderately active — ~769 likes, ~95 talking about this | Kykotsmovi, Hopi Reservation, Arizona. Small, privately-funded Hopi-language immersion Montessori program (ages 3-6) held at the Peace Academic Center. Outreach should be warm/personal given small scale (Coordinator: Paulesha Sewemaenewa, 928-814-0091)."
"Hopscotch Montessori Kyiv (via Seeds for Ukraine)","Ukraine","https://www.facebook.com/hopscotch.montessori.kyiv/","","5","actively indexed/current | Staronavodnytska 6b, Kyiv 01015 (+38 067 234-91-15). Part of a larger 'Hopscotch Montessori' network with campuses in Kyiv and NYC — LinkedIn/some IG activity may be shared across campuses rather than Kyiv-exclusive."
"Horme — Red de Proyectos Sociales Montessori","Mexico","","","0","unquantified; referenced via third-party mentions (Montessori México, Educación Montessori pages) rather than strong first-party signal [GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB] | Horme is an umbrella NETWORK (est. 2019, grew out of Educateurs sans Frontières' 7th Assembly, with Montessori México/AMI) connecting ~18 Montessori social-impact projects across Mexico — NOT itself a single school. Possible IG @horme_montessori found but tied to 'Comunidad Montessori Hormé' in Cuernavaca, a specific MEMBER project, not the network — excluded from instagram_url to avoid conflation. Unrelated Polish account (@szkola.horme.montessori) also surfaced — false positive, not used."
"Isla Montessori School","Northern Mariana Islands (USA)","https://www.facebook.com/islamontessori.org/","","4","active, includes videos, appears regularly maintained | Dandan, Saipan. Founded 2018, serves ages 2.5-9, offers Chamorro/Carolinian language instruction. 2025 Montessori Global Growth Fund grantee, has an active GoFundMe. Phone (670) 287-5282."
"Keila Montessori MTU","Estonia","https://www.facebook.com/KeilaMontessori/","","5","active — recent posts found (e.g. hiring post for a Montessori group assistant) | NGO founded by local mothers to promote Montessori pedagogy in Keila. Runs one authentic Montessori group (ages 3-6) + a combined-age classroom (grades 2-4). 2025 Montessori Global Growth Fund grantee. Website keilamontessori.ee. Distinct from 'Keila Rukkilille Lasteaed' (separate municipal kindergarten, also has Montessori groups + its own FB page) — do not conflate."
"Little Tree Community (A Wildflower Montessori School)","United States","https://www.facebook.com/p/Little-Tree-Community-A-Wildflower-Montessori-School-61556915281928/","","3","Hollister, California. Founded 2020 by Sandra & Natasha Schwehr; part of the national Wildflower Schools micro-school network. Serves ages 2-10, blends Montessori with nature play/cooking/gardening. IG has Reels content (e.g. a reel about opening a new location). 1149 Powell Street, Hollister, CA 95023."
"Loo Kindergarten - Paasupesa Montessori Group","Estonia","https://www.facebook.com/p/Loo-Lasteaed-P%C3%A4%C3%A4supesa-100057060415394/","558 likes","5","established page — 558 likes, 129 check-ins | Page is for the whole Loo Lasteaed kindergarten, not the Montessori group specifically; related public FB group Montessori Joelahtme vallas also exists"
"MTU Montessori Kiili vallas","Estonia","https://www.facebook.com/p/MT%C3%9C-Montessori-Kiili-vallas-100090426780621/","","4","unquantified — appears to be a smaller/newer community NGO page | Name, location (Kiili municipality) and mission match exactly; related public FB group Montessori Kiili vallas also exists"
"Mithing Pangarap Educational Foundation Inc. (Smokey Mountain outreach)","Philippines","https://www.facebook.com/mpefi/","","5","Active, recent Reels/video content | Official page confirmed via mpefi.org homepage link; outreach arm of Philippine Montessori Center"
"Montessori del Mundo Charter School","United States","https://www.facebook.com/MontessoriDelMundo/","","4","Active, confirmed via montessoridelmundo.org and PR mentions | Distinct from the separate Montessori del Mundo PTO FB page (facebook.com/MontessoridelmundoPTO), which is the parent group not the school"
"Montessori for Lebanon","Lebanon","https://www.facebook.com/montessori.for.lebanon","","2","Recent post activity not confirmed from snippets | Name/Beirut location match well; official site montessori-lebanon.org exists. Do not confuse with separate Lebanese Montessori Association page (facebook.com/MontessoriLB)"
"Montessori Forest","Israel","AMBIGUOUS: https://www.facebook.com/montessoriforestisrael/","210 likes","2","Page named Yaldei HaChoresh (Forest Children), Tel Aviv, ~210 likes | Could not confirm this page is tied to the Mikveh Israel campus specifically; Mikveh Israel youth village hosts Montessori kindergartens generally but no page explicitly named Montessori Forest on that campus was confirmed"
"Montessori Foundation Ghana","Ghana","https://www.facebook.com/MontessoriFoundationofGhana/","","3","Recent activity not independently verified from snippets | Name/location (Labone, Accra) match org description; a similarly named site themontessorifoundationofghana.com also surfaced -- worth manual check before outreach"
"Montessori Head Start Program at Premier Academy Inc.","United States","https://www.facebook.com/PremierAcademyAtlantaGA","","3","Activity not verified via snippets; link pulled directly from org's own site footer | FB and Instagram links pulled directly from premier-academy.org contact footer; page covers both Premier Academy locations, the Renaissance location hosts the Montessori Head Start program"
"Montessori International School of Vietnam — HMD Orphanage Kindergarten Program","Vietnam","https://www.facebook.com/MontessoriInternationalSchoolofVietnam/","","4","Active, established school page since 2007 | HMD Orphanage Kindergarten program is run directly by MIS (confirmed via montessori.edu.vn/about-us/charity), not a separate entity -- MIS's own school FB page is the correct contact point"
"Montessori Public Schools Thailand (EsF initiative)","Thailand","NONE","","1","NONE | Nationwide AMI/EsF-run initiative across 82+ public schools, not a single institution with its own page. Closest is AMI ESF's own page (facebook.com/MontessoriESF, Amsterdam-based parent org) -- not Thailand-specific. Montessori Thailand (facebook.com/Thailand.Montessori) and Montessori Association of Thailand are separate bodies, not confirmed as this initiative. NOTE: also on the 20-school EsF partnership letter in the Jul7 campaign -- info@montessori-esf.org may already be the right contact route"
"Mulberry Forest Montessori","United States","https://www.facebook.com/mulberryforestschool","75 likes","4","Active, ~75 likes, recent hiring posts referencing current season | Confirmed via cross-link with official website mulberryforestschool.net; page titled Mulberry Forest School (not ...Montessori in the URL/name) but content confirms it is the Montessori forest school"
"Ncinci One's Montessori","South Africa","https://www.facebook.com/p/Ncinci-Ones-Montessori-Hole-in-the-Wall-100080748454470/","1744 likes","6","Active, 1,744 likes | Confirmed via samontessori.org.za and GlobalGiving as the same project at Hole in the Wall/Coffee Bay, Eastern Cape"
"Northern Blooms Montessori","United States","https://www.facebook.com/northernblooms.co/","","5","Appears active, linked from official school website | FB page name and profile explicitly match Traverse City MI school; also has active Instagram"
"NPH Honduras — Casa Santa Ana Montessori Program","Honduras","NONE","","0","NONE | Could not confirm a dedicated FB page for the Montessori program itself. A Montessori Bilingual School Santa Ana FB page exists but appears to be a Dominican Republic NPH facility (Casa Santa Ana DR), not Honduras -- do not use, likely wrong country. NPH Honduras general LinkedIn found instead"
"O.B. Montessori Child and Community Foundation — Pagsasarili Preschools","Philippines","AMBIGUOUS: https://www.facebook.com/pages/O.B.%20Montessori%20Pagsasarili%20School%20San%20Juan%20City/1883886908563434/","","3","Activity level unclear from snippets | Parent org OB Montessori Center's official page is facebook.com/obmcofficial (40,879 likes, clearly active) but that is the HQ school, not the Pagsasarili Foundation specifically; the Pagsasarili-specific San Juan page is plausible but unverified further"
"Pulse of Life Kindergarten","Syria","NONE","","1","NONE | No Facebook page or other social profile found matching this specific kindergarten name in Dara'a; searches returned only unrelated Dara'a community pages and an unrelated 'Pulse and Life' volunteer team"
"Salado Montessori Inc.","United States","https://www.facebook.com/SaladoMontessori/","576 likes","5","Active, 576 likes, 417 check-ins, recent event promotion post | Matches official school name, address, and website saladomontessori.com exactly"
"Sekoly Kintana (Trilingual Montessori School)","Madagascar","https://www.facebook.com/sekolykintana","","4","Facebook link found directly embedded on the school's own official homepage header | Confirmed directly from sekolykintana.org homepage which links to this exact Facebook URL as their own page"
"St. Croix Montessori School","United States Virgin Islands","https://www.facebook.com/StCroixMontessori/","1376 likes","6","Active, 1,376 likes, 206 visits | Matches official school name and Christiansted location exactly, corroborated by official website stcroixmontessori.com"
"St. Joseph Montessori School (Likwakwanda)","Malawi","NONE","","1","NONE | No dedicated FB page found after multiple searches (school name, Thyolo, Likwakwanda, Warm Heart Ministries); only unrelated same-named schools elsewhere (Columbus OH, Joliet IL, Buduburam Ghana) surfaced"
"St. Joseph Montessori School (Ndirima-Litembo)","Tanzania","NONE","","1","NONE | No dedicated FB page found across several query variants (school name, Ndirima, Songea, VLA Global Foundation); only unrelated St Joseph schools in Tanzania surfaced"
"Tartu Forselius School (Montessori classroom)","Estonia","https://www.facebook.com/forseliusekool/","","5","Active, recent live videos and posts | Confirmed match: Tartu Forseliuse Kool opened Estonia's first public-school Montessori class in Sept 2024; page is for the whole school, Montessori class is one program within it"
"TESMA — Trilingual Elementary Montessori School of Madagascar","Madagascar","NONE","","1","NONE | No dedicated FB page found despite multiple query variants; facebook.com/TMESNM is a different unrelated school; parent partner org Education For Madagascar has an active FB page but is not TESMA-specific"
"The Sundrop School","United States","https://www.facebook.com/sundropmontessori/","","5","Active, recent posts referencing current session and ongoing programs | Confirmed match, Roscommon MI nature-based Montessori school matches brief exactly"
"VsI Garstycios Grudelis (The Mustard Seed)","Lithuania","https://www.facebook.com/garstyciosgrudelisdarzelis/","","5","Active, recent video posts visible in search results | Confirmed Kaunas Montessori kindergarten matches MGGF grant listing exactly; name translates to Mustard Seed as expected"
"Vusumnotfo — Building a Preschool in Rural Swaziland","Eswatini","https://www.facebook.com/people/VusumnotfoEswatini/100069255605925/","1067 likes","6","Active, ~1,067 likes, 4 talking about it, 3 check-ins | Confirmed via own website vusumnotfo.org, Piggs Peak northern Eswatini community org matches brief exactly; org is a broader early-childhood community program, not solely a single preschool building"
"Zama Montessori Centre","South Africa","NONE","","0","NONE | No confirmed Facebook page found after multiple searches; founder confirmed as Bukelwa Selema per samontessori.org.za but no matching centre FB page located. Email found incidentally via Benoni City Times article -- flag back to email track since a working address may exist"
"Divine Mercy Montessori School","Uganda","","","0","unknown [GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB] | AMBIGUOUS — 'Divine Mercy' is an extremely common Catholic school name; found candidates in Nigeria (facebook.com/DMSABUJA, Abuja — runs a Montessori method nursery), Kenya (founded 1994 by Fr. George Gathongo, serving needy children — no confirmed FB), and Uganda (facebook.com/Divinemercyvulnerableinfanteducationproject, Kanungu). Source row says Uganda/Buikwe District specifically but none of the found pages confirm that exact location — do not use any of these without further verification."
"Nomadic Samburu Montessori Schools (EsF)","Kenya","https://www.facebook.com/montessoriami","","4",""
"Olive Branch Montessori Academy (TOBFC)","Tanzania","https://www.facebook.com/theolivebranchforchildren","","4",""
"Peter Hesse Foundation Montessori Preschools","Haiti","https://www.facebook.com/peter.hesse.564","","4",""
"3 Mariposas Montessori","Dominican Republic","https://www.facebook.com/3MariposasMontessori","","4",""
"Shishur Sevay (Childlife Preserve) — inclusive Montessori home & free preschool","India","https://www.facebook.com/ShishurSevay","","4",""
"Lumin Education","United States","https://www.facebook.com/lumineducation","","4",""
"Fundación Argentina María Montessori (FAMM) — social programmes","Argentina","https://www.facebook.com/MontessoriArgentina","","4",""
"Born Inside — Maria Montessori Institute outreach","United Kingdom","https://www.facebook.com/MariaMontessoriInstitute1","","4",""
"Crossway Community Montessori","United States","","","0"," [GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB]"
"Montessori Partners Serving All Children (Montessori Center of Minnesota)","United States","https://www.facebook.com/Montessori-Center-of-Minnesota-110526718970660","","4",""
"Montessori UA (Montessori Ukraine NGO) — IDP scholarships","Ukraine","https://www.facebook.com/ngo.montessori.ukraine","","4",""
"Corner of Hope Montessori (New Canaan & Kisima)","Kenya","https://www.facebook.com/montessoriami","","4",""
"Ikhaya Labantwana Montessori","South Africa","http://www.facebook.com/FriendsOfIkhayaLabantwana","","4",""
"Footprints CBO Montessori Schools","Kenya","","","0","[GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB] | No dedicated Facebook/social page found. Small community-based org (MGGF grantee) running mobile tented Montessori classrooms for Samburu nomadic pastoralists — likely too small/informal for its own social presence. Related-but-distinct orgs exist (Montessori for Kenya, Montessori EsF Samburu Nomadic School Initiative, SARARA Foundation) — none confirmed as this specific CBO, not used to avoid misattribution."
"Indaba Institute (CoRE South Africa)","South Africa","https://www.facebook.com/Indaba-Montessori-Institute-1837164239885410","","4",""
"UPAVIM K-6 Montessori School","Guatemala","https://www.facebook.com/UpavimCrafts","","4",""
"Association Maria Montessori de Côte d'Ivoire (AMMCI)","Côte d'Ivoire","https://www.facebook.com/tr","","4","No confirmed FB/social page found via web search. Only AMI-certified Montessori training center in Cote d'Ivoire, HQ Abidjan Cocody, inside 'Ivory Montessori School'. Website association-montessori-cotedivoire.com has a 'Devenir membre' page but no email surfaced. Recommend direct in-platform FB search for 'Ivory Montessori School' as next step."
"City Garden Montessori School","United States","https://www.facebook.com/CityGardenMontessori","","4",""
"Family Star Montessori","United States","https://www.facebook.com/familystarmontessori","","4",""
"East Pokot Montessori Teacher Training Initiative (EsF)","Kenya","https://www.facebook.com/montessoriami","","4",""
"Kadrioru Montessori Kool MTÜ","Estonia","https://www.facebook.com/profile.php","","4",""
"Hopitutuqaiki — The Hopi School","United States","","","0"," [GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB]"
"Nokuphila School & ECD Teacher Training (The Love Trust)","South Africa","https://www.facebook.com/LoveTrustSA","","4",""
"Instituto Nueva Escuela (INE) — Public Montessori transformation network","Puerto Rico (USA)","","","0"," [GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB]"
"Torres Strait & Lockhart River Indigenous Montessori Programs (Montessori Children's Foundation)","Australia","https://www.facebook.com/MontessoriChildrensFoundation","","4",""
"Bambini in Emergenza — Floare de Colt Montessori Community Centre","Romania","https://www.facebook.com/BambiniinEmergenzaFoundation","","4",""
"ANIFU — Santa Catarina Pinula Montessori (Orphan Outreach)","Guatemala","https://facebook.com/OrphanOutreach","","4","No dedicated ANIFU Facebook page found. AMBIGUOUS: a similarly-named but UNRELATED private school 'Colegio Internacional Montessori' (facebook.com/montessori.gt) exists in the same town — do NOT use, it is a different, established private school, not ANIFU's low-income municipal program. Contact best via orphanoutreach.org."
"Centro de Aprendizaje Ananda","Mexico","https://www.facebook.com/p/Centro-de-Aprendizaje-Ananda-100076444412951/","","4","Found via WebSearch this session. Rural Montessori center, Oaxaca Mexico; page exists, activity level not independently quantified from snippets."
"Inkwell Montessori","United States","","","0","The only FB page findable under this exact name (facebook.com/inkwellmontessori, 224 likes) belongs to an UNRELATED Georgetown, ON Canada school — master row confirms this org is in Cambridge, MA. No confirmed FB page for the correct entity; do not use the Georgetown page."
"Lilima Montessori High School","Eswatini","https://www.facebook.com/lilimamontessorihigh/","","5","Found via WebSearch this session. IB World School, Mbabane Eswatini; page confirmed via official site link, activity not independently quantified."
"Montessori for Kenya (East Pokot & Corner of Hope umbrella NGO)","Kenya","https://www.facebook.com/Montessoriforkenya/","416 likes","6","Found via WebSearch this session. AMI-affiliated NGO umbrella, 416 likes confirmed in snippet."
"Odessa Charity Foundation Way Home — Early Learning for Vulnerable Children","Ukraine","","","2","No dedicated Facebook page confirmed via WebSearch this session; org is active via its own site (wayhome.org.ua) and multiple charity-platform listings (GlobalGiving, HasanaH) — real, well-documented org, just no FB link surfaced."
"Seametrey Children's Village Montessori Nursery","Cambodia","https://www.facebook.com/seametreycambodia/","","5","Found via WebSearch this session. Established NGO school, Tonle Bati/Phnom Penh Cambodia, founded 2003; page confirmed, activity not independently quantified."
"Foundation for Montessori Education in Nigeria (FMEN)","Nigeria","","","1","No confirmed dedicated Facebook page; an Instagram handle (instagram.com/foundationformontessori) was found instead. AMI-affiliated society."
"Friends of Morazán — Montessori Pre-School","Nicaragua","","","1","No dedicated Facebook page confirmed via WebSearch this session; UK-registered charity (#1111253) is well-documented via its own site and charity-commission listings instead."
"Harrington Elementary Children's House","United States","","","0","Could not disambiguate from several unrelated ""Children's House Montessori"" schools nationwide (no city/state in master row) — no social footprint attempted."
