org_name,country,old_email,found_email,seen_where,facebook_url,notes
Crescent Islamic Montessori School (CIMS),United States,not_found,cimsadmin@cimschool.com,web_fetch of cimschool.com (page footer),https://www.facebook.com/Crescent-Islamic-Montessori-School-CIMS-530132203691706,"Beaverton, OR"
Cypress Junction Montessori (CJM),United States,not_found,info@cypressjunction.org,WebSearch snippet of cypressjunction.org/contact,https://www.facebook.com/MontessoriofWinterHaven/,"Winter Haven, FL"
Hill View Montessori Charter Public School,United States,not_found,hschultz@humcps.org,"WebSearch snippet, profiles.doe.mass.edu admin listing",https://www.facebook.com/HillViewMontessoriCharterPublicSchool/,"Haverhill, MA; administrator Jeanne Schultz — not a generic info@ address, verify before mass-send"
Hilltop Montessori School,United States,not_found,frontdesk@hilltopmontessori.org,WebSearch snippet of hilltopmontessori.org,https://www.facebook.com/hilltopmontessorischoolvt/,"Brattleboro, VT"
Mithing Pangarap Educational Foundation Inc. (Smokey Mountain outreach),Philippines,not_found,info@mpefi.org,WebSearch snippet of mpefi.org/index.php/contact.html,https://www.facebook.com/mpefi/,"Manila, Philippines"
Tartu Forselius School (Montessori classroom),Estonia,not_found,kool@tfk.tartu.ee,WebSearch snippet of tfk.tartu.ee,https://www.facebook.com/forseliusekool/,"Estonia; general whole-school email — the Montessori class is one program inside this larger school, not a dedicated Montessori-only address"
Montessori for Lebanon,Lebanon,not_found,marhaba@montessori-lebanon.org,web_fetch of montessori-lebanon.org (footer mailto link),https://www.facebook.com/montessori.for.lebanon,Beirut/national NGO
Vusumnotfo — Building a Preschool in Rural Swaziland,Eswatini,not_found,vusumnotfo@gmail.com,web_fetch of vusumnotfo.org/about (Contact Us block),https://www.facebook.com/people/VusumnotfoEswatini/100069255605925/,Eswatini; director Katherine Gau
Montessori International School of Vietnam — HMD Orphanage Kindergarten Program,Vietnam,not_found,montessorischoolvietnam@gmail.com,web_fetch of montessori.edu.vn/about-us/charity (footer mailto link),https://www.facebook.com/MontessoriInternationalSchoolofVietnam/,"Ho Chi Minh City; MIS is the parent school running the HMD orphanage kindergarten program, not a separate org"
O.B. Montessori Child and Community Foundation — Pagsasarili Preschools,Philippines,not_found,info@obmontessori.edu.ph,web_fetch of obmontessori.edu.ph/contactus,AMBIGUOUS: https://www.facebook.com/pages/O.B.%20Montessori%20Pagsasarili%20School%20San%20Juan%20City/1883886908563434/,"San Juan City, Philippines; center-wide email — Pagsasarili is OB Montessori Center's own outreach program, not a separately incorporated org"
Ncinci One's Montessori,South Africa,not_found,NOT_FOUND,,https://www.facebook.com/p/Ncinci-Ones-Montessori-Hole-in-the-Wall-100080748454470/,"Multiple pages checked (wildcoast.co.za, samontessori.org.za, GlobalGiving) — no dedicated email surfaced; phone 0027 76 9551008 and Facebook page (100080748454470) are the only working contact channels"
Footprints CBO Montessori Schools,Kenya,not_found,NOT_FOUND,,http://www.facebook.com/2008/fbml,"Only the grantor (Montessori Global Growth Fund, contactus@montessori-mggf.org) surfaced — that is MGGF's own address, not Footprints CBO's; do not attribute"
St. Joseph Montessori School (Ndirima-Litembo),Tanzania,not_found,NOT_FOUND,,NONE,Vern Lal Global Foundation (vlalgf.org) sponsors the school but no direct school email found; sjms.net has a contact form but it is unconfirmed whether it is the same institution
St. Joseph Montessori School (Likwakwanda),Malawi,not_found,NOT_FOUND,,NONE,Sponsored by Warm Heart Ministries (US 501c3) — no direct school or sponsor email surfaced
Association Maria Montessori de Côte d'Ivoire (AMMCI),Côte d'Ivoire,not_found,NOT_FOUND,,https://www.facebook.com/tr,"Site (association-montessori-cotedivoire.com) has a membership/chat widget only, no email published"
Montessori Foundation Ghana,Ghana,not_found,NOT_FOUND,,https://www.facebook.com/MontessoriFoundationofGhana/,Official site (montessorifoundationghana.org) returned no readable contact content on fetch; Facebook page exists (MontessoriFoundationofGhana) but no email in search snippets
TESMA — Trilingual Elementary Montessori School of Madagascar,Madagascar,not_found,info@sekolykintana.org,"sekolykintana.org footer (WebFetch, direct text: 'info@sekolykintana.org'). Sekoly Kintana is TESMA's parent/sister school network in Fort Dauphin per the original row's own notes.",NONE,"School has not yet opened (planned Sept 2026 per search snippets); overseen by NGO ""Education For Madagascar"" — no dedicated email surfaced yet | Verified live site Jul 2026; also WhatsApp +261 38 73 158 05 listed on same footer."
Harmony Montessori School,United States,not_found,harmony.enrollment@harmony-montessori.com,"WebSearch summary of harmony-montessori.com (surfaced consistently across 2 independent queries); NOT literally present in the raw HTML of harmony-montessori.com/contact (that page renders a JS lead-gen form, no visible email in fetched markup)",,"Confirmed as the Portland, OR (Outer Southeast) school via master row match. Site (harmony-montessori.com) offers only a contact form, no published email address | LOWER CONFIDENCE — verify by phone (503) 255-5337 or the contact form before relying on this address; may be a search-engine inference from cached page data not visible to our fetch."
Harrington Elementary Children's House,United States,not_found,NOT_FOUND,,,"Name too generic / no city given in master row to disambiguate from several unrelated ""Children's House Montessori"" schools nationwide"
Montessori Forest,Israel,not_found,NOT_FOUND,,AMBIGUOUS: https://www.facebook.com/montessoriforestisrael/,"Prior social-research pass flagged the only candidate FB page (facebook.com/montessoriforestisrael, ""Yaldei HaChoresh"") as AMBIGUOUS/possibly a different org — no email attempted on an unconfirmed entity"
VsI Garstycios Grudelis (The Mustard Seed),Lithuania,not_found,darzelisgrudelis@gmail.com,"garstyciosgrudelis.lt/kontaktai (WebFetch, direct text under 'Kontaktai': 'darzelisgrudelis@gmail.com')",https://www.facebook.com/garstyciosgrudelisdarzelis/,"Kaunas kindergarten; website (garstyciosgrudelis.lt) and Facebook page confirmed to exist, but no email surfaced in search snippets | Also phone +37061409501; FB facebook.com/garstyciosgrudelisdarzelis"
Mulberry Forest Montessori,United States,not_found,NOT_FOUND,,https://www.facebook.com/mulberryforestschool,"Wilmington/Reading, MA (new Montessori-forest-school program, opened 2025) — a ""Head of School, Mary Saba"" contact was referenced in search results but the actual email string was redacted/not directly visible; NOT logged as a confirmed find per the never-construct rule"
Pulse of Life Kindergarten,Syria,not_found,NOT_FOUND,,NONE,"No confirmed match found. A different, established ""International Montessori School"" in Damascus (montessori-sy.org, info@montessori-sy.org) surfaced but could NOT be confirmed as the same entity — not logged as a find"
Global Education Campaign / Dosti Foundation — purpose-built school with Montessori classroom,Pakistan,not_found,info@dostiwelfare.org,"dostiwelfare.org/who-we-are (WebFetch; Cloudflare /cdn-cgi/l/email-protection hash on-page, decoded: info@dostiwelfare.org). Dosti Welfare Organization is the Pakistan operating arm of Global Education Campaign (Munir Ahmad).",https://www.facebook.com/p/DOSTI-foundation-School-100071043978820/,Dostifoundation.org / dostiglobal.com/contact exist but were not directly fetched for a contact email this pass | Also WhatsApp +92-370-0136-784; HQ Peshawar. Distinct from a second cdn-cgi hash elsewhere on the same page that decodes to an unrelated ad-widget address (office@tecnologia.com) — NOT used.
ANIFU — Santa Catarina Pinula Montessori (Orphan Outreach),Guatemala,not_found,info@orphanoutreach.org,"orphanoutreach.org/program/46/montessori footer (WebFetch, direct text: 'info[at]orphanoutreach.org')",https://facebook.com/OrphanOutreach,"Program run by Orphan Outreach (orphanoutreach.org) — no ANIFU-specific or program-specific email surfaced. NOTE: an unrelated ""Colegio Internacional Montessori"" (facebook.com/montessori.gt) exists in the same town — confirmed NOT the same entity, do not use | General Orphan Outreach US HQ (Plano, TX) email, not ANIFU-Guatemala-specific — Orphan Outreach manages ANIFU's partnerships/comms centrally."
NPH Honduras — Casa Santa Ana Montessori Program,Honduras,not_found,info.hn@nph.org,"nph.org/contact-us, Honduras national-office block (WebFetch; Cloudflare /cdn-cgi/l/email-protection hash on-page, decoded: info.hn@nph.org)",NONE,"DATA FLAG: search results place ""Casa Santa Ana"" in EL SALVADOR (opened 2003), not Honduras — the master row's country may be mislabeled. No email surfaced for either the Honduras or El Salvador NPH program | This is NPH's Honduras national-office general contact (Tegucigalpa), not Casa Santa Ana-specific — Casa Santa Ana is one of NPH Honduras's programs, no separate published address found."
Hilda Rothschild Foundation — EDUCAMBIO/Montessori Program,El Salvador,not_found,NOT_FOUND,,https://www.facebook.com/Educambio/,"US-side foundation office (Scarsdale, NY) confirmed via GuideStar/ZoomInfo; hrffoundation.org site not directly fetched for an email this pass"
Friends of Morazán — Montessori Pre-School,Nicaragua,not_found,NOT_FOUND,,,"UK-registered charity (#1111253, friendsofmorazan.org); site not directly fetched for a contact email this pass"
Divine Mercy Montessori School,Uganda,not_found,not_found,"WebSearch (multiple queries) found only unrelated 'Divine Mercy' schools in Uganda — Fort Portal secondary school (mercy2018@gmail.com, different institution/region), Kanungu FB page, Divine Mercy Primary FB page — none confirmed as the Buikwe District MGGF grantee",,"MGGF current+2026-renewal grantee, Buikwe District; trains teacher Grace in AMI 3-6 Diploma. No verifiable email found for the correct Buikwe-District school; best channel is likely via MGGF (montessori-mggf.org) directly."
