"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"Bruh Tesfa Montessori Kindergarten Teacher Training Institute","Ethiopia","https://www.facebook.com/WordPresscom","","","","","","high","script pass: found on school website"
"Montessori Ethiopia (initiative/organization)","Ethiopia","http://facebook.com/Montessoriethiopia","","https://www.instagram.com/montessoriethiopia","","","","high","script pass: found on school website"
"A&E Pre-Kindergarten School","Ethiopia","http://www.facebook.com/wix","","","","http://twitter.com/wix","","high","script pass: found on school website"
"Montessori Zimbabwe (Trust + School)","Zimbabwe","https://www.facebook.com/MontessoriZimbabwe","","https://www.instagram.com/montessorischoolzim","","","info@montessorizimbabwe.org","high","script pass: found on school website"
"Nile River Montessori","Egypt","https://www.facebook.com/NileRiverMontessoriDokki","","https://www.instagram.com/nilerivermontessoridokki","https://www.linkedin.com/company/nilerivermontessori","","info@nilerivermontessori.com","high","script pass: found on school website"
"École Montessori Casablanca (EMC)","Morocco","https://www.facebook.com/profile.php","","","https://ma.linkedin.com/company/ecole-montessori-casablanca","","contact@montessoricasablanca.com","high","script pass: found on school website"
"École Montessori Internationale de Tanger (EMI Tanger)","Morocco","https://www.facebook.com/montessoriinternationaletanger","","https://www.instagram.com/emitanger","","","","high","script pass: found on school website"
"Crèche L'Horizon (Rabat-Agdal)","Morocco","https://www.facebook.com/WordPresscom","","","","http://twitter.com/wordpressdotcom","crechelhorizon@gmail.com","high","script pass: found on school website"
"M Garden","Morocco","https://www.facebook.com/tr","","https://www.instagram.com/creche_mgarden","","","mgarden.creche@gmail.com","high","script pass: found on school website"
"Ed School (Crèche Montessori)","Morocco","https://www.facebook.com/EDSchool.Casablanca","","https://www.instagram.com/edschool.casablanca","https://www.linkedin.com/company/edschool","","contact@edschoolcasablanca.com","high","script pass: found on school website"
"Rabat'M Montessori","Morocco","https://web.facebook.com/rabatmontessori.ma","","","","","","high","script pass: found on school website"
"École Montessori Internationale Tunisie","Tunisia","http://www.facebook.com/EcoleMontassoriInternationaleTunisie","","","","","","high","script pass: found on school website"
"Tunis Montessori School","Tunisia","https://www.facebook.com/tunismontessorischool","","https://www.instagram.com/tunis_montessori_school","http://www.linkedin.com/in/anton-boldak","","director@montessori-school.tn","high","script pass: found on school website"
"École Gauthier (Agadir)","Morocco","https://www.facebook.com/ecolegauthier","","https://www.instagram.com/ecolegauthier","","","","high","script pass: found on school website"
"Montessori Algeria Kindergarten (AMK)","Algeria","https://www.facebook.com/montessorialgerie","","https://www.instagram.com/montessori_algerie","","","","high","script pass: found on school website"
"The Montessori Egyptian Center (MEC)","Egypt","http://www.facebook.com/montessoriegc","","https://www.instagram.com/montessoriegc","","","montessori.egc@gmail.com","high","script pass: found on school website"
"Les Ateliers de Zoy","Morocco","https://web.facebook.com/lesateliersdezoy","","https://www.instagram.com/garderie_lesateliers_de_zoy","","","","high","script pass: found on school website"
"Montessori World School Tanger (MWST)","Morocco","https://www.facebook.com/mowosc","","https://www.instagram.com/montessori.world.school","","","","high","script pass: found on school website"
"Gateway International Montessori School","Egypt","https://www.facebook.com/tr","","https://www.instagram.com/gatewayschooleg","","https://twitter.com/gatewayschooleg","","high","script pass: found on school website"
"Jardin d'enfants Bienfaisance (Maârif)","Morocco","https://www.facebook.com/jbmaarif","","https://www.instagram.com/jardinenfantsbienfaisance","","","sfbmaarif@gmail.com","high","script pass: found on school website"
"Montessori Alger","Algeria","https://www.facebook.com/groups/392236878565152/user/100022332521158","","https://www.instagram.com/montessorialger","","","","high","script pass: found on school website"
"Bahir Dar Academy (BDA)","Ethiopia","https://www.facebook.com/profile.php","","","","","","high","script pass: found on school website"
"La Chrysalide (Agadir)","Morocco","https://www.facebook.com/LaChrysalide.Agadir","","https://www.instagram.com/lachrysalide_agadir","https://www.linkedin.com/company/lachrysalide","","contact@lachrysalide.education","high","script pass: found on school website"
"L'Envol Montessori","Ivory Coast","https://www.facebook.com/lenvolmontessori","","https://www.instagram.com/lenvolmontessori","","","","high","script pass: found on school website"
"Ivory Montessori School","Ivory Coast","","","","https://www.linkedin.com/company/ivory-montessori-school-ims","","","medium","script pass: found on school website"
"Bambino Montessori School","Ghana","https://www.facebook.com/BMSLtd","","https://www.instagram.com/bambino_montessori_school","","","","high","script pass: found on school website"
"La Coccinelle Montessori","Ivory Coast","https://www.facebook.com/profile.php","","","","","","high","script pass: found on school website"
"Starfield Montessori School","Nigeria","https://www.facebook.com/starfieldmontessori","","https://www.instagram.com/starfieldmontessori","","https://twitter.com/starfieldms","admin@starfieldmontessorischool.com","high","script pass: found on school website"
"Glowfield International School","Nigeria","https://www.facebook.com/glowfieldschool","","https://instagram.com/glowfield.schools","","https://twitter.com/glowfieldschool","info@glowfieldschool.com","high","script pass: found on school website"
"Montessori Generation International School (MGIS)","Ivory Coast","","","https://instagram.com/mgischool","","","administration@mgischool.com","medium","script pass: found on school website"
"Prime Montessori School","Nigeria","","","https://www.instagram.com/primemontessori","","","","medium","script pass: found on school website"
"Maria Montessori School","Ghana","https://www.facebook.com/MariaMontessoriSchool","","https://www.instagram.com/mariamontessorischool","","https://x.com/mariamontesch","","high","script pass: found on school website"
"Judy Montessori Primary School","Mauritius","https://www.facebook.com/tr","","https://www.instagram.com/judymontessoriprimaryschool","","","leefdesign@gmail.com","high","script pass: found on school website"
"Planète Montessori (Marrakech)","Morocco","https://www.facebook.com/PlaneteMontessoriMarrakech","","https://www.instagram.com/planetemontessorimarrakech","https://www.linkedin.com/company/planete-montessori-international-school","https://twitter.com/planete","planetemontessori@gmail.com","high","script pass: found on school website"
"Oaks & Acorns Montessori School","Nigeria","http://facebook.com/oamsabuja","","http://instagram.com/oamsabuja","http://linkedin.com/company/oamsabuja","http://twitter.com/oamsabuja","","high","script pass: found on school website"
"Mary Angels Montessori Schools","Nigeria","https://web.facebook.com/profile.php","","https://www.instagram.com/maryangelsschools","","","maryangelsschools@outlook.com","high","script pass: found on school website"
"Cornerstone Montessori Schools","Nigeria","https://web.facebook.com/cornerstonemontessorischools","","https://www.instagram.com/cornerstonemontessorischool","http://www.linkedin.com/in/cornerstone-montessori-schools","https://x.com/CMSchools","cornerstonemontessorischools@gmail.com","high","script pass: found on school website"
"Montessori Institute of Algeria (MIA)","Algeria","https://www.facebook.com/montessorialgerie","","https://www.instagram.com/montessorialgerie","https://www.linkedin.com/company/101329736","","","high","script pass: found on school website"
"Bluebell Montessori International School","Nigeria","https://www.facebook.com/bluebellschools","","","","","contact@mysite.com","high","script pass: found on school website"
"Montessori Academy – Gungahlin","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Armidale Montessori Pre-School & Long Daycare","Australia","https://www.facebook.com/armidalemontessoripreschool","","","","","director@armidalemontessori.nsw.edu.au","high","script pass: found on school website"
"Bereton Montessori","Nigeria","https://www.facebook.com/beretonschool","","https://instagram.com/beretonschool","https://www.linkedin.com/company/bereton-montessori-nursery-and-primary-school-port-harcourt","","admin@beretonmontessori.com","high","script pass: found on school website"
"Laurels Montessori School","Nigeria","https://www.facebook.com/laurelsschoolsph","","https://www.instagram.com/laurelsschools","","https://twitter.com/laurelsschools","laurelsmontessorischool1@gmail.com","high","script pass: found on school website"
"Beverly Hills Montessori Christian Long Day Care Centre","Australia","https://www.facebook.com/BeverlyHillsMontessoriChristianPreschool","","https://www.instagram.com/beverlyhillsmontessori","","","","high","script pass: found on school website"
"Arc-en-Ciel Jardin d'enfants","Tunisia","https://www.facebook.com/tr","","","","","ebmstuder@gmail.com","high","script pass: found on school website"
"Blue Gum Montessori Preschool","Australia","http://www.facebook.com/2008/fbml","","http://instagram.com/bluegum.montessori.preschool","","","","high","script pass: found on school website"
"Faith Montessori School","Ghana","https://www.facebook.com/FaithMontessoriSch","","https://www.instagram.com/faithmontessorisch","","https://twitter.com/FaithMontessor1","info@faithms.edu.gh","high","script pass: found on school website"
"Bright Stars Montessori Preschool (Hebersham)","Australia","https://www.facebook.com/profile.php","","","","","info@brightstars.nsw.edu.au","high","script pass: found on school website"
"Bright Stars Montessori Preschool (Minchinbury)","Australia","https://www.facebook.com/profile.php","","","","","info@brightstars.nsw.edu.au","high","script pass: found on school website"
"Bright Stars Montessori Preschool (South Wentworthville)","Australia","https://www.facebook.com/profile.php","","","","","info@brightstars.nsw.edu.au","high","script pass: found on school website"
"Springfield Royal Montessori School","Ghana","https://www.facebook.com/Springfield-Royal-Montessori-School-198032080864090","","https://www.instagram.com/springfieldroyalmontessorisch","https://www.linkedin.com/in/springfield-royal-montessori-school-016a83177","","","high","script pass: found on school website"
"Elizabeth Macarthur Montessori Preschool","Australia","https://www.facebook.com/people/Elizabeth-Macarthur-Montessori-Pre-school/100067358651535","","","","","admin@elizabethmacarthurmontessori.nsw.edu.au","high","script pass: found on school website"
"Fletcher Montessori","Australia","https://www.facebook.com/stnicksearlyed","","https://www.instagram.com/stnicksearlyed","https://www.linkedin.com/company/st-nicholas-early-education","","","high","script pass: found on school website"
"Complexe Scolaire L'Excellence","Mali","https://www.facebook.com/complexescolai","","","","","complexescolairelexcellence26@gmail.com","high","script pass: found on school website"
"The Children's House","Seychelles","https://www.facebook.com/montessoriseychelles","","","","","admin@thechildrenshouse.sc","high","script pass: found on school website"
"Ecole Vatosoa","Madagascar","https://www.facebook.com/centrevatosoa","","","","","centre.vatosoa@gmail.com","high","script pass: found on school website"
"L'Ile Aux Enfants Montessori","Mauritius","https://www.facebook.com/maurice.garderie","","","","","","high","script pass: found on school website"
"Hills Montessori","Australia","https://www.facebook.com/hillsmontessorischool","","https://www.instagram.com/hillsmontessoripreschool","","","","high","script pass: found on school website"
"Inner Sydney Montessori School","Australia","https://www.facebook.com/InnerSydneyMontessoriSchool","","https://www.instagram.com/innersydneymontessorischool","https://au.linkedin.com/company/inner-sydney-montessori-school","","admin@isms.nsw.edu.au","high","script pass: found on school website"
"Karuna Montessori Preschool","Australia","https://www.facebook.com/KarunaMontessoriPreSchool","","https://www.instagram.com/karunamontessori_preschool","","","info@karuna.com","high","script pass: found on school website"
"Headland Montessori Early Learning Centre","Australia","https://www.facebook.com/tr","","https://www.instagram.com/headlandmontessori","","","","high","script pass: found on school website"
"Kotara Montessori Children’s Centre","Australia","https://www.facebook.com/kotaramontessori","","https://www.instagram.com/kotara_montessori","","","","high","script pass: found on school website"
"Monash Early Learning Centre","Australia","https://www.facebook.com/MonashELC","","https://www.instagram.com/monashearlylearningcentre","","","","high","script pass: found on school website"
"Montessori Academy – Alexandria","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori @ North Strathfield","Australia","https://www.facebook.com/Fansatns","","","","","","high","script pass: found on school website"
"Little Hands at Work","Australia","https://www.facebook.com/littlehandsatwork.com.au","","https://www.instagram.com/littlehandsmontessori_","","","","high","script pass: found on school website"
"Montessori Academy – Auburn","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Auburn West","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Bankstown","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Belfield","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Barangaroo","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Burwood Park","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Belmore","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Bossley Park","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Burwood Road","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Carlingford","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Castle Hill","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Carnes Hill","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Crows Nest","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Croydon","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Earlwood","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Condell Park","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Chatswood","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Dapto","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Engadine","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Fairfield","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Green Hills","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Glebe","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Greenacre","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Guildford","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Greystanes","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Gymea","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Kirrawee","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Lane Cove","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Climbing Ladders Early Learning & Montessori Centre","Australia","https://www.facebook.com/p/Climbing-Ladders-Early-Learning-Montessori-Centre-100063642785361","","https://www.instagram.com/climbing.ladders","","","","high","script pass: found on school website"
"Montessori Academy – Head Office","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Macquarie Park","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Lane Cove West","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Leichhardt","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Narellan","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Newcastle","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – North Parramatta","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Narellan Central","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Northmead","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Oran Park","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Parramatta Entrada","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Queanbeyan","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Penrith","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Shepherds Bay","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Revesby","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Randwick","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Strathfield Broughton Road","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Chipping Norton Montessori","Australia","https://www.facebook.com/stgeorgemontessoriearlylearning","","https://www.instagram.com/stgeorgemontessori","https://www.linkedin.com/company/st-george-montessori","","","high","script pass: found on school website"
"Montessori Academy – Smithfield","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – St Marys","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Toongabbie","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Strathfield Homebush Road","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Victoria Park Zetland","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Montessori Academy – Turramurra","Australia","https://www.facebook.com/MontessoriAcademyAus","","https://www.instagram.com/montessoriacademyaus","https://www.linkedin.com/company/montessori-academy","","","high","script pass: found on school website"
"Educate Me Montessori","Australia","https://www.facebook.com/tr","","https://www.instagram.com/educatememontessori","","","info@educatmemontessori.com.au","high","script pass: found on school website"
"Northside Montessori School","Australia","https://www.facebook.com/northsidemontessori","","https://www.instagram.com/northside_montessori","https://www.linkedin.com/company/northside-montessori-school-pymble","https://x.com/nms2073","admin@northsidemontessori.nsw.edu.au","high","script pass: found on school website"
"Farmhouse Montessori School","Australia","https://www.facebook.com/FarmhouseMontessori","","","","","enrolments@farmhousemontessori.nsw.edu.au","high","script pass: found on school website"
"St George Montessori (Engadine)","Australia","https://www.facebook.com/stgeorgemontessoriearlylearning","","https://www.instagram.com/stgeorgemontessori","https://www.linkedin.com/company/st-george-montessori","","","high","script pass: found on school website"
"St George Montessori (Kingsgrove)","Australia","https://www.facebook.com/stgeorgemontessoriearlylearning","","https://www.instagram.com/stgeorgemontessori","https://www.linkedin.com/company/st-george-montessori","","","high","script pass: found on school website"
"Hornsby Ku-Ring-Gai Montessori Preschool","Australia","https://www.facebook.com/expireddomainscom","","https://www.instagram.com/expireddomainscom","https://www.linkedin.com/company/expireddomainscom","https://x.com/ExpiredDomainHQ","","high","script pass: found on school website"
"St George Montessori (Peakhurst)","Australia","https://www.facebook.com/stgeorgemontessoriearlylearning","","https://www.instagram.com/stgeorgemontessori","https://www.linkedin.com/company/st-george-montessori","","","high","script pass: found on school website"
"St George Montessori (Peakhurst West)","Australia","https://www.facebook.com/stgeorgemontessoriearlylearning","","https://www.instagram.com/stgeorgemontessori","https://www.linkedin.com/company/st-george-montessori","","","high","script pass: found on school website"
"Forestville Montessori School","Australia","https://www.facebook.com/forestvillemontessorischool","","https://www.instagram.com/forestvillemontessori","https://www.linkedin.com/in/forestville-montessori-school","https://twitter.com/ForestvilleMont","","high","script pass: found on school website"
"Thirroul Preschool Centre & Montessori School","Australia","https://www.facebook.com/montessoriaustralia","","https://www.instagram.com/montessori_australia","https://www.linkedin.com/company/79570266","https://twitter.com/MontessoriAU","","high","script pass: found on school website"
"The Children’s House Montessori School","Australia","https://www.facebook.com/pages/The-Childrens-House-Montessori/521833954582942","","","","","","high","script pass: found on school website"
"Milestones Early Learning","Australia","https://www.facebook.com/MilestonesEarlyLearning","","https://www.instagram.com/milestonesearlylearning","","","","high","script pass: found on school website"
"Montessori By The Bay","Australia","https://www.facebook.com/montessoribythebay","","","","","","high","script pass: found on school website"
"Ancora Kids Browns Plains Childcare Centre","Australia","https://www.facebook.com/tr","","https://www.instagram.com/ancora_kids","","","brownsplains@ancorakids.com.au","high","script pass: found on school website"
"Brisbane Montessori School","Australia","https://www.facebook.com/BrisbaneMontessoriSchool","","https://www.instagram.com/brisbanemontessorischool","https://www.linkedin.com/company/brisbane-montessori-school","","enquiries@bms.qld.edu.au","high","script pass: found on school website"
"Brisbane Montessori School","Australia","https://www.facebook.com/BrisbaneMontessoriSchool","","https://www.instagram.com/brisbanemontessorischool","https://www.linkedin.com/company/brisbane-montessori-school","","enquiries@bms.qld.edu.au","high","script pass: found on school website"
"Absorbent Minds Montessori Early Education","Australia","https://www.facebook.com/AMMontessori","","https://www.instagram.com/absorbentmindsmontessori","","","admin@absorbentmindsburpengary.com.au","high","script pass: found on school website"
