School,Email,Region,City,Phone,Website,Source,Notes
Montessori-Kinderhaus Generationshaus Meitingen,kinderhaus@montessori-meitingen.de,Bayern,Meitingen,08271-8006680,http://www.montessori-meitingen.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Kinderhaus Wertingen,kontakt@montessori-kinderhaus-wertingen.de,Bayern,Wertingen,08272-5293,http://www.montessori-kinderhaus-wertingen.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Private Montessori-Schule Wertingen,sekretariat@montessori-wertingen.de,Bayern,Wertingen,08272-5000,http://www.montessori-schule-wertingen.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Fachoberschule Wertingen,kontakt@montessori-fos.de,Bayern,Wertingen,08272-6410760,http://www.montessori-fos.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Private Montessori-Volksschule Arzberg,info@montessori-fichtelgebirge.de,Bayern,Arzberg,09233-7143888,http://www.montessori-fichtelgebirge.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori Kindergarten Pfaffenhofen,kindergarten@mm-paf.de,Bayern,Pfaffenhofen,0844180086-17,https://montessori.pfaffenhofen.de/,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Integratives Montessori-Kinderhaus Lauingen,mail@montessori-kinderhaus-lauingen.de,Bayern,Lauingen,09072-6609,http://www.montessori-kinderhaus-lauingen.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Grundschule Sünching,schule@montessori-suenching.de,Bayern,Sünching,09480-938509,http://www.montessori-suenching.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori-Kinderhaus Henisiuspark,info@montessori-fuer-kinder.de,Bayern,Augsburg,0821-4503481-0,http://www.montessori-fuer-kinder.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Augsburg,schule@montessori-augsburg.de,Bayern,Augsburg,0821-2413770,http://www.montessori-schule-augsburg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
momas - Montessori Schule Main-Spessart,info@momas.schule,Bayern,Lohr am Main,09352-888 9511,https://momas.schule/,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori Kinderhaus Günzburg,kinderhaus@montessori-guenzburg.de,Bayern,Günzburg-Nornheim,08221-21311,http://www.montessori-guenzburg.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Schule Günzburg,schule@montessori-guenzburg.de,Bayern,Günzburg,08221-6967,http://www.montessori-guenzburg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Haus für Kinder,kita@montessori-dinkelscherben.de,Bayern,Dinkelscherben,08292-951484,http://www.montessori-dinkelscherben.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Dinkelscherben (Jhgst. 1-6),buero@montessori-dinkelscherben.de,Bayern,Dinkelscherben,08292-950918,http://www.montessori-dinkelscherben.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Campus Dinkelscherben (Jghst. 7-10),buero@montessori-dinkelscherben.de,Bayern,Dinkelscherben,08292-901901,http://www.montessori-dinkelscherben.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Kinderhaus Freising,info@montessori-freising.de,Bayern,Freising,08161-984620,http://www.montessori-freising.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Mittelschule Freising,info@montessori-freising.de,Bayern,Freising,08161-984610,http://www.montessori-freising.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-9 / 1-10
Montessori-Kinderhaus Landshut,kinderhaus@montessori-landshut.de,Bayern,Landshut,0871-41036,http://www.montessori-landshut.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Donauwald,info@montessori-donauwald.de,Bayern,Bogen,09422-8086099,http://www.montessori-donauwald.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori-Schule Oberschweinbach in Günzlhofen,schule@montessori-ffb.de,Bayern,Günzlhofen,08145-468,http://www.montessori-ffb.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Kinderhaus  Dachau,info@mokida.de,Bayern,Dachau-Mitterndorf,08131-53141,http://www.mokida.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Clara Grunwald,schule@schule-mcg.de,Bayern,Unterschleißheim,089-31837581,http://www.montessori-unterschleissheim.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule-Dachau,sekretariat@montessori-schule-dachau.de,Bayern,Dachau,08131-31200,http://www.montessori-schule-dachau.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Fachoberschule Geisenhausen,verwaltung@fos.montessori-landshut.de,Bayern,Geisenhausen,0871-206676-80,https://fos.montessori-landshut.de/,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessori-Schule Geisenhausen,schulverwaltung@montessorischule-geisenhausen.de,Bayern,Geisenhausen,08743-91433,http://www.montessorischule-geisenhausen.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Erding,schule@montessori-erding.de,Bayern,Aufkirchen,08122-5052,http://www.montessori-erding.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Kinderhaus Erding,kinderhaus@montessori-erding.de,Bayern,Erding,08122-540280,http://www.montessori-erding.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe"
Private Montessori-Volksschule Neu-Ulm,schule@montessori-ulm.de,Bayern,Neu-Ulm,0731 1762388,http://www.montessori-ulm.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Fürstenfeldbruck,kinderhaus-ffb@montessori-ffb.de,Bayern,Fürstenfeldbruck,08141-92574,http://www.montessori-ffb.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Private Montessori-Schule Weißenhorn,info@montessorischule-weissenhorn.de,Bayern,Weißenhorn,07309-428507,http://www.montessorischule-weissenhorn.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Puchheim,kinderhaus-puc@montessori-ffb.de,Bayern,Puchheim,089-84933000,http://www.montessori-ffb.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Volksschule Soden im Lkrs. Aschaffenburg,hallo@montessorischule-aschaffenburg.de,Bayern,Sulzbach a. Main,06028-995194,http://www.montessorischule-aschaffenburg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Kinderhaus München e.V am Olympiapark,kinderhaus@monte-muenchen.de,Bayern,München-Olympiapark,089-30005947,http://www.monte-muenchen.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Kinderhaus MOMUC e.V.,info@momuc-kinderhaus.de,Bayern,München-Aubing,089-45212763,http://www.momuc-kinderhaus.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Fachoberschule MOS München,gesowi@mos-muenchen.de,Bayern,München,089-36088780,http://www.mos-muenchen.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Maria-Montessori-Schule und Hort Olympiapark,schulbuero@monte-muenchen.de,Bayern,München-Milbertshofen,089-3071006,http://www.monte-muenchen.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Internationalen Montessori Zentrum München e.V.,kindergarten@montessori-muenchen.com,Bayern,München-Bogenhausen,089-95841829,http://www.montessori-muenchen.com,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Elterninitiative Montessori Kinderhaus München-West,info@montessori-muenchen-west.de,Bayern,München-Neuhausen,089-1236320,http://www.montessori-muenchen-west.de,LV Bayern (montessoribayern.de),Kinderhaus
Privatkindergarten Sonnenburg,kigasonnenburg@web.de,Bayern,München,089393677,https://www.kindergarten-sonnenburg.de/,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Kinderhaus München West,info@montessori-muenchen-laim.de,Bayern,München-Laim,089-54644804,http://www.montessori-muenchen-laim.de,LV Bayern (montessoribayern.de),Kinderhaus
Villa Kunterbunt - Montessori Kinderhaus am Josephinum,info@viku-muenchen.de,Bayern,München,089  28 11 88,https://www.viku-muenchen.de/,LV Bayern (montessoribayern.de),Kinderhaus
Campus di Monaco - Internationale Montessori Schule München,info@campus-di-monaco.de,Bayern,München,089 - 212 3685-0,https://campus-di-monaco.de/,LV Bayern (montessoribayern.de),Montessori-Schulen 1-9 / 1-10; ALREADY_CONTACTED (prior campaign - Gmail-check before drafting)
Montessori-Grundschule Gilching,verwaltung@montessorischule-gilching.de,Bayern,Gilching,08105-773548,http://www.montessorischule-gilching.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori-Kinderhaus Güllstraße München,kontakt@montessori-kinderhaus.info,Bayern,München-Ludwigsvorstadt,089-771506,http://www.montessori-kindergarten.info,LV Bayern (montessoribayern.de),Kinderhaus
Baobab - Multikulturelle Eltern-Kind-Initiative,info@kindergarten-baobab.de,Bayern,München,,,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Kinderhaus BRK KV AB,hoegerle@kvaschaffenburg.brk.de,Bayern,Aschaffenburg,06021-8484-48,http://www.kvaschaffenburg.brk.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule der Aktion Sonnenschein,montessorischule@aktionsonnenschein.de,Bayern,München-Großhadern,089-72405152,http://www.aktionsonnenschein.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Erste Kinderoase nach Montessori und Pikler,info@kinderoase-muenchen.de,Bayern,München,089-31988936,,LV Bayern (montessoribayern.de),Krippe
Montessori-Integrations-Kindergarten der Akton Sonnenschein gemeinnützigen Schul-GmbH,kiga-leitung@aktionsonnenschein.de,Bayern,München-Großhadern,089-72405161,http://www.aktionsonnenschein.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schulvorbereitende Einrichtung der Aktion Sonnenschein,montessorischule@aktionsonnenschein.de,Bayern,München-Sendling,089-766746,http://www.aktionsonnenschein.com,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, weitere Montessori Angebote"
Montessori-Kinderhaus am Harras,kinderhaus@muenchen-mail.de,Bayern,München,089-72939970,http://www.montessori-harras.de/,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Kindergarten Krailling,info@montessori-krailling.de,Bayern,Krailling,089-8958026,http://www.montessori-krailling.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Inning a. Ammersee,schule@montessori-inning.de,Bayern,Inning,08143-99103-11,http://www.montessori-inning.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Inning,kinderhaus@montessori-inning.de,Bayern,Inning,08143-999 56 12,http://www.montessori-inning.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Kinderhaus Stockdorf,leitung@montessori-stockdorf.de,Bayern,Stockdorf,089-8577844,http://www.montessori-stockdorf.de,LV Bayern (montessoribayern.de),Kinderhaus
Integrative Montessori-Volksschule an der Balanstraße Werkstatt der Generationen,schule@montessori-muenchen.de,Bayern,München,089-9090178-0,http://www.montessori-muenchen.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Wörthsee Integrationskindergarten e.V.,info@montessori-woerthsee.de,Bayern,Wörthsee,08143-7367,http://www.montessori-woerthsee.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Kaufering,schulbuero@montessori-kaufering.de,Bayern,Kaufering,08191-305220-0,http://www.montessori-kaufering.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Sonnenquell Montessori-Kindergruppe,info@sonnenquell-montessori.de,Bayern,München-Trudering,089-422829,http://www.sonnenquell-montessori.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Kindergarten Gauting,team@montessori-gauting.de,Bayern,Gauting,089-8509635,http://www.montessori-gauting.de,LV Bayern (montessoribayern.de),Kinderhaus
Opodeldoks - Montessori Kindergarten,opodeldoks.vorstand@googlemail.com,Bayern,München,089-69979247,https://www.opodeldoks.info/,LV Bayern (montessoribayern.de),Kinderhaus
EMILE Montessori-Schule München,schulbuero@emile-montessori.de,Bayern,Neubiberg nähe München,089-61372111,http://www.emile-montessori.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Integrationskindergarten Piratenmäuse,mail@integrations-und-waldkiga.de,Bayern,Unterhaching,089-66508880,http://www.integrations-und-waldkiga.de,LV Bayern (montessoribayern.de),Kinderhaus
Waldkindergarten Waldmäuse und Waldspielmäuse,mail@integrations-und-waldkiga.de,Bayern,Unterhaching,0179-5253776,http://www.integrations-und-waldkiga.de,LV Bayern (montessoribayern.de),Kinderhaus
EmiLe Montessori-VorschulKita,info@emile-montessori.de,Bayern,Neubiberg,089-61372112,https://www.emile-montessori.de/,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Hohenbrunn,mail@montessorischule-hohenbrunn.de,Bayern,Riemerling,089-6086470,http://www.montessorischule-hohenbrunn.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Starnberg,verwaltung@montessori-starnberg.de,Bayern,Starnberg,08151-89557,http://www.montessori-starnberg.de,LV Bayern (montessoribayern.de),Kinderhaus
Private Volksschule Maria Montessori Starnberg,verwaltung@montessori-starnberg.de,Bayern,Starnberg,08151-73002,http://www.montessori-starnberg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Schule Eberharting im Erdkinder-Projekt e.V.,schule@erdkinder.de,Bayern,Lohkirchen,08637-989900,http://www.erdkinder.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Integratives Montessori-Kinderhaus Eberharting,kindergarten@erdkinder.de,Bayern,Lohkirchen,08637-98990-21,http://www.erdkinder.de,LV Bayern (montessoribayern.de),Kinderhaus
Integratives Montessori-Kinderhaus,kiga@montessori-berg.de,Bayern,Berg-Aufkirchen,08151-51206,http://www.montessori-aufkirchen.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Niederseeon,info@niederseeon.de,Bayern,Moosach,08093-90527-0,http://www.niederseeon.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Biberkor Schule für Alle,kontakt@biberkor.de,Bayern,Berg-Höhenrain,08171-2677-200,http://www.montessori-biberkor.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Biberkor,kinderhaus@biberkor.de,Bayern,Berg-Höhenrain,08171-2677-180,http://www.montessori-biberkor.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Kinderhaus Eggenfelden,kinderhaus@montessori-eggenfelden.de,Bayern,Eggenfelden,08721-1269073,http://www.montessori-eggenfelden.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Eggenfelden,info@montessori-eggenfelden.de,Bayern,Eggenfelden,08721-10175,http://www.montessori-eggenfelden.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Kinderhaus Wolfratshausen,info@montessori-wolfratshausen.de,Bayern,Wolfratshausen,08171-488808,http://www.montessori-wolfratshausen.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Kinderhaus Wasserburg am Inn,info@montessori-wasserburg.de,Bayern,Wasserburg,08071-6025,http://www.montessori-wasserburg.de,LV Bayern (montessoribayern.de),Kinderhaus mit Krippe
Montessori-Kinderhaus Otterfing,info@montessori-otterfing.de,Bayern,Otterfing,08024-3031086,http://www.montessori-otterfing.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Kinderhaus Weilheim,kinderhaus@montessori-schule.com,Bayern,Weilheim,0881-9270435,http://www.montessori-schule.com,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Integratives Montessori-Kinderhaus Holzkirchen,info@montessori-holzkirchen.de,Bayern,Holzkirchen-Föching,08024-8385,http://www.montessori-holzkirchen.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Dietramszell,montessori.dietramszell@t-online.de,Bayern,Dietramszell,08027-1722,http://www.montessori-dietramszell.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Peißenberg,info@montessori-schule.com,Bayern,Peißenberg,08803-60603,http://www.montessori-schule.com,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Penzberg,schule@montessori-penzberg.de,Bayern,Penzberg,08856-8041288,http://www.schule.montessori-penzberg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Fachoberschule Passau,info@montessori-passau.de,Bayern,Passau,0851-753092,http://www.montessori-passau.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessori Schule Freyung,info@montessori-wolfstein.de,Bayern,Freyung,08551-9176180,http://www.montessori-wolfstein.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Freier Montessori-Kindergarten Rosenheim,leitung@montessori-rosenheim.de,Bayern,Rosenheim,08031-69880,http://www.montessori-rosenheim.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Rotthalmünster,info@monte-rm.de,Bayern,Rotthalmünster,08533-918232,http://www.montessori-rotthalmuenster.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori-Fachoberschule Rohrdorf,schulleitung-fos@montessori-rohrdorf.de,Bayern,Rohrdorf,08032-91016,http://www.montessori-rohrdorf.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessori-Schule Hausham,sekretariat@montessorischule-hausham.de,Bayern,Hausham,08026-924717,http://www.montessori-hausham.org,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Passau,info@montessori-passau.de,Bayern,Passau,0851-753092,http://www.montessori-passau.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Rohrdorf,schule@montessori-rohrdorf.de,Bayern,Rohrdorf,08032-91016,http://www.montessori-rohrdorf.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
MOS Allgäu Montessori-Fachoberschule,info@mos-allgaeu.de,Bayern,Kempten,0831526267 -70,http://www.mos-allgaeu.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessori-Kinderhaus Kempten,info@montessori-kempten.de,Bayern,Kempten,0831-526267 -70,http://www.montessori-kempten.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Kempten,info@montessori-kempten.de,Bayern,Kempten,083152626770,http://www.montessori-kempten.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Naturkindergarten Rohrdorf,naturkindergarten@montessori-rohrdorf.de,Bayern,Rohrdorf,08032-91016,https://www.montessori-naturkindergarten-rohrdorf.de/,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Kinderhaus Kochel,kinderhaus@montessori-kochel.de,Bayern,Kochel am See,08851-1039,http://www.montessori-kochel.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Kindergarten Frasdorf,montessorifrasdorf@googlemail.com,Bayern,Frasdorf,08052-951069,http://www.montessori-frasdorf.de,LV Bayern (montessoribayern.de),Kinderhaus
