Country,School,Email,Region,City,Phone,Website,Source,Notes
Kenya,Dukesbridge Gigiri Montessori,gigiri@dukesbridge.com,Nairobi County,"Gigiri, Nairobi",+254700468558,dukesbridge.com,tuko.co.ke directory,Formerly Gigiri Montessori House
Kenya,Little Paws Montessori House,info@LittlePawsHouse.com,Nairobi County,"Makindi Road off Riara Road, Nairobi",+254724309993,littlepawshouse.com,tuko.co.ke directory,
Kenya,St Maria Montessori School,info@stmariaschool.sc.ke,Nairobi County,"Donholm Estate, Nairobi",0728124453,NOT_FOUND,tuko.co.ke directory,
Kenya,"Imani Montessori School, Lavington",NOT_FOUND,Nairobi County,Lavington,+254726510062,imanimontessori.co.ke,tuko.co.ke directory,email not published on directory page
Kenya,"International Christian Kindergarten, Westlands",office@schoolofthenations.org,Nairobi County,Westlands,"+254789707871, +254735324124",schoolofthenations.org,tuko.co.ke directory,
Kenya,"Hopes and Dreams Montessori, Lavington",NOT_FOUND,Nairobi County,Lavington,"0721235654, 0733910468",hndmontessori.co.ke,tuko.co.ke directory,email not published
Kenya,Nairobi Montessori School,info@nairobimontessorischool.com,Nairobi County,"Karen off Ngong Rd, Nairobi",+254737073873,nairobimontessorischool.com,tuko.co.ke directory,
Kenya,Key International School,info@keyinternationalschool.com,Nairobi County,"Argwings Kodhek Road, Nairobi","0727810350, 0710600350",keyinternationalschool.com,tuko.co.ke directory,"Founded 1993, one of oldest Montessori in Kenya"
Kenya,Lavington Montessori Kindergarten,enquiries@lavingtonmontessori.co.ke,Nairobi County,Lavington,"020-4348532, 0721601390",lavingtonmontessori.co.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Princeton Preparatory Schools,NOT_FOUND,Nairobi County,"Gigiri, Nairobi",+254203893200,princetonprepmontessori.org,tuko.co.ke directory,American Christian Montessori school; email not published
Kenya,Montessori Plus Centre,montessoripluscenter@gmail.com,Nairobi County,Gigiri,"+254739930431, +254710384907",kindergarten.montessoripluscenter.co.ke,tuko.co.ke directory,Only US traditional Montessori school in Kenya per source
Kenya,Bees Circle Montessori School,info@beescirclemontessorischool.com,Nairobi County,Kiambu Road,+254734860317,beescirclemontessorischool.com,tuko.co.ke directory,
Kenya,Olive Tree Montessori Kindergarten,NOT_FOUND,Nairobi County,"Riara Road, Nairobi",0777787300,NOT_FOUND,tuko.co.ke directory,email not published
Kenya,Barnley Montessori,barnleymontessori@gmail.com,Nairobi County,"Kileleshwa, Nairobi",0748036393,NOT_FOUND,tuko.co.ke directory,
Uganda,Parachichi Montessori Preschool,parachichimps.edu@gmail.com,Kampala,"Kansanga, Kampala",+256774707719,parachichimps.com,imsmontessori.org,PRIOR_CONTACT
Uganda,Mamaya Montessori Nursery and Creche,mamayamontessori@gmail.com,Kampala,"Block 244 Kisugu, Kampala","+256785035946, +256782876291",NOT_FOUND,imsmontessori.org,
Uganda,Kampala Community Montessori School,NOT_FOUND,Kampala,"Kololo Hill Drive, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Children's House International Montessori School,NOT_FOUND,Kampala,"Naguru Drive, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Little Montessorians Kindergarten,NOT_FOUND,Kampala,"Muyenga Road, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,The Acorns International School,NOT_FOUND,Kampala,"Kisaasi, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Lohana Academy Montessori,NOT_FOUND,Kampala,"Nakasero Road, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Montessori Learning Centre,NOT_FOUND,Kampala,"Kira Road, Ntinda, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Rays of Hope Montessori School,NOT_FOUND,Kampala,"Lubowa, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,DISADVANTAGED - name suggests charity/NGO orientation; unverified
Uganda,Kabojja Junior School Montessori,NOT_FOUND,Kampala,"Kabojja, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Heritage Montessori Academy,NOT_FOUND,Kampala,"Acacia Avenue, Kololo, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Uganda,Moyo Montessori Early Learning Centre,NOT_FOUND,Kampala,"Bugolobi, Kampala",NOT_FOUND,NOT_FOUND,ugandaliving.com,email not published
Tanzania,Montessori Learners (Dar Montessori Learners Ltd),admin@montessori.co.tz,Dar es Salaam,Dar es Salaam,+255743630889,montessori.co.tz,montessori.co.tz site (under construction page),
Tanzania,Montessori Community of Tanzania (national association),info@montessori.or.tz,Dar es Salaam,"Mbezi Beach, Jogoo, Dar es Salaam",+255658479695,montessori.or.tz,montessori.or.tz official site,National association coordinating 7+ training centres; not a single school; PRIOR_CONTACT
Tanzania,"Montessori Training Centre, Msimbazi (AMI)",info@ami-tanzania.ac.tz,Dar es Salaam,"Msimbazi, Dar es Salaam","+255713599268, +255786599268",ami-tanzania.ac.tz,montessori.or.tz training centres page,AMI teacher training centre est. 1967; run by Little Sisters of St. Francis of Assisi; MX_DEAD; PRIOR_CONTACT
Tanzania,MCT Head of Training (Magdalena),magdalena@montessori.or.tz,Dar es Salaam,Dar es Salaam,+255748501891,montessori.or.tz,montessori.or.tz training centres page,Contact person for all Tanzania training centre enquiries; PRIOR_CONTACT
Rwanda,Doves International Montessori School (DIMS),admin@dovesmontessori.com,Kigali,"Rebero KK30 Ave, Kigali",+250784334095,dovesmontessori.com,dovesmontessori.com official site,Rwanda's largest Montessori school; bilingual EN/FR + IB; est. 2011
Rwanda,Nature's Way International Montessori,admin@natureswaymontessori.rw,Kigali,"Kinyinya, Gacuriro, Kigali","+250794104476, +250791586357",natureswaymontessori.rw,natureswaymontessori.rw official site,Founded 2021; PRIOR_CONTACT
Kenya,Rainbow Connection Kindergarten and Primary,rainbowconnectionk@gmail.com,Mombasa County,"Nyali, Mombasa","+254715786801, +254722704919",rainbowconnection.co.ke,rainbowconnection.co.ke official site,Multicultural day school 1-14 years; Montessori + Primary wings
Zambia,Casa dei Bambini Montessori,admin@casadeibambinizambia.com,Lusaka Province,Lusaka,+260970011389,casadeibambinizambia.com,casadeibambinizambia.com official site,MEAB + ISAZ + Collaborative Montessori accredited; 155 pupils
Zambia,The Learning Ladder Montessori Kabulonga,NOT_FOUND,Lusaka Province,"21 Sable Rd, Kabulonga, Lusaka",NOT_FOUND,NOT_FOUND,zambiadirectory.com,email not published on directory
Zambia,Love of Learning Montessori School,NOT_FOUND,Lusaka Province,"Twin Palms Rd, Salama Park, Lusaka",NOT_FOUND,NOT_FOUND,vymaps.com,email not published; ages 3-5
Zambia,Dream Montessori School,NOT_FOUND,Lusaka Province,Lusaka,NOT_FOUND,NOT_FOUND,zambia.worldplaces.me,email not published
Zambia,Chalom Montessori School,NOT_FOUND,Lusaka Province,"Plot 81 Ngwezi Road, Roma, Lusaka",NOT_FOUND,NOT_FOUND,platform.labdoo.org,DISADVANTAGED - Labdoo listing suggests NGO/donation laptop programme partner; email not published
Zambia,Techno Kids Montessori Pre-school,NOT_FOUND,Lusaka Province,Lusaka,NOT_FOUND,NOT_FOUND,facebook.com,email not published; Facebook-only presence
Namibia,Montessori Centre,montessoricentre@iway.na,Khomas Region,"Cnr Jeanette & Willemien Street, Klein Windhoek",+264612277669,montessoricentrenamibia.com,montessoricentrenamibia.com official site,ISASA + OISE accredited; toddler through Grade 7; PRIOR_CONTACT
Namibia,One World Montessori School,NOT_FOUND,Khomas Region,"38 Dr Kwame Nkrumah Street, Ludwigsdorf, Windhoek",+264812723222,owmsn.com,owmsn.com official site,Established 2013; email not published on site
Namibia,Montessori Children's House,NOT_FOUND,Khomas Region,"14 Reuning Street, Klein Windhoek",NOT_FOUND,montessori-namibia.com,montessori-namibia.com (site fetch returned no content),Registered Montessori school; site did not render contact details on fetch
Morocco,École Montessori Casablanca (EMC),contact@montessoricasablanca.com,Casablanca-Settat,Casablanca (Californie/CIL/House of Youth campuses),+212522219668,montessoricasablanca.com,montessoricasablanca.com official site,First AMI community of professionals in Morocco; ages 1-19 across 3 campuses; admissions: admissions@montessoricasablanca.com; PRIOR_CONTACT
Morocco,École Montessori Rabat,NOT_FOUND,Rabat-Salé-Kénitra,"11 Avenue SAR Sidi Mohamed, Rabat",NOT_FOUND,montessori-rabat.com,findglocal.com / montessori-rabat.com,Branch of Ecole Montessori Casablanca; ages 1-4; email not published
Egypt,Nile River Montessori,info@nilerivermontessori.com,Giza,"23 El-Taef St, Dokki, Giza",+20 127 12418 76,nilerivermontessori.com,nilerivermontessori.com + montessori-egypt.org,"AMI-affiliated; Nido through Lower Elementary; 130+ children, 25+ nationalities"
Egypt,Evolution International School,NOT_FOUND,Giza,"New Giza campus, Km 22, Cairo/Alex Desert Rd, 6 October City","+20 100 3666223, +20 100 3566688",NOT_FOUND,montessori-egypt.org directory,Children's House (3-6) Montessori program; email not published
Egypt,Montessori Foundation of Egypt (regional network),NOT_FOUND,Cairo,Cairo,NOT_FOUND,montessori-egypt.org,montessori-egypt.org official site,"Regional association covering Egypt + Lebanon + Saudi Arabia; contact form only, no direct email published"
Zimbabwe,Mutendi Montessori Day School,admin@mutendimontessori.com,Harare,"Nyeredzi Ridge Estate, Alpes Road, Pomona, Harare","+263772448876, +263783341973",mutendimontessori.com,mutendimontessori.com official site,Self-described Africa's #1 Montessori school; ECD through A-Level; Montessori Group host centre partner; PRIOR_CONTACT
Zimbabwe,Montessori Zimbabwe (national association),NOT_FOUND,Harare,Harare,NOT_FOUND,NOT_FOUND,facebook.com/montessorizim,"Registered private non-profit promoting Montessori in Zimbabwe, formed Dec 2010; Facebook-only presence, no email found"
Zimbabwe,Tunyenyedzi Montessori Preschool,NOT_FOUND,Harare,"Emerald Hill, Harare",NOT_FOUND,NOT_FOUND,facebook.com/Tunyenyedzi,Facebook-only presence; email not published
Zimbabwe,Ayne's Montessori Preschool,NOT_FOUND,Harare,Harare,NOT_FOUND,NOT_FOUND,facebook.com/AynesMontessoriPreschool,Facebook-only presence; email not published
Zimbabwe,Wildflower Montessori School,wildflowermontessorizw@gmail.com,Harare,Harare,+263777080963,wildflowermontessorizw.com,wildflowermontessorizw.com official site,AMI-adherent standards; ages 3-6 Casa dei Bambini
Zimbabwe,Absorbent Minds Montessori Preschool,NOT_FOUND,Harare,"Milton Park, Harare",NOT_FOUND,NOT_FOUND,WhoDoYou.com directory,email not published
Zimbabwe,Bambini Montessori (Zimbabwe),NOT_FOUND,Harare,"Hillside, Harare",NOT_FOUND,NOT_FOUND,WhoDoYou.com directory,email not published; NOTE distinct from Bambini Montessori School Nairobi Kenya (different country/school)
Zimbabwe,Exploring Minds Montessori,NOT_FOUND,Harare,"Belvedere, Harare",NOT_FOUND,NOT_FOUND,WhoDoYou.com directory,email not published
Rwanda,Happy Hearts (3 preschool campuses: Amahoro/Rugarama/Kiyovu),info@happyhearts.rw,Kigali,Kigali (Kimihurura + Kiyovu),+250788300512,happyhearts.rw,happyhearts.rw official site,"Bilingual inclusive Montessori (NAMC curriculum, IMC member); DISADVANTAGED - also runs Rural Schools + summer camp charity programme + 501(c)3 nonprofit fundraising arm (Friends of Happy Hearts Inc)"
Rwanda,Cindi's Hope Early Learning Center,NOT_FOUND,Kigali,"M.Peace Plaza, Kigali",NOT_FOUND,cindishopeelc.com,cindishopeelc.com official site,Toddler + Early Childhood Montessori programs; email not published on site
Ethiopia,Gullele Montessori KG & Primary School,NOT_FOUND,Addis Ababa,Addis Ababa,"+251911983983, +251112704122, +251112701026",NOT_FOUND,addisbiz.com business directory,email not published; directory lists only phone numbers
Ethiopia,Humpty Dumpty Addis (Montessori preschool),humptydumptyaddis@yahoo.it,Addis Ababa,Addis Ababa,NOT_FOUND,humptydumptyaddis.wixsite.com/daycare,WebSearch result citing site,PRIOR_CONTACT
Ethiopia,MAG School (Montessori/Highscope),themagschool@gmail.com,Addis Ababa,Addis Ababa,NOT_FOUND,NOT_FOUND,WebSearch result,Uses both Montessori and Highscope methods
Botswana,Motse Motheo Preschool and Daycare,info@motsemotheo.com,South-East District,"Tawana, Broadhurst, Gaborone",+26771724984,motsemotheo.com,motsemotheo.com official site,English medium preschool + daycare; inclusive of special needs; not confirmed pure-Montessori but child-centred play-based curriculum
Botswana,Gaborone Montessori Pre-school,NOT_FOUND,South-East District,"Plot 304 Ext 5 Nswazwi Rd, Gaborone",3900704,NOT_FOUND,africanadvice.com directory,email not published
Botswana,Brookhills Montessori School,NOT_FOUND,South-East District,Gaborone,NOT_FOUND,NOT_FOUND,vymaps.com directory,email not published
Tanzania,Olive Branch Montessori Academy,TOBFCmontessori@gmail.com,Mbeya Region,"Majengo Mapya, Nsalaga District, Uyole, Mbeya","+22543225592, +225625371037",theolivebranchforchildren.org,theolivebranchforchildren.org official site,DISADVANTAGED - operated by Canadian/Irish NGO The Olive Branch for Children; est. 2016; 38 students = 17 Zion Peace Home orphan-home children + 7 scholarship + 14 fee-paying; toddlers through Grade 7
Uganda,Victoria Montessori School,NOT_FOUND,Wakiso District,"Kampala Road, Entebbe","PO Box 528, Entebbe",victoriamontessorischooluganda.com,WebSearch result + montessori-schools.com outreach page,DISADVANTAGED-adjacent - founded 2001 by Christine & Joseph Olanya with support from Northbrook United Methodist Church (Illinois) + Winnetka-Northfield Rotary Club; leased abandoned government building; email not found on fetch attempt (site returned no content)
Zimbabwe,Montessori Zimbabwe (Trust + School),info@montessorizimbabwe.org,Bulawayo,"46 Clark Road, Bulawayo",+263772213137,montessorizimbabwe.org,montessorizimbabwe.org official site,Non-profit trust founded by Nicki Pugh; ages 2-13; inclusive of special educational needs; feeds from Greystone Montessori Preschool; PRIOR_CONTACT
Zimbabwe,Greystone Montessori Preschool,NOT_FOUND,Bulawayo,Bulawayo,NOT_FOUND,NOT_FOUND,facebook.com/GreystoneMontessori52 + montessorizimbabwe.org,"Registered with Ministry of Education 1995; led by Nicki Pugh; ages 1-5; feeds into Montessori Zimbabwe; Facebook-only presence, email not published"
Zimbabwe,Jabulani Montessori Nursery School,NOT_FOUND,Bulawayo,"4 Gaul Avenue, Khumalo, Bulawayo",NOT_FOUND,NOT_FOUND,vymaps.com / schoolandcollegelistings.com,email not published
