School,Email,Region,Suburb,City,Phone,Website,Membership
Jacaranda Montessori,info@jacarandamontesssori.co.za,Gauteng (JHB),Montgomery Park,Johannesburg,083 786 8812,www.jacarandamontessori.co.zaSAMA2025-10-30T10:45:41+02:00SAMASchools,Progressive
Kids Town Montessori Pre-Primary,info@kidstown.co.za,Gauteng (JHB),Morningside Manor,Johannesburg,082 498 8507,www.kidstown.co.zaSAMA2024-12-05T13:03:42+02:00SAMASchools,Progressive
Little Minds Montessori,robyn@littleminds.co.za,Gauteng (JHB),Edenvale,Johannesburg,083 968 8596,www.littleminds.co.zaSAMA2026-02-15T09:57:37+02:00SAMASchools,Initiate
Little Steps Montessori and Nursery,littlestepssa@gmail.com,Gauteng (JHB),Crosby,Johannesburg,(011) 837 3034,NotApplicableSAMA2026-03-02T14:58:45+02:00SAMASchools,Progressive
LittleHill Montessori Emmarentia,emmarentia@littlehill.co.za,Gauteng (JHB),Emmarentia,Johannesburg,(011) 782 1808,www.littlehill.co.zaSAMA2026-02-19T13:57:35+02:00SAMASchools,Progressive
Living Montessori,sabashni@livingmontessori.co.za,Gauteng (JHB),North Riding,Johannesburg,082 494 2335,www.livingmontessori.co.zaSAMA2025-02-04T15:45:19+02:00SAMASchools,Full
Lotus Preschool and Aftercare,vprincipal@lotuspreschool.co.za & director@lotuspreschool.co.za,Gauteng (JHB),Gallo Manor,Johannesburg,081 555 7377,www.lotuspreschool.co.zaSAMA2026-03-02T14:29:57+02:00SAMASchools,Progressive
Maria Montessori House,admin@mariamontessori.co.za,Gauteng (JHB),Fourways,Johannesburg,082 331 2897,www.mariamontessorihouse.co.zaSAMA2026-06-03T13:04:31+02:00SAMASchools,Progressive
Midrand Montessori Preschool,info@midrandmontessori.co.za,Gauteng (JHB),Carlswald,Johannesburg,064 774 9642,www.midrandmontessori.co.zaSAMA2026-03-30T13:28:25+02:00SAMASchools,Progressive
Montessori Kindergarten,montkindazd@gmail.com,Gauteng (JHB),Azaadville,Johannesburg,084 790 4309,NotApplicableSAMA2026-03-11T10:25:47+02:00SAMASchools,Initiate
Nexo NPC,admin@nexo.education,Gauteng (JHB),Randburg,Johannesburg,(011) 792 4796,www.nexo.educationSAMA2026-04-20T13:13:24+02:00SAMASchools,Progressive
Noordwyk Montessori Preschool,info@midrandmontessori.co.za,Gauteng (JHB),Noordwyk,Johannesburg,082 080 7440,www.midrandmontessori.co.zaSAMA2026-03-24T13:38:54+02:00SAMASchools,Progressive
Nurture and Nature Montessori Preschool Bryanston,pam@nurtureandnature.co.za,Gauteng (JHB),Bryanston,Johannesburg,(011) 463 9586,www.nurtureandnature.co.zaSAMA2026-02-05T15:40:15+02:00SAMASchools,Initiate
Nurture and Nature Montessori Preschool Magaliessig,pam@nurtureandnature.co.za,Gauteng (JHB),Magaliessig,Johannesburg,(011) 465 1129,www.nurtureandnature.co.zaSAMA2025-05-20T13:30:45+02:00SAMASchools,Progressive
Nurture and Nature Montessori Preschool Sandton,pam@nurtureandnature.co.za,Gauteng (JHB),Sandton,Johannesburg,(011) 705 3170,www.nurtureandnature.co.zaSAMA2026-02-05T15:39:28+02:00SAMASchools,Initiate
Plaintree Montessori,admin@plaintreemontessori.co.za,Gauteng (JHB),Kensington,Johannesburg,082 684 7768,www.plaintreemontessori.co.zaSAMA2025-01-31T14:40:22+02:00SAMASchools,Progressive
Posh Minions Montessori School,info@poshminions.co.za,Gauteng (JHB),Dawn Park,Johannesburg,076 361 5484,www.poshminions.co.zaSAMA2026-03-19T13:10:28+02:00SAMASchools,Initiate
Rainbow Kiddies Montessori School,rainbowkiddiesnursery@gmail.com,Gauteng (JHB),Eastleigh,Johannesburg,(011)609 0503,www.rainbowkiddiesnursery.co.zaSAMA2026-02-19T14:36:46+02:00SAMASchools,Initiate
Royal Kids Montessori,royalkidsmontessoriRKM@gmail.com,Gauteng (JHB),Midrand,Johannesburg,(011) 702 3241,NotApplicableSAMA2026-02-19T12:56:37+02:00SAMASchools,Initiate
Ruimsig Montessori International School,kelseyharrop@rmischool.co.za,Gauteng (JHB),Ruimsig,Johannesburg,082 448 3829,www.rmischool.co.zaSAMA2026-03-03T15:45:23+02:00SAMASchools,Full
Sandton Montessori,sandtonmontessori@telkomsa.net,Gauteng (JHB),Sandton,Johannesburg,(011) 883 1946,www.sandtonmontessori.co.zaSAMA2025-03-06T15:32:42+02:00SAMASchools,Conditional Full
Singing Forest Montessori Eco School,heather@montessoriecoschools.co.za,Gauteng (JHB),Witkoppen Ext 3,Johannesburg,072 159 1876,www.montessoriecoschools.co.zaSAMA2026-04-15T13:36:30+02:00SAMASchools,Progressive
Skitterland Montessori,colleen@skitterlandmontessori.co.za,Gauteng (JHB),Vanderbijlpark,Vanderbijlpark,(016) 932 3303,www.skitterlandmontessori.co.zaSAMA2023-03-02T15:32:37+02:00SAMASchools,Progressive
Skylou Montessori,skylo@mwebbiz.co.za,Gauteng (JHB),Cinderella,Johannesburg,083 226 1014,www.skylomontessori.co.zaSAMA2026-02-18T14:11:12+02:00SAMASchools,Initiate
Southside Preparatory School,info@southsideschools.co.za,Gauteng (JHB),Kibler Park,Johannesburg,082 920 8042/ 083 265 1771,www.southsidemontessori.co.zaSAMA2025-02-14T13:36:39+02:00SAMASchools,Progressive
Sunbeams Montessori,info@sunbeamsmontessori.co.za,Gauteng (JHB),Northcliff,Johannesburg,060 563 0573,www.sunbeamsmontessori.co.zaSAMA2025-02-14T12:46:44+02:00SAMASchools,Initiate
Sutherland Academy,sphiwo@sutherland-academy.com,Gauteng (JHB),Nooitgedacht,Johannesburg,064 525 5252,www.sutherland-academy.comSAMA2026-02-19T10:40:04+02:00SAMASchools,Initiate
Teddy Bears Montessori,info@teddybearsmontessori.co.za,Gauteng (JHB),Emmarentia,Johannesburg,082 928 4411,www.teddybearsmontessori.co.zaSAMA2026-02-11T14:47:28+02:00SAMASchools,Progressive
The Cotswold Country Montessori School,principal@cotswoldmontessori.co.za,Gauteng (JHB),Benoni,Johannesburg,079 366 7772,www.cotswoldmontessori.co.zaSAMA2026-03-09T13:58:27+02:00SAMASchools,Conditional Full
The Cottage Montessori Preschool Radiokop,explore@radiokopmontessori.co.za,Gauteng (JHB),Radiokop,Johannesburg,074 437 8480,www.radiokopmontessori.co.zaSAMA2025-05-09T09:21:54+02:00SAMASchools,Full
The Cottage Montessori School Featherbrooke,cottagemontessori@gmail.com,Gauteng (JHB),Krugersdorp,Johannesburg,082 448 3829,www.cottagemontessori.co.zaSAMA2024-06-10T14:46:32+02:00SAMASchools,Full
The Glen Montessori School,glenmontessori@gmail.com,Gauteng (JHB),Midrand,Johannesburg,082 256 3281,www.theglenmontessori.co.zaSAMA2025-07-17T08:41:10+02:00SAMASchools,Conditional Full
The Little Star Montessori Pre-School,laurie@littlestarmontessori.co.za,Gauteng (JHB),Parkhurst,Johannesburg,083 616 0887,NotApplicableSAMA2026-03-04T16:00:40+02:00SAMASchools,Progressive
The Willows Montessori School,info@thewillows-school.co.za,Gauteng (JHB),Bordeaux,Johannesburg,(011) 787 8293,www.thewillows-school.co.zaSAMA2025-04-07T10:10:50+02:00SAMASchools,Progressive
Carefree Kid's Montessori Centre,info@carefreekids.co.za,Gauteng (PTA),Garsfontein,Pretoria,083 632 9175,www.carefreekids.co.zaSAMA2023-03-17T10:51:47+02:00SAMASchools,Initiate
Centurion Montessori,admin@centurionmontessori.co.za,Gauteng (PTA),Centurion,Pretoria,(012) 653 4177,www.centurionmontessori.co.zaSAMA2026-02-14T11:02:54+02:00SAMASchools,Progressive
Constantia Montessori,constantiamontessori@gmail.com,Gauteng (PTA),Constantia Park,Pretoria,(012) 998 1210,www.constantiamontessori.co.zaSAMA2026-02-10T15:46:20+02:00SAMASchools,Progressive
Cullinan's Casa Dei Bambino Montessori School,bambinocullies@gmail.com,Gauteng (PTA),Cullinan,Pretoria,076 060 0502,NotApplicableSAMA2026-03-09T11:19:33+02:00SAMASchools,Conditional Full Level Membership
Hatfield Montessori Preschool,hatfield.montessori.preschool@gmail.com,Gauteng (PTA),Hatfield,Pretoria,(012) 362 0269,www.hatfieldmontessori.co.zaSAMA2024-12-09T09:11:53+02:00SAMASchools,Full
Joyspring Montessori,colleen@joyspringmontessori.co.za,Gauteng (PTA),Garsfontein,Pretoria,083 445 3384,www.joyspringmontessori.co.zaSAMA2026-03-30T12:57:00+02:00SAMASchools,Progressive
Kaleidoscope School,kaleidoscope@vodamail.co.za,Gauteng (PTA),Nestpark,Bapsfontein,(011) 964 1442/ Fax 088 011 964 1442,NotApplicableSAMA2024-02-09T09:30:51+02:00SAMASchools,Initiate
Kids Choice Montessori,bevbasson99@gmail.com,Gauteng (PTA),Meyerspark,Pretoria,083 457 6231,NotApplicableSAMA2024-07-30T11:23:22+02:00SAMASchools,Initiate
Monaghan Montessori School,info@farmschool.xyz,Gauteng (PTA),Lanseria,Pretoria,064 849 7022,www.farmschool.xyzSAMA2026-03-02T15:42:12+02:00SAMASchools,Full
Montessori Academy & College,admin@montessori.za.com,Gauteng (PTA),Zwavelpoort,Pretoria,(012) 996 3312,www.montessori.za.comSAMA2025-03-26T10:17:36+02:00SAMASchools,Conditional Full
Montessori Eersterust Preschool,eleanor@montessorieersterust.co.za,Gauteng (PTA),Eersterust,Pretoria,(012) 806 8778,www.montessorieersterust.co.zaSAMA2025-02-12T13:55:21+02:00SAMASchools,Progressive
Montessori Roodeplaat Preschool,marichelle@m-r.co.za,Gauteng (PTA),Roodeplaat,Pretoria,083 585 3334,www.m-r.co.zaSAMA2025-02-10T15:53:22+02:00SAMASchools,Progressive
Morning Star Montessori School,info@morningstarmontessori.co.za,Gauteng (PTA),Faerie Glen,Pretoria,(012) 991 0228,www.morningstarmontessori.co.zaSAMA2026-02-20T12:46:14+02:00SAMASchools,Full
Pooh Bear Montessori,reneworst@gmail.com,Gauteng (PTA),Menlo Park,Pretoria,082 457 0445,www.poohbearmontessori.co.zaSAMA2026-02-04T15:40:31+02:00SAMASchools,Progressive
Rooihuiskraal Montessori,elaine.rhkmontessori@telkomsa.net,Gauteng (PTA),Rooihuiskraal,Pretoria,(012) 661 2563,www.rhkmontessori.co.zaSAMA2026-02-24T13:21:09+02:00SAMASchools,Initiate
Village Montessori School,info@villagemontessorischool.co.za,Gauteng (PTA),Centurion,Pretoria,(012) 664 2944,www.villagemontessorischool.co.za/home_page.htmSAMA2026-03-03T12:44:41+02:00SAMASchools,Full
Zonkie Montessori Preschool,admin@zonkiemontessori.co.za,Gauteng (PTA),Lynnwood Ridge,Pretoria,(012) 361 6751,www.zonkiemontessori.co.zaSAMA2025-11-05T13:26:04+02:00SAMASchools,Progressive
Alex Blaikie Montessori School,admin@puremontessori.com,Western Cape,Bloubergrand,Cape Town,(021) 556 8564,www.puremontessori.comSAMA2021-07-14T11:51:20+02:00SAMASchools,Progressive
Alpha Montessori,info@alphamontessori.co.za,Western Cape,Sunset Beach,Cape Town,068 282 6855,NotApplicableSAMA2026-05-08T15:22:14+02:00SAMASchools,Initiate
Auburn House School,info@auburnhouse.co.za,Western Cape,Kenilworth,Cape Town,(021) 797 7872,www.auburnhouse.co.za/SAMA2025-02-21T09:14:53+02:00SAMASchools,Full
Baseerah Montessori,info@baseerahMontessori.co.za,Western Cape,Kensington,Cape Town,065 955 3730,www.baseerahmontessori.co.zaSAMA2025-03-06T13:03:41+02:00SAMASchools,Initiate
Blue Moon Montessori School,info@bluemoonmontessori.org,Western Cape,Bergvliet,Cape Town,068 609 2428,bluemoonmontessori.orgSAMA2026-02-19T11:28:06+02:00SAMASchools,Full
Cape Town Montessori School,secretary@ctms.org.za,Western Cape,Oranjezicht,Cape Town,(021) 465 4003,www.ctms.org.zaSAMA2026-02-20T14:46:44+02:00SAMASchools,Progressive
Cornerstone Children's Centre,cornerstone.somersetwest@gmail.com,Western Cape,Heldervue,Somerset West,078 782 2383,www.advancedlearning.xyzSAMA2025-04-22T07:24:49+02:00SAMASchools,Initiate
Darun Na'im Montessori School,adminmontessori@darun-naim.co.za,Western Cape,Wynberg,Cape Town,081 725 5740,www.darun-naim.co.zaSAMA2026-04-09T10:20:09+02:00SAMASchools,Conditional Full
Honeycomb Montessori Preschool,principal@honeycombpreschool.co.za,Western Cape,Constantia,Cape Town,(021) 794 3725,www.honeycombpreschool.comSAMA2024-03-19T11:46:18+02:00SAMASchools,Progressive
Jo's School,joschool@elfmontessori.co.za,Western Cape,Vrygrond,Cape Town,072 869 0780,www.melf.co.za/jos-schoolSAMA2026-03-11T09:37:07+02:00SAMASchools,Progressive
Journey Montessori Preschool,journeymont@gmail.com,Western Cape,Durbanville,Cape Town,082 043 4074,www.journeymontessori.co.za/SAMA2026-05-14T09:31:57+02:00SAMASchools,Progressive
Jubilee Montessori Academy,admin@jubileemontessori.co.za,Western Cape,Oudtshoorn,Oudtshoorn,Reception: 079 352 2539/ Hester: 072 226 8601/ Wena: 084 895 0030,NotApplicableSAMA2021-03-30T15:31:11+02:00SAMASchools,Progressive
Keys Montessori School,karabroli@gmail.com,Western Cape,Oudtshoorn,Oudtshoorn,079 516 4558,www.facebook.com/profile.php?id=100075992630260SAMA2025-02-10T13:14:02+02:00SAMASchools,Initiate
Knysna Montessori School,admin@knysnamontessori.co.za,Western Cape,Knysna,Knysna,(044) 382 5316 / (044) 382 0554,www.knysnamontessori.co.zaSAMA2021-03-15T11:54:25+02:00SAMASchools,Initiate
Lily House Claremont,caitlin@lilyhouseschool.co.za,Western Cape,Claremont,Cape Town,074 549 7336,www.lilyhouseschool.co.zaSAMA2026-03-24T14:09:04+02:00SAMASchools,Initiate
Lily House Durbanville,caitlin@lilyhouseschool.co.za,Western Cape,Durbanville,Cape Town,074 549 7336,www.lilyhouseschool.co.zaSAMA2026-04-24T13:16:33+02:00SAMASchools,Initiate
Lily House Melkbos,hello@lilyhouseschool.co.za,Western Cape,Van Riebeeckstrand,Cape Town,064 776 5075,www.lilyhouseschool.co.zaSAMA2026-03-16T10:48:55+02:00SAMASchools,Initiate
Little Mouse Montessori,charmaine@littlemouse.co.za,Western Cape,Fraaiuitsig,Mosselbay,082 667 0636,www.littlemouse.co.zaSAMA2026-03-09T15:14:21+02:00SAMASchools,Initiate
Little Stars Montessori,info@littlestars.co.za,Western Cape,Sun Valley,Cape Town,071 401 4861,NotApplicableSAMA2026-02-06T15:34:38+02:00SAMASchools,Initiate
Molo Mhlaba Schools,molo@molomhlaba.org,Western Cape,Harare,Cape Town,071 082 4191,www.molomhlaba.orgSAMA2026-02-17T13:18:07+02:00SAMASchools,Initiate
Montessori Academy of Pinelands (MAP),info@mapmontessori.co.za,Western Cape,Pinelands,Cape Town,(021) 531 8937,www.mapmontessori.co.zaSAMA2020-12-03T11:06:48+02:00SAMASchools,Initiate
Montessori at Home Independent School,admin@montessoriathome.co.za,Western Cape,Paarl,Paarl,083 639 0633,www.montessoriathome.co.zaSAMA2026-03-19T12:39:27+02:00SAMASchools,Full
Montessori Connect Primary,montessoriconnectprimary@gmail.com,Western Cape,Claremont,Cape Town,072 714 2750,www.montessoriconnect.co.zaSAMA2026-03-06T12:43:54+02:00SAMASchools,Progressive
Montessori on Kloof,seapoint@elfmontessori.co.za,Western Cape,Seapoint,Cape Town,072 335 8530,www.melf.co.za/melf-montessori-on-kloofSAMA2026-05-26T14:59:47+02:00SAMASchools,Progressive
Moon Rise Montessori,joe@moonrise.co.za,Western Cape,,Paarl,083 302 3539,www.moonrisemontessori.co.zaSAMA2024-12-04T11:02:53+02:00SAMASchools,Conditional Full
Mulberry Tree Montessori,nadia@mulberrytree.co.za,Western Cape,Bergvliet,Cape Town,071 125 7070,www.facebook.com/mulberrytreemontessori/SAMA2026-04-08T14:39:02+02:00SAMASchools,Full
Nature's Will Montessori,natureswillm@gmail.com,Western Cape,Mitchell's Plain,Cape Town,069 215 4427,NotApplicableSAMA2025-10-30T10:18:16+02:00SAMASchools,Initiate
Newberry House Montessori School,secretary@newberry.co.za,Western Cape,Somerset West,Somerset West,(021) 847 1585,www.newberryhouse.comSAMA2025-03-12T12:32:59+02:00SAMASchools,Full
Noordhoek Montessori,noordhoekmontessori@gmail.com,Western Cape,Noordhoek,Cape Town,072 250 8686,www.noordhoekmontessori.weebly.com/SAMA2026-02-11T15:14:40+02:00SAMASchools,Full
Oakdale Montessori School Bellville,admin@oakdalemontessori.co.za,Western Cape,Bellville,Cape Town,083 703 8451,www.oakdalemontessori.co.zaSAMA2026-03-04T11:48:49+02:00SAMASchools,Conditional Full
Oakdale Montessori School Sunningdale,admin@oakdalemontessori.co.za,Western Cape,Sunningdale,Cape Town,083 703 8451,www.oakdalemontessori.co.zaSAMA2026-03-04T11:49:56+02:00SAMASchools,Conditional Full
Pinelands Montessori,info@pinelandsmontessori.co.za,Western Cape,Pinelands,Cape Town,074 745 7860,www.pinelandsmontessori.co.zaSAMA2026-03-06T15:07:08+02:00SAMASchools,Progressive
Rainbow Montessori School,info@rainbowmont.co.za,Western Cape,Durbanville,Cape Town,(021) 975 4831,www.rainbowmontessorischool.co.zaSAMA2026-03-06T13:16:55+02:00SAMASchools,Conditional Full/ Progressive
Ready Steady Grow Montessori,debbievdw@mweb.co.za,Western Cape,Pinelands,Cape Town,(021) 531 7372,www.ready-steady-grow.co.zaSAMA2021-02-19T15:07:10+02:00SAMASchools,Initiate
Riversyde Montessori Preschool,riversydemontessori@gmail.com,Western Cape,Durbanville,Cape Town,(021) 976 3771,www.riversydemontessori.co.zaSAMA2024-11-20T09:14:26+02:00SAMASchools,Conditional Full
Rondebosch Montessori Preschool,info@rondeboschmontessori.co.za,Western Cape,Rondebosch,Cape Town,(021) 671 9838,www.rondeboschmontessori.co.zaSAMA2025-02-07T11:33:36+02:00SAMASchools,Conditional Full Level Membership
Shereens Montessori,info@shereensmontessori.co.za,Western Cape,Salt River,Cape Town,(021) 447 7810,www.shereensmontessori.co.zaSAMA2024-06-10T14:45:34+02:00SAMASchools,Full
Stellenbosch Montessori Preschool,stellenboschmontessori@gmail.com,Western Cape,Stellenbosch,Stellenbosch,082 689 2918,www.stellenbosch-montessori.comSAMA2026-02-24T12:58:59+02:00SAMASchools,Full
The Bay Academy,kym@thebayacademy.co.za & jacqui@thebayacademy.co.za,Western Cape,Hout Bay,Cape Town,082 829 9939,www.thebayacademy.co.zaSAMA2024-11-26T08:29:28+02:00SAMASchools,Progressive
The Children's Studio Montessori Preschool,principal@childrensstudio.co.za,Western Cape,Claremont,Cape Town,068 733 4444,www.childrensstudio.co.zaSAMA2026-05-20T10:13:41+02:00SAMASchools,Progressive
The Lamp Montessori Preschool,thelampmontessori@gmail.com,Western Cape,Crawford,Cape Town,082 468 0875,NotApplicableSAMA2026-06-08T13:55:49+02:00SAMASchools,Initiate
The Sinai Academy,admin@sinaiacademy.co.za,Western Cape,Blouberg,Cape Town,(021) 557 7560,www.sinaiacademy.co.zaSAMA2024-08-05T11:22:06+02:00SAMASchools,Progressive
Wellington CASA Children's Montessori Centre,claire.wellingtoncasa@gmail.com,Western Cape,Wellington,Wellington,082 561 1169,NotApplicableSAMA2026-05-08T14:20:12+02:00SAMASchools,Conditional Full
Yabonga Childrens Project,reception@yabonga.org,Western Cape,Khayelitsha,Cape Town,(021) 761 2940,www.yabonga.orgSAMA2026-04-20T09:11:59+02:00SAMASchools,Initiate
Zenith Montessori,info@zenithmontessori.co.za,Western Cape,Burgundy Estate,Cape Town,(021) 558 7951,www.zenithmontessori.co.zaSAMA2026-05-08T15:49:05+02:00SAMASchools,Initiate
Hilton Montessori,office@hiltonmontessori.co.za,Kwazulu Natal,Hilton,Pietermaritzburg,083 443 7272,www.hiltonmontessori.co.zaSAMA2026-02-26T12:02:48+02:00SAMASchools,Initiate
Learnmore Montessori Preschool,learnmoremontessori1@gmail.com,Kwazulu Natal,Scottsville,Pietermaritzburg,071 507 2361,NotApplicableSAMA2025-02-20T15:04:15+02:00SAMASchools,Initiate
Little Cottage Montessori School,littlecottage14@gmail.com,Kwazulu Natal,Montrose,Pietermaritzburg,082 330 4811,NotApplicableSAMA2026-02-26T12:36:41+02:00SAMASchools,Progressive
Little Montessorians Academy,raziasayed@me.com,Kwazulu Natal,Shallcross,Shallcross,082 553 7860,NotApplicableSAMA2026-04-15T13:54:15+02:00SAMASchools,Initiate
Little Seedlings Montessori,kendallwurdemann@gmail.com,Kwazulu Natal,Hillcrest,Durban,083 321 3345,NotApplicableSAMA2026-06-23T11:17:32+02:00SAMASchools,Initiate
Montessori Life Pre-Primary,nicky@topschools.co.za,Kwazulu Natal,Sunningdale,Durban,072 444 7277,www.montessori-life.comSAMA2026-03-02T14:01:21+02:00SAMASchools,Initiate
Nurture and Nature Montessori Preschool Ballito,pam@nurtureandnature.co.za,Kwazulu Natal,Ballito,Ballito,084 272 4407,www.nurtureandnature.co.za/ballito/SAMA2025-03-07T13:18:01+02:00SAMASchools,Initiate
Ocean View Montessori School,info@ovmschool.co.za,Kwazulu Natal,Durban North,Durban,(031)564 4609,www.oceanviewmontessorischool.co.zaSAMA2025-02-18T13:37:48+02:00SAMASchools,Full
Phoenix Montessori Preschool,karenmoodley57@gmail.com,Kwazulu Natal,Lenham,Phoenix,083 992 6165,NotApplicableSAMA2024-02-27T14:13:35+02:00SAMASchools,Initiate
Poppy Seeds Montessori Preschool,poppy@poppyseeds.co.za,Kwazulu Natal,Ballito,Ballito,081 867 7195,www.poppyseeds.co.zaSAMA2025-03-07T13:11:28+02:00SAMASchools,Initiate
Seedlings Montessori Preschool,anna@seedlingsmontessori.co.za,Kwazulu Natal,,Hilton,083 448 4770,www.seedlingsmontessori.co.zaSAMA2026-05-08T13:54:28+02:00SAMASchools,Initiate
Sunshine Montessori,sunshinedcm@gmail.com,Kwazulu Natal,Avoca,Durban,082 843 6461,www.sunshinemontessori.co.zaSAMA2026-04-22T15:27:12+02:00SAMASchools,Progressive
The Montessori Nest,office@themontessorinest.co.za,Kwazulu Natal,Athlone,Pietermaritzburg,082 822 8793,themontessorinest.co.zaSAMA2024-02-12T10:57:29+02:00SAMASchools,Initiate
Winterskloof Montessori,admin@wkpreschool.co.za,Kwazulu Natal,Winterskloof,Pietermaritzburg,068 586 2477,www.wkpreschool.co.zaSAMA2024-11-27T12:29:58+02:00SAMASchools,Initiate
East London Montessori School,montessorieastlondon@gmail.com,Eastern Cape,Beacon Bay,East London,(043) 740 0581,www.eastlondonmontessori.co.zaSAMA2026-04-02T12:18:46+02:00SAMASchools,Initiate
"Elliot Academy, Division of Brylin Independent Learning Centre",office@brylin.co.za,Eastern Cape,Fairview,Port Elizabeth,(041) 368 7110,www.brylin.co.zaSAMA2025-02-19T14:53:56+02:00SAMASchools,Initiate
Ikhaya Labantwana Montessori,ilm@sustainablecoffeebay.org.za,Eastern Cape,Jonga Village,Coffee Bay,073 303 4381,www.sustainablecoffeebay.org.za/projects/ikhaya-labantwana-montessoriSAMA2026-03-11T10:05:19+02:00SAMASchools,Progressive
Jonga Montessori Elementary School,Jongamontessori@gmx.de,Eastern Cape,Coffee Bay,Coffee bay,073 290 8855,JongaMontessoriCoffeeBayFacebookPageSAMA2025-04-22T11:58:54+02:00SAMASchools,Initiate
Maya's Montessori School,montessorieastlondon@gmail.com,Eastern Cape,Gonubie,East London,083 565 8733,NotApplicableSAMA2025-01-29T12:03:10+02:00SAMASchools,Initiate
Ncinci One's Montessori Hole In The Wall,ncincionesmontessori@gmail.com,Eastern Cape,Hole In The Wall,Mqanduli,076 955 1008,www.wildcoast.co.za/ncinci-onesSAMA2026-03-11T08:44:33+02:00SAMASchools,Progressive
Talhado Montessori Pre-School,info@talhadochildrenshaven.org,Eastern Cape,Sea Vista,St Francis Bay,063 662 4636,www.talhadochildrenshaven.orgSAMA2026-03-11T11:03:19+02:00SAMASchools,Initiate
Maluti Montessori Centre,malutimontessori@gmail.com,Free State,,Senekal,071 858 1065,NotApplicableSAMA2026-03-19T14:43:45+02:00SAMASchools,Initiate
Acacia Montessori,admin@acaciamontessori.co.za,Mpumalanga,West Acres,Nelspruit,082 783 0078,www.acaciamontessori.co.zaSAMA2026-02-20T14:23:28+02:00SAMASchools,Initiate
Creative Minds Montessori,tas.shaik@gmail.com,Mpumalanga,West Acres,Nelspruit,084 205 4955,NotApplicableSAMA2024-03-01T10:36:24+02:00SAMASchools,Initiate
Treeside Montessori Preschool,terri.sass@treeside.co.za,Mpumalanga,Mbombela,Nelspruit,071 016 5284,www.treeside.co.zaSAMA2026-03-30T12:17:11+02:00SAMASchools,Initiate
Whizz Kids Montessori,whizzkidsmontessorirg@gmail.com,Mpumalanga,Reyno Ridge,Witbank,083 235 5825,NotApplicableSAMA2026-02-19T11:56:15+02:00SAMASchools,Conditional Full Level Membership
Aunty Fee's Montessori Gems,montessorigems@gmail.com,Limpopo,Old Town,Louis Trichardt,072 620 2767,NotApplicableSAMA2026-02-24T15:15:19+02:00SAMASchools,Initiate
