School,Email,Region,City,Phone,Website,Source,Notes
Blaisdale Montessori School - Westney campus,info@blaisdale.com,Ontario,O'Brien Court Ajax,(905)%20426-5665,http://www.blaisdale.com,Montessori Canada (CCMA) member directory,
Blue Butterfly Montessori School,info@bluebutterflyms.com,Ontario,Richmond Street West Toronto,(416)%20479-0202,,Montessori Canada (CCMA) member directory,
Bluebell Montessori School,jill.nickerson@gmail.com,New Brunswick,Argyle Street Fredericton,(506)%20471-4979,,Montessori Canada (CCMA) member directory,
Boardwalk Montessori School,office@boardwalkmontessori.com,Ontario,B Queen Street East Toronto,(416)%20691-6740,,Montessori Canada (CCMA) member directory,
Brackendale Montessori & Elementary School,info@brackendalemontessori.com,Ontario,Harwood Avenue Ajax,(905)%20686-9997,http://www.brackendalemontessori.com,Montessori Canada (CCMA) member directory,
Brason Academy Montessori School - Cambridge,info@brasonmontessori.ca,Ontario,Groh Avenue Cambridge,(519)%20220-1244,,Montessori Canada (CCMA) member directory,
Brason Academy Montessori School - Kitchener,user@domain.com.,,,(519)%20998-5421,http://www.brasonmontessori.ca,Montessori Canada (CCMA) member directory,
Brason Academy Montessori School - Waterloo,user@domain.com.,,,(548)%20288-4428,http://www.brasonmontessori.ca,Montessori Canada (CCMA) member directory,
Bright Scholars Academy,NOT_FOUND,Ontario,Falconer Drive Mississauga,(905)%20826-3595,https://brightscholars.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Bright Scholars Montessori Caledon,NOT_FOUND,Ontario,Dougall Avenue Caledon,(905)%20843-0762,https://brightscholars.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Brimley Bloom Montessori (formerly Kiddiekidz Child Care),NOT_FOUND,Ontario,Brimley Rd Scarborough,(437)%20673-7140,https://www.brimleybloom.com/,Montessori Canada (CCMA) member directory,junk email artifact removed; phone/site available
CT Family Learning Centre and Montessori School Inc.,ctfamilymontessori@gmail.com,Ontario,Simcoe Street North Oshawa,(905)%20404-1234,http://www.ctfamilymontessori.com,Montessori Canada (CCMA) member directory,
Casa Dee Montessori School - Bolton campus,contact@casadeemontessori.com,Ontario,A Bolton,(905)%20955-2333,http://www.casadeemontessori.com,Montessori Canada (CCMA) member directory,
Casa Dee Montessori School - Brampton Campus,contact@casadeemontessori.com,Ontario,Remembrance Road Brampton,(905)%20955-2333,http://www.casadeemontessori.com,Montessori Canada (CCMA) member directory,
Casa Dee Montessori School - Brampton Mcvean campus,contact@casadeemontessori.com,Ontario,Brampton,(905)%20955-2333,http://www.casadeemontessori.com,Montessori Canada (CCMA) member directory,
Casa Mia Montessori,Info@casamiamontessori.ca,Alberta,Masters Row SE Calgary,(403)%20922-2027,https://www.casamiamontessori.ca,Montessori Canada (CCMA) member directory,
Casa Vera Montessori School,mail@casaverams.com,Ontario,Keele Street Toronto,(416)%20850-9705,,Montessori Canada (CCMA) member directory,
Central Montessori School - Main York Mills campus,nmohajer@cmschool.net,Ontario,Coldwater Road Toronto,(416)%20733-9758,,Montessori Canada (CCMA) member directory,
Central Montessori School - Maplehurst Early Years campus,nmohajer@cmschool.net,Ontario,Sheppard Avenue East Toronto,(416)%20221-3289,,Montessori Canada (CCMA) member directory,
Central Montessori School - Maplehurst campus,nmohajer@cmschool.net,Ontario,Maplehurst Avenue North York,(416)%20222-9207,,Montessori Canada (CCMA) member directory,
Central Montessori School - Thornhill campus,nmohajer@cmschool.net,Ontario,Steeles Avenue West Thornhill,(905)%20889-0012,,Montessori Canada (CCMA) member directory,
Central Montessori School - Willowdale campus,nmohajer@cmschool.net,Ontario,Willowdale Avenue North York,(416)%20250-1022,,Montessori Canada (CCMA) member directory,
Children's Circle Montessori School,daniela@childrenscirclemontessori.com,Ontario,Brisdale Drive Brampton,(905)%20609-6900,,Montessori Canada (CCMA) member directory,
Clanmore Montessori School,laustin@clanmore.ca,Ontario,Lakeshore Road East Oakville,(905)%20337-8283,,Montessori Canada (CCMA) member directory,
Curlew Montessori School,raihana.mohideen@curlewmontessori.com,Ontario,Curlew Drive Toronto,(416)%20385-7373,,Montessori Canada (CCMA) member directory,
DMS Montessori Preschool and Daycare,dinascarcelli@hotmail.com,Ontario,Simcoe Street North Oshawa,(905)%20728-3372,,Montessori Canada (CCMA) member directory,
DMS Montessori Preschool and Daycare Inc.,dms@bellevillemontessori.net,Ontario,Belleville,(905)%20999-8176,https://dmsmontessoribelleville.com,Montessori Canada (CCMA) member directory,
Dearcroft Montessori School - Lakeshore campus,cdeborba@dearcroftmontessori.com,Ontario,Lakeshore Road East Oakville,(905)%20844-2114,,Montessori Canada (CCMA) member directory,
Dearcroft Montessori School - Rebecca campus,cdeborba@dearcroftmontessori.com,Ontario,Rebecca Street Oakville,(905)%20616-1439,,Montessori Canada (CCMA) member directory,
Dearcroft Montessori School - Trafalgar Crossing campus,cdeborba@dearcroftmontessori.com,Ontario,Oak Walk Drive Oakville,(905)%20257-3200,,Montessori Canada (CCMA) member directory,
Downtown Montessori School - City Place campus,director-admin@dtms76.ca,Ontario,Bremner Boulevard Toronto,(416)%20623-1738,,Montessori Canada (CCMA) member directory,
Downtown Montessori School - Coatsworth campus,director-admin@dtms76.ca,Ontario,Coatsworth Crescent Toronto,(416)%20694-9444,,Montessori Canada (CCMA) member directory,
Downtown Montessori School - Infinity Place campus,director-admin@dtms76.ca,Ontario,Grand Trunk Crescent Toronto,(416)%20691-1101,,Montessori Canada (CCMA) member directory,
Downtown Montessori School - Simcoe Place campus,director-admin@dtms76.ca,Ontario,Front Street Toronto,(416)%20691-1101,,Montessori Canada (CCMA) member directory,
Dundas Valley Montessori School,admin@dvms.ca,Ontario,Kemp Drive Dundas,(905)%20627-1073,,Montessori Canada (CCMA) member directory,
East York Montessori School,mpetridis@eastyorkmontessori.com,Ontario,Cosburn Avenue Toronto,(416)%20888-3535,,Montessori Canada (CCMA) member directory,
Enquiring Minds Montessori,NOT_FOUND,Ontario,Progress Avenue Toronto,(416)%20298-9938,http://www.enquiringmindsmontessori.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Every Child's Montessori,aprete@themaplesschool.com,Ontario,Mountainview Road South Georgetown,(416)%20277-5538,,Montessori Canada (CCMA) member directory,
Fairview Glen Montessori School,tlsage@fairviewglen.com,Ontario,Commerce Court Burlington,(905)%20634-0781,,Montessori Canada (CCMA) member directory,
Foundations Montessori School,principal@foundationsmontessori.ca,Ontario,Wilson Street East Ancaster,(905)%20317-5805,,Montessori Canada (CCMA) member directory,
Fredericton Montessori Academy,laura@fmacademy.ca,New Brunswick,Duncan Lane Fredericton,(506)%20444-6249,,Montessori Canada (CCMA) member directory,
Fun To Learn Montessori - Erindale campus,shahla_ambreen@yahoo.com,Ontario,Glengarry Road Mississauga,(905)%20276-9606,,Montessori Canada (CCMA) member directory,
Fun To Learn Montessori - Mississauga North Main Campus,shahla_ambreen@yahoo.com,Ontario,Argentia Road Mississauga,(905)%20812-9606,,Montessori Canada (CCMA) member directory,
Gatehouse Montessori School,NOT_FOUND,British Columbia,Taylor Way West Vancouver,(604)%20925-1437,https://gatehousemontessori.com/,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Glen Abbey Montessori School,info@glenabbeymontessori.com,Ontario,Glen Valley Road Oakville,(905)%20825-2121,,Montessori Canada (CCMA) member directory,
Glenashton Montessori Academy,info@glenashtonmontessori.com,Ontario,Trafalgar Road Oakville,(905)%20337-1716,https://www.glenashtonmontessori.com,Montessori Canada (CCMA) member directory,
Golden Orchard Montessori School,NOT_FOUND,Ontario,Tynegrove Road Mississauga,(905)%20629-7555,http://www.goms.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Good School,markham@goodschool.co,Ontario,Markham,(905)%20477-4778,,Montessori Canada (CCMA) member directory,
Grace Christian Montessori School,NOT_FOUND,Ontario,Newmarket,(905)%20895-6666,https://gcmsschool.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Grand Avenue Montessori School,gamontessorischool@ymail.com,Ontario,The Queensway Etobicoke,(416)%20247-9485,,Montessori Canada (CCMA) member directory,
Great Lakes Montessori School - Thornhill campus,admin@greatlakesmontessori.ca,Ontario,Racco Parkway Thornhill,(905)%20881-4094,,Montessori Canada (CCMA) member directory,
Great Lakes Montessori School - Woodbridge campus,admin@greatlakesmontessori.ca,Ontario,Weston Road Woodbridge,(289)%20657-0858,,Montessori Canada (CCMA) member directory,
Hamilton Montessori School,info@hamiltonmontessori.ca,Ontario,Barton Street Stoney Creek,(647)%20289-5000,http://www.hamiltonmontessorischool.ca,Montessori Canada (CCMA) member directory,
Head Start Montessori School,info@headstartmontessori.ca,Ontario,North York,(416)%20756-7300,,Montessori Canada (CCMA) member directory,
Headon Forest Montessori,headonforestmontessori@outlook.com,Ontario,Headon Forest Drive Burlington,(905)%20315-8385,,Montessori Canada (CCMA) member directory,
Headwater Hills Montessori School,nancy@headwaterhills.org,Ontario,Hurontario Street Caledon,(519)%20942-3545,,Montessori Canada (CCMA) member directory,
High Park Gardens Montessori School,anne@mildenhallmontessori.com,Ontario,High Park Gardens Toronto,(416)%20763-6097,,Montessori Canada (CCMA) member directory,
Hillside Montessori School,jenchu827@gmail.com,Ontario,Anglesey Boulevard Toronto,(647)%20553-1538,,Montessori Canada (CCMA) member directory,
Hopscotch Montessori,NOT_FOUND,Ontario,Toronto,(647)%20735-4111,https://hopscotchmontessori.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Humbervale Montessori School Inc.,raheitz@rogers.com,Ontario,Royal York Road Toronto,(416)%20244-4001,,Montessori Canada (CCMA) member directory,
KMSchool - Cherrycrest campus,mrsingh@kmschool.org,Ontario,Brampton,(905)%20913-0801,,Montessori Canada (CCMA) member directory,
KMSchool - Gore Road campus,mrsingh@kmschool.org,Ontario,The Gore Road Brampton,(905)%20913-0801,,Montessori Canada (CCMA) member directory,
KW Montessori School,kwms.office@gmail.com,Ontario,Bridgeport Road East Kitchener,(519)%20742-1051,,Montessori Canada (CCMA) member directory,
Kaban Montessori School,info@kabanmontessori.ca,Ontario,Dunwin Drive Mississauga,(905)%20569-3112,,Montessori Canada (CCMA) member directory,
Kanata Montessori School - Main campus,info@kmscrhs.ca,Ontario,Michael Cowpland Drive Kanata,(613)%20592-2189,http://www.kanatamontessori.com,Montessori Canada (CCMA) member directory,
Kanata Montessori School - North campus,misha@kmscrhs.ca,Ontario,Cameron Harvey Drive Kanata,(613)%20592-9244,,Montessori Canada (CCMA) member directory,
Kanata Montessori School - The Ridge,info@kmscrhs.ca,Ontario,Michael Cowpland Drive Kanata,(613)%20592-2189,http://www.kanatamontessori.com,Montessori Canada (CCMA) member directory,
Kawartha Montessori School,cdonaldson@kawarthamontessori.com,Ontario,Burnham Line Peterborough,(705)%20748-5437,,Montessori Canada (CCMA) member directory,
Kendalwood Montessori & Elementary School,info@kendalwoodmontessori.com,Ontario,Consumers Drive Whitby,(905)%20665-4766,https://www.kendalwoodmontessori.com,Montessori Canada (CCMA) member directory,
Kennedy Montessori School,kennedymontessori@gmail.com,Ontario,Kennedy Road Markham,(905)%20948-1785,,Montessori Canada (CCMA) member directory,
Kew Park Montessori School,info@kewparkmontessori.com,Ontario,Hiawatha Road Toronto,(416)%20694-6273,,Montessori Canada (CCMA) member directory,
Kinderbrook Montessori and Learning Centre,ajax@kinderbrookmontessori.com,Ontario,Ajax,(905)%20556-2563,https://kinderbrookmontessori.com/locations/kingston-rd-ajax.php,Montessori Canada (CCMA) member directory,
Kinderhuis Montessori,office@kmps.ca,Ontario,Oakville,(905)%20827-8878,,Montessori Canada (CCMA) member directory,
Kindervalley Montessori Academy,info@kindervalleyacademy.com,Alberta,Street SW Calgary,(403)%20454-6889,,Montessori Canada (CCMA) member directory,
King's Ridge Montessori School,info@kingsridgemontessori.com,Ontario,Tatton Court King City,(905)%20833-5522,,Montessori Canada (CCMA) member directory,
LMS Montessori Teacher Education Program,jlu@lakeviewmontessori.ca,Ontario,Riverside Dr. East Windsor,(519)%20735-5005,,Montessori Canada (CCMA) member directory,
Lakeridge Montessori School,NOT_FOUND,Ontario,Lake Ridge Road Pickering,(905)%20655-1567,http://www.lakeridgemontessori.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Lakeside Montessori School,lakesidemontessorischool1@gmail.com,Ontario,Lakeshore Road East Mississauga,(905)%20891-8332,,Montessori Canada (CCMA) member directory,
Lakeview Montessori School,reneeryerson@lakeviewmontessori.ca,Ontario,Riverside Dr. East Tecumseh,(519)%20735-5005,,Montessori Canada (CCMA) member directory,
Lakewood Montessori Christian School,lakewoodmontessorischool@yahoo.com,Ontario,Mountainside Drive Burlington,(437)%20876-2054,,Montessori Canada (CCMA) member directory,
Lauremont School,across@lauremontschool.ca,Ontario,Bayview Avenue Richmond Hill,(905)%20889-6882,,Montessori Canada (CCMA) member directory,
Leonardo Da Vinci Academy,ldva_office@ldva.on.ca,Ontario,Lawrence Avenue West North York,(416)%20247-6137,,Montessori Canada (CCMA) member directory,
Lighthouse Montessori Canada School,info@lighthousemontessoricanada.ca,Ontario,Research Lane Guelph,(519)%20820-7840,,Montessori Canada (CCMA) member directory,
Lyonsgate Montessori School - Elementary campus,admin@lyonsgate.ca,Ontario,Locke Street Hamilton,(905)%20544-3550,,Montessori Canada (CCMA) member directory,
Lyonsgate Montessori School - Primary campus,admin@lyonsgate.ca,Ontario,Aberdeen Avenue Hamilton,(905)%20525-4283,,Montessori Canada (CCMA) member directory,
ML Montessori,mmad1@hotmail.com,Ontario,Islington Avenue Woodbridge,(905)%20856-3875,,Montessori Canada (CCMA) member directory,
Maple Children's Montessori School,mcms.1998@yahoo.ca,Ontario,Maple,(905)%20832-6665,,Montessori Canada (CCMA) member directory,
Maple Tree Montessori,info@mapletreemontessori.ca,Nova Scotia,Halifax,(902)%20406-3040,https://www.mapletreemontessori.ca,Montessori Canada (CCMA) member directory,
Marander Montessori School,marander@rogers.com,Ontario,th Avenue Markham,(905)%20471-7118,,Montessori Canada (CCMA) member directory,
Maria Montessori Education Centre of Calgary - Cspace King Edward campus,servejit@mmec.ca,Alberta,Ave NW Calgary,(403)%20668-8538,,Montessori Canada (CCMA) member directory,
Maria Montessori Education Centre of Calgary - Main campus,servejit@mmec.ca,Alberta,Avenue NW Calgary,(403)%20668-8538,,Montessori Canada (CCMA) member directory,
Mastermind Montessori School,connie@mastermindmontessori.com,Ontario,Markland Street Markham,(905)%20888-8588,,Montessori Canada (CCMA) member directory,
Meadow Creek Montessori School - Bay campus,NOT_FOUND,Ontario,Church Street Shanty Bay,(705)%20985-1904,http://www.meadowcreekmontessori.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Meadow Creek Montessori School - Calvary campus,NOT_FOUND,Ontario,Sideroad Shanty Bay,(705)%20792-1904,http://www.meadowcreekmontessori.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Meadow Creek Montessori School - Orillia campus,NOT_FOUND,Ontario,James Street East Orillia,(705)%20716-8777,http://www.meadowcreekmontessori.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Meadow Creek Montessori School - West campus,NOT_FOUND,Ontario,Ferndale Road North Barrie,(705)%20792-0821,http://www.meadowcreekmontessori.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Mildenhall Montessori School,anne@mildenhallmontessori.com,Ontario,Ourland Avenue Etobicoke,(416)%20259-2822,,Montessori Canada (CCMA) member directory,
Milestone Montessori,NOT_FOUND,Ontario,Kingston Road East Ajax,(905)%20426-4367,http://www.milestonemontessori.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Miracle Montessori School,info@miraclemontessori.ca,Ontario,North York,(437)%20240-6881,https://miraclemontessori.ca,Montessori Canada (CCMA) member directory,
Montessori Academy Learning Centre of Cambridge (MALCC),NOT_FOUND,Ontario,Beverly Street Cambridge,(519)%20267-7570,https://malcc.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
"Montessori Academy of London - Junior High, Music, French & Visual Arts building",tinab@montessori.on.ca,Ontario,Waterloo Street London,(519)%20433-9121,,Montessori Canada (CCMA) member directory,
Montessori Academy of London - Main Office & Elementary,tinab@montessori.on.ca,Ontario,Waterloo Street London,(519)%20433-9121,,Montessori Canada (CCMA) member directory,
Montessori Academy of London - Oxford Central Casa program,tinab@montessori.on.ca,Ontario,Oxford Street East London,(519)%20433-9121,,Montessori Canada (CCMA) member directory,
"Montessori Academy of London - Waterloo Central, Toddler & Casa program",tinab@montessori.on.ca,Ontario,Waterloo Street London,(519)%20433-9121,,Montessori Canada (CCMA) member directory,
Montessori Academy of London - Westmount South Toddler & Casa program,tinab@montessori.on.ca,Ontario,Commissioners Road West London,(519)%20433-9121,,Montessori Canada (CCMA) member directory,
Montessori Canada,NOT_FOUND,Ontario,Barrie,(905)%20896-9094,,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Montessori Children's Academy,mcaparis03@gmail.com,Ontario,Ball Street Paris,(519)%20442-1440,,Montessori Canada (CCMA) member directory,
Montessori Education Centre,imanthi86@gmail.com,Ontario,Thorncliffe Park Drive Toronto,(416)%20421-0007,,Montessori Canada (CCMA) member directory,
Montessori House of Children,NOT_FOUND,Ontario,Charlotte Street Brantford,(519)%20759-7290,http://www.montessorihouseofchildren.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Montessori Jewish Day School,matthew@mjds.ca,Ontario,Yeomans Road Toronto,(416)%20784-5071,,Montessori Canada (CCMA) member directory,
Montessori Learning Centre of Pickering,info@montessorilearningcentre.com,Ontario,Kingston Road Pickering,(905)%20509-1722,http://www.mlcp.ca,Montessori Canada (CCMA) member directory,
Montessori Mantra School,nanditaagarwala@gmail.com,Ontario,Altona Road Pickering,(905)%20509-4773,,Montessori Canada (CCMA) member directory,
Montessori School House,bmargie@montessorischoolhouse.ca,Ontario,Maple,(905)%20303-0011,,Montessori Canada (CCMA) member directory,
Montessori School in Kleinburg,v.kooner@mskedu.ca,Ontario,Kleinburg,(905)%20893-0560,,Montessori Canada (CCMA) member directory,
Montessori School of Cambridge,principal@montessoricambridge.com,Ontario,Roseview Avenue Cambridge,(519)%20622-1470,,Montessori Canada (CCMA) member directory,
Montessori School of Sudbury,information@sudburymontessori.ca,Ontario,Victoria Street Sudbury,(705)%20673-2211,http://www.sudburymontessori.ca,Montessori Canada (CCMA) member directory,
Montessori School of Wellington,rayna@montessoriwellington.com,Ontario,Samuel Drive Guelph,(519)%20821-5876,,Montessori Canada (CCMA) member directory,
Montessori Teachers College - Brampton Campus,NOT_FOUND,Ontario,Torbram Road Brampton,(416)%20640-1565,https://www.montessoriteacherscollege.com/,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Montessori Teachers College - Calgary Campus,NOT_FOUND,Alberta,Front St. SE Calgary,(416)%20640-1565,https://www.montessoriteacherscollege.com/,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Montessori Teachers College - Hamilton Campus,NOT_FOUND,Ontario,Barton Street Stoney Creek,(416)%20640-1565,http://www.mtcedu.com,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Montessori The Place To Grow,montessoritptg@gmail.com,Ontario,William Street North Chatham,(519)%20351-2662,http://www.montessoritheplacetogrow.ca,Montessori Canada (CCMA) member directory,
Montessori Works School,admin@montessoriworks.ca,Ontario,Mississauga,(905)%20569-1000,,Montessori Canada (CCMA) member directory,
Muskoka Montessori School,jackie@muskokamontessori.ca,Ontario,Chub Lake Road Huntsville,(705)%20788-3802,,Montessori Canada (CCMA) member directory,
Nelephant Montessori School,jodi@nelephant.ca,Ontario,Louth Street St. Catharines,(905)%20704-1388,,Montessori Canada (CCMA) member directory,
Newborough Teacher Training Institute,info@newboroughschool.com,Ontario,Yonge Street Richmond Hill,(416)%20571-5571,http://www.newboroughschool.com,Montessori Canada (CCMA) member directory,
North Star Montessori Elementary School,tgoulding@northstarmontessori.ca,British Columbia,Keith Road East Vancouver,(604)%20980-1205,,Montessori Canada (CCMA) member directory,
Northstar Montessori School,admin@northstarmontessori.com,Ontario,Tomken Road Mississauga,(905)%20890-7827,,Montessori Canada (CCMA) member directory,
OMS Montessori,carrie@omsmontessori.com,Ontario,Lindsay Street Ottawa,(613)%20521-5185,,Montessori Canada (CCMA) member directory,
Oakleigh Montessori,info@oakleighmontessori.com,Ontario,Haist Street Fonthill,(905)%20380-6101,https://www.oakleighmontessori.com,Montessori Canada (CCMA) member directory,
Odyssey Montessori School - Christie campus,office@odysseymontessori.com,Ontario,Christie Street Toronto,(416)%20553-9402,,Montessori Canada (CCMA) member directory,
Odyssey Montessori School - Sorauren campus,office@odysseymontessori.com,Ontario,Sorauren Avenue Toronto,(416)%20535-9402,,Montessori Canada (CCMA) member directory,
Peace of Mind Montessori School,admin@pm-ms.ca,Ontario,Litchfield Road Oakville,(905)%20842-4800,,Montessori Canada (CCMA) member directory,
Peel Montessori Private School,info@peelmontessori.com,Ontario,Meadow Wood Road Mississauga,(905)%20823-6522,http://www.peelmontessori.com,Montessori Canada (CCMA) member directory,
Perth Childrens House,NOT_FOUND,Ontario,Scotch Line Rd. Perth Perth,(613)%20267-2668,https://perthchildrenshouse.ca,Montessori Canada (CCMA) member directory,no email on listing/site - phone/site available
Petite Luminaries Montessori,info@petiteluminaries.com,Ontario,Four Seasons Place Etobicoke,(416)%20622-3333,https://www.plmontessori.com/,Montessori Canada (CCMA) member directory,
Petite Maison Montessori School,navjot.kaur@petitemaison.ca,Ontario,O'Connor Drive Toronto,(416)%20429-0507,,Montessori Canada (CCMA) member directory,
Prince Edward Montessori School - Etobicoke campus,info@princeedwardmontessori.com,Ontario,Bloor Street West Etobicoke,(416)%20234-9127,,Montessori Canada (CCMA) member directory,
Prince Edward Montessori School - Mississauga campus,info@princeedwardmontessori.com,Ontario,Peter Street South Mississauga,(905)%20891-6912,,Montessori Canada (CCMA) member directory,
Pris-T-Gis Montessori School - Bullock Campus,pristgismontessori@gmail.com,Ontario,Bullock Drive Markham,(905)%20886-7747,,Montessori Canada (CCMA) member directory,
Queens Montessori Academy,queensmontessori@brightpathkids.com,Ontario,Denison Street Markham,(905)%20944-0077,,Montessori Canada (CCMA) member directory,
Queensville Montessori Academy,NOT_FOUND,Ontario,Leslie Street East Gwillimbury,(905)%20478-4949,http://www.queensvillemontessoriacademy.com,Montessori Canada (CCMA) member directory,junk email artifact removed; phone/site available
Riverside Christian Montessori School,roshikaperera@rcmontessori.com,Ontario,Front Street York,(289)%20523-0999,,Montessori Canada (CCMA) member directory,
Royal Cachet Montessori Schools - Markham Campus,office@rcmschool.ca,Ontario,Woodbine Avenue Markham,(905)%20888-7700,,Montessori Canada (CCMA) member directory,
Royal Cachet Montessori Schools - Stouffville Campus,office@rcmschool.ca,Ontario,Mostar Street Stouffville,(905)%20640-8088,,Montessori Canada (CCMA) member directory,
Royal City Montessori Academy,royalcitymontessoriacademy@gmail.com,Ontario,Devere Drive Guelph,(519)%20766-6698,,Montessori Canada (CCMA) member directory,
Selkirk Montessori School,reception@selkirkmontessori.ca,British Columbia,Jutland Road Victoria,(250)%20384-3414,https://www.selkirkmontessori.ca,Montessori Canada (CCMA) member directory,
Silver Maple Montessori School,admin@silvermaplemontessori.com,Ontario,Unit B Milton,(905)%20636-1611,,Montessori Canada (CCMA) member directory,
Skyridge Montessori,admin@skyridgemontessori.ca,British Columbia,Horizon Drive Squamish,(604)%20390-0031,https://www.skyridgemontessori.ca/,Montessori Canada (CCMA) member directory,
Stirling Montessori Academy,info@stirlingmontessori.com,Ontario,Main Street East Milton,(905)%20864-6000,,Montessori Canada (CCMA) member directory,
Stoney Creek Montessori School,info@stoneycreekmontessori.com,Ontario,Stoney Creek,(905)%20662-2292,,Montessori Canada (CCMA) member directory,
Strata Montessori School,admin@stratamontessori.ca,Ontario,Lions Club Road Dundas,(905)%20304-4453,,Montessori Canada (CCMA) member directory,
Sunshine Montessori School,bradshawc@smsschool.ca,Ontario,Boniface Avenue Kitchener,(519)%20744-1423,,Montessori Canada (CCMA) member directory,
Taddle Creek Montessori School,anne@mildenhallmontessori.com,Ontario,Spadina Road Toronto,(416)%20413-9493,,Montessori Canada (CCMA) member directory,
