org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,notes,dup_of_master
SOS Children's Villages International,Austria,Innsbruck,https://www.sos-childrensvillages.org/,,,,"not captured this sweep - large global charity, presumed 6-figure+",7,network,"187 SOS primary/secondary schools, ~100,000 children enrolled, 138 countries",no,"World's largest org for children without parental care; EduCare program (Ethiopia/Somaliland/Rwanda/Tanzania) is the direct education arm",no
Ahlan Simsim (Sesame Workshop + IRC),USA,New York NY,https://sesameworkshop.org/our-work/what-we-do/ahlan-simsim/,,,,"Sesame Workshop brand is very large; initiative-specific FB not isolated this sweep",7,ngo_program,"3M+ children/caregivers direct (Iraq/Jordan/Lebanon/Syria) + 27M+ via broadcast",no,"Largest early-childhood-development initiative in humanitarian-response history; MacArthur Foundation $100M grant + LEGO Foundation support",no
CAMFED (Campaign for Female Education),United Kingdom,Cambridge (UK)/multi-HQ,https://camfed.org/,,https://www.facebook.com/camfed/,https://www.instagram.com/camfed/,"FB 64K; IG 30K; LinkedIn 38K",7,network,"operates in Zimbabwe, Zambia, Ghana, Tanzania, Malawi, Kenya",no,"CAMFED Association = Africa's largest peer network of educated young women (355,303 members as of early 2026)",no
Karam Foundation,USA,Chicago IL,https://karamfoundation.org/,,https://www.facebook.com/karamgives/,,"FB 76,000+ likes",7,ngo_program,"3,000+ Syrian youth equipped via Innovative Education program",no,"Syrian-refugee-focused education + mentorship; Karam Families program keeps kids in school via conditional stipends",no
Teach For All,USA,New York NY,https://teachforall.org/,,https://www.facebook.com/teachforall/,https://www.instagram.com/teachforall/,"FB 69K followers",7,network,"60+ independent locally-led partner organizations worldwide",no,"Global network of Teach For America-style teacher-leadership orgs; a partnership could reach every affiliate's alumni network",no
War Child UK,United Kingdom,London,https://www.warchild.net/education/,,https://www.facebook.com/warchilduk/,,"FB 68,016 likes",7,network,"multi-country conflict-zone education (TeamUp + Can't Wait to Learn programs)",no,"Education for children in active conflict zones; strong brand recognition",no
Kiron Open Higher Education,Germany,Berlin,https://www.kiron.ngo/,,https://www.facebook.com/KironOpenHigherEducation/,,"FB 58,411 likes",6,network,"73,000+ refugee learners enrolled globally",no,"Free blended-learning higher-ed platform for refugees; partnerships with universities worldwide",no
Kakenya's Dream,Kenya,Enoosaen (Narok County) / Arlington VA (US office),https://kakenyasdream.org/,,https://www.facebook.com/kakenyasdream/,https://www.instagram.com/kakenyasdream/,"FB 22,973 likes",6,ngo_program,"725 girls at boarding Centers for Excellence; Health & Leadership program reached 19,000 youth across 132 schools",no,"Rural Maasai girls' education + anti-FGM/anti-child-marriage org founded by Dr. Kakenya Ntaiya",no
Kidogo,Kenya,Nairobi,https://www.kidogo.co/,,https://www.facebook.com/KidogoECD/,,"FB 15,760 likes",5,network,"largest childcare network in Kenya - 56,000+ children/day",partial,"Hub-and-spoke early-childhood social franchise for East African low-income informal settlements; early-childhood-education adjacent, not Montessori-branded but philosophically aligned",no
Educate Girls,India,Mumbai,https://www.educategirls.ngo/,,https://www.facebook.com/educategirls/,https://www.instagram.com/educategirlsngo/,"IG 31K; FB count unclear (2nd Facebook decoy page 'Educate India' only 70 followers - do not confuse)",5,network,"285,237 out-of-school girls (6-14) re-enrolled; 181,251 children improved literacy/numeracy",no,"First Indian org to win the 2025 Ramon Magsaysay Award; village-volunteer model across rural India",no
CRY - Child Rights and You,India,Mumbai,https://www.cry.org/,,https://www.facebook.com/CRYINDIA/,https://www.instagram.com/cry_india/,"large org, exact FB count not captured this sweep",5,network,"102 local partner NGOs across 19 Indian states; 4.7M+ children impacted historically",no,"Umbrella funder/network model - partners with local NGOs rather than running schools directly, a possible multiplier route",no
Consortium for Street Children (CSC),United Kingdom,London,https://www.streetchildren.org/,info@streetchildren.org,https://www.facebook.com/consortiumforstreetchildren,https://www.instagram.com/consortiumforstreetchildren/,"not captured this sweep",5,network,"200+ member organisations across 111 countries",no,"THE global street-children umbrella network - a single partnership could fan out to 200+ frontline orgs worldwide; email confirmed live on site",no
Undugu Society of Kenya,Kenya,Nairobi,https://undugusociety.org/,,https://www.facebook.com/undugusocietyke/,,"not captured this sweep",4,ngo_program,"national (Kenya) alternative-education network for street-connected children since 1973",no,"Pioneer street-children education org in East Africa; informal-education alternative to formal schooling",no
Ubuntu Pathways,South Africa,Gqeberha (Port Elizabeth),https://ubuntupathways.org/,,,,"not captured this sweep",4,ngo_program,"2,000 children cradle-to-career in Zwide township",no,"Internationally recognised township education+health+social model (formerly Ubuntu Education Fund); 94% of Future Leaders Program grads reach university vs 71% national",no
Salaam Baalak Trust,India,Delhi/Mumbai,https://www.salaambaalaktrust.com/,,https://www.facebook.com/salaambaalaktrust/,https://www.instagram.com/salaambaalaktrustdelhi/,"Delhi FB 6.8K; Mumbai FB 3,236; IG 7.5K",4,ngo_program,"Delhi-NCR + Mumbai street/working children",no,"Est. 1988 from Salaam Bombay! film proceeds; formal+informal education, shelters, vocational training",no
OneSky (fka Half the Sky Foundation),USA,San Francisco CA,https://onesky.org/,,,,"not captured this sweep",4,network,"60,000+ caregivers trained across 300+ China welfare institutions, plus Mongolia + Vietnam",partial,"Reggio-Emilia-inspired (not branded Montessori) preschool + caregiver-training model for orphaned/vulnerable children in China - directly relevant to Montree's China outreach angle",no
Roma Education Fund (REF),Hungary/Romania,Bucharest (regional office) / Budapest (HQ),https://roma.education/,,https://www.facebook.com/RomaEducationFund/,,"not captured this sweep",4,network,"operates across 16 countries",no,"Largest dedicated Roma-education funder/network in Europe; REF Educators Network is a standing collaborative platform",no
ERGO Network (European Roma Grassroots Organisations),Belgium,Brussels,https://ergonetwork.org/,,https://www.facebook.com/ERGONetwork/,,"not captured this sweep",4,network,"Brussels-based network of national/local Roma NGOs across the EU",no,"EU-policy-facing Roma rights + education network; membership directory at ergonetwork.org/about-us/membership",no
National Center for Montessori in the Public Sector (NCMPS),USA,West Hartford CT,https://www.public-montessori.org/,info@public-montessori.org,https://www.facebook.com/CenterForPublicMontessori/,,"not captured this sweep",4,network,"dozens of public Montessori schools directly, hundreds of teachers, tens of thousands of children nationally (US)",yes,"THE US hub for tuition-free public Montessori (equity/access mission); runs montessoricensus.org (school directory) - a natural Montree distribution partner",no
Manitoba First Nations Education Resource Centre (MFNERC),Canada,Winnipeg MB,https://www.mfnerc.org/,,https://www.facebook.com/mfnerc/,,"not captured this sweep",3,network,"provides services/resources to First Nations schools across Manitoba",no,"Regional First Nations education service-delivery network (Canada)",no
First Nations Education Council (Conseil en Éducation des Premières Nations),Canada,Wendake QC,https://cepn-fnec.ca/en/,,https://www.facebook.com/cepn.fnec,,"not captured this sweep",3,network,"22 member First Nations communities in Quebec",no,"Quebec First Nations education council - collective-strength model across 22 communities",no
First Nations Education Foundation (FNEF),Canada,Vancouver BC,https://fnef.ca/,,https://www.facebook.com/FNEF.CA/,,"not captured this sweep",3,foundation,"language revitalisation + contemporary education tech for First Nations communities",no,"Focused on preserving at-risk Indigenous languages via education technology",no
SNAICC - National Voice for our Children,Australia,Melbourne VIC,https://www.snaicc.org.au/,,,,"not captured this sweep",3,network,"national (Australia) peak body coordinating Aboriginal/Torres Strait Islander ECEC providers",no,"Co-developed the National Aboriginal & Torres Strait Islander Early Childhood Strategy with the Australian govt",no
Montessori for Social Justice,USA,Houston TX,https://www.montessoriforsocialjustice.org/,,https://www.facebook.com/montessoriforsocialjustice/,,"not captured this sweep",3,network,"US public-Montessori equity movement/conference community",yes,"Advocacy + conference community (not a funder/school operator) centring anti-racist, equity-driven Montessori practice",no
Fe y Alegría Venezuela (chapter),Venezuela,Caracas,https://www.feyalegria.org/,,https://www.facebook.com/FeyAlegriaVenezuela/,https://www.instagram.com/feyalegriave/,"FB 17K likes",3,network,"national chapter of the wider 22-country federation",no,"Listed separately from the international federation because its FB numbers were directly captured; see Federación Internacional de Fe y Alegría for the umbrella entry",no
Montessori Global Growth Fund (MGGF),USA,Dallas TX,https://www.montessori-mggf.org/,info@montessori-mggf.org,https://www.facebook.com/montessori.mggf/,https://www.instagram.com/montessori.growth/,"not captured this sweep - small/niche",3,foundation,"funds grassroots Montessori initiatives in under-resourced communities globally (Ghana, Côte d'Ivoire, Mexico, Eswatini, Dominican Republic, South Africa, etc.)",yes,"AMI/USF successor; THE main global Montessori-access grantmaker outside the EsF/AMI structure itself - sister org to EsF, not a literal duplicate contact; email confirmed live on site",no
Karuna,United Kingdom,London,https://karuna.org/,,https://www.facebook.com/karuna.org/,,"not captured this sweep",3,network,"South Asia (India/Nepal/Bangladesh) education + livelihoods projects via local partners",no,"Buddhist-values UK charity; works holistically with schools/parents/children to keep disadvantaged kids in mainstream education",no
Project Favela,Brazil,Santa Cruz Cabrália (Bahia),https://www.facebook.com/projectfavela/,,https://www.facebook.com/projectfavela/,,"FB 6,235 likes",3,ngo_program,"single-community favela education programme since 2011",no,"Small but active Brazilian favela-education NGO with a real FB following",no
The Favela Foundation,United Kingdom,London (funds Rio de Janeiro programmes),https://www.thefavelafoundation.org/,,,,"not captured this sweep",2,foundation,"funds NGOs across 5 Rio de Janeiro favelas",no,"UK-based funder channeling money to Rio favela-education NGOs (English classes + welfare programs)",no
Refugee & Migrant Education Network (RMEN),USA,(distributed/academic network),https://rmenetwork.org/,,https://www.facebook.com/RefugeeEdu/,,"not captured this sweep",2,network,"80+ universities, NGOs and non-profits collaborating on refugee/migrant education",no,"Academic-practitioner bridge network rather than a direct-service operator",no
Montessori Foundation of Ghana (MoFoG),Ghana,Accra,,,,,"not captured this sweep",2,network,"national (Ghana) Montessori school-quality network",yes,"MGGF grantee; works with Montessori schools throughout Ghana to raise quality - found via MGGF partner list, no independent site/social captured this sweep",no
Association Maria Montessori de Côte d'Ivoire (AMMCI),Côte d'Ivoire,Abidjan,,,,,"not captured this sweep",2,network,"launching first AMI 0-3 Diploma course in French on African soil",yes,"MGGF grantee; leading Francophone-Africa Montessori teacher-training expansion - found via MGGF partner list, no independent site/social captured this sweep",no
Trust for Learning,USA,(distributed - funder collaborative),https://trustforlearning.org/,,,,"not captured this sweep - funder, not public-facing brand",2,foundation,"backs the Montessori Leaders Collaborative (MLC) - a coalition of national Montessori orgs",partial,"Philanthropic collaborative (10+ partner funders) expanding whole-child/Montessori access for historically underserved US children; started the Montessori Teacher Licensure Initiative",no
Educateurs sans Frontières (EsF) / AMI,Netherlands,Amsterdam (AMI HQ),https://montessori-esf.org/,info@montessori-esf.org,https://www.facebook.com/educateurssansfrontieres/,,"not captured this sweep",5,network,"dozens of EsF-branded projects across Africa/Asia/Latin America/Caribbean (Kenya, Ethiopia, Thailand, Haiti, Mexico, India, UK prisons, US, Australia, etc.)",yes,"THE central AMI social-justice division - extensively already present in Montree's master CSV as the umbrella behind ~15+ individual disadvantaged-school rows (Corner of Hope, Nomadic Samburu, Peter Hesse Foundation, UPAVIM, Horme, CoRE India/Thailand, Lumin, Family Star, Crossway, MCM, MCF, INE, Born Inside/MMI). Re-listing the umbrella itself here for the networks layer.",yes
Fundación Argentina María Montessori (FAMM),Argentina,Buenos Aires,https://www.fundacionmontessori.org/,marisa@fundacionmontessori.org,,,"not captured this sweep",3,foundation,"AMI foundation + training centre running Montessori programmes in vulnerable contexts across Argentina/South America",yes,"Existing warm Montree contact (Marisa Canova de Sioli) already in active reply-thread tracking; PRIOR_CONTACT flag also in master CSV - re-listed here because it is exactly the multiplier-org type this sweep targets",yes
Montessori on Wheels (Rungano Montessori on Wheels),USA,Boulder CO (also active Kenya + Zimbabwe),https://www.montessorionwheels.org/,,https://www.facebook.com/MontessoriZimbabwe/,,"not captured this sweep - small/niche",2,ngo_program,"mobile Montessori learning incubator for Black/Indigenous/POC communities; also Kenya + Zimbabwe initiatives",yes,"Known contact: Tatenda Blessing Muchiriri, first partner minted in the Jul-8 Partner Program mint tool (agent_id fef4ed1c-...). Re-listed here as it is exactly the multiplier-org type this sweep targets.",yes
Instituto Nueva Escuela (INE),Puerto Rico (USA),San Juan,https://www.inepr.org/,info@inepr.com,,,"not captured this sweep",3,network,"52+ Puerto Rico PUBLIC schools transformed to Montessori model (goal 100)",yes,"Already in master CSV disadvantaged rows; nonprofit government-school-transformation network post-Hurricane Maria - re-listed here for the networks/multiplier layer",yes
Sarvodaya Shramadana Movement,Sri Lanka,Moratuwa,https://www.sarvodaya.org/,,https://www.facebook.com/p/Sarvodaya-100064712584887/,https://www.instagram.com/sarvodayasrilanka/,"FB 63,903 likes; IG 1,370",7,network,"national (Sri Lanka) - largest community-development movement, education is one pillar",no,"Sri Lanka's largest grassroots development movement since 1958; village-level education + youth/women empowerment sister orgs",no
Magic Bus India Foundation,India,Mumbai,https://www.magicbus.org/,,https://www.facebook.com/magicbusindia/,https://www.instagram.com/magic.bus/,"FB 57,217 likes; IG 18K",6,network,"national (India) youth-skilling + underserved-community education since 1999",no,"Sport-for-development + life-skills education model moving youth out of poverty; strong social presence",no
Loreto Rainbow Homes,India,Kolkata,https://loretorainbowhomes.in/,,https://www.facebook.com/loretorainbowhomesorganization/,,"not captured this sweep",3,ngo_program,"600+ street girls across 6 homes in Kolkata; national Rainbow Homes Program network across India",no,"Pioneering model (est. 1998 by Sr. Cyril Mooney) integrating street children directly into an elite convent school; now a national franchise (Rainbow Foundation of India)",no
