org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,montessori_related,notes,dup_of_master
Zama Montessori Centre,South Africa,"Benoni, Gauteng",https://samontessori.org.za/zama-montessori-centre/,zamamont@webmail.co.za,,,Not re-researched this session,0,single_school,yes,"Township-serving Montessori school ages 3-12, many free places for orphans; already logged in disadvantaged.csv",yes
Indaba Institute (CoRE South Africa),South Africa,"Stellenbosch / Kayamandi, Western Cape",https://indabainstitute.org/,admin@indabainstitute.org,,,Not re-researched this session,0,ngo_program,yes,AMI training centre running EsF Community Rooted Education in Kayamandi township; already logged in disadvantaged.csv,yes
The Love Trust - Nokuphila School & ECD Teacher Academy,South Africa,"Tembisa, Gauteng",https://www.lovetrust.co.za/,info@lovetrust.co.za,,,Not re-researched this session,0,single_school,partial,"Donor-funded township school + ECD teacher academy, Montessori-inspired curriculum; already logged in disadvantaged.csv",yes
Olive Branch Montessori Academy (TOBFC),Tanzania,"Chimala, Mbeya Region",https://www.theolivebranchforchildren.org/child-and-youth-care/montessori-academy,TOBFCmontessori@gmail.com,,,Not re-researched this session,0,single_school,yes,Established 2016 for vulnerable-background children; already logged in disadvantaged.csv,yes
St. Joseph Montessori School (Ndirima-Litembo),Tanzania,"Ndirima-Litembo, Ruvuma Region",https://www.vlalgf.org/initiatives/st-josephs-montessori-school,,,,Not re-researched this session,0,single_school,yes,Rural farming-community school (~60 children); already logged in disadvantaged.csv,yes
St. Joseph Montessori School (Likwakwanda),Malawi,"Likwakwanda, Thyolo District",https://www.montessori-mggf.org/current-outstanding-grants/warm-heart-ministriesthe-st-joseph-montessori-school,,,,Not re-researched this session,0,single_school,yes,"~60 students ages 3-5, part of a larger vocational/high-school centre; already logged in disadvantaged.csv",yes
AIMPO Community Montessori Preschool,Rwanda,Kigali (Gasabo),https://aimpo.org/,,,,Not re-researched this session,0,single_school,yes,Grassroots org (est. 2001) serving Batwa/Historically Marginalised People; already logged in disadvantaged.csv,yes
Lilima Montessori High School,Eswatini,Mbabane,https://www.lilima.org/,lilimamontessori@gmail.com,,,Not re-researched this session,0,single_school,yes,"Non-profit Montessori IB World high school, donor-funded; already logged in disadvantaged.csv",yes
Vusumnotfo,Eswatini,"Piggs Peak, Hhohho",https://vusumnotfo.org/,,,,Not re-researched this session,0,ngo_program,partial,Longstanding rural community-development NGO (est. 1984) with early-childhood programs; Montessori depth unconfirmed; already logged in disadvantaged.csv,yes
Sekoly Kintana (Trilingual Montessori School),Madagascar,"Tolagnaro (Taolagnaro), Anosy",https://sekolykintana.org/,,,,Not re-researched this session,0,single_school,yes,"Founded 2024, honors Malagasy identity; already logged in disadvantaged.csv",yes
TESMA (Trilingual Elementary Montessori School of Madagascar),Madagascar,"Tolagnaro area, Anosy",https://www.montessori-mggf.org/current-outstanding-grants/tesma-trilingual-elementary-montessori-school-of-madagascar-2025,,,,Not re-researched this session,0,single_school,yes,Elementary sister-initiative to Sekoly Kintana; already logged in disadvantaged.csv,yes
Association Maria Montessori de Cote d'Ivoire (AMMCI),Cote d'Ivoire,Abidjan,https://association-montessori-cotedivoire.com/,,,,Not re-researched this session,0,ngo_program,yes,AMI-affiliated society; MGGF-funded furnishings/materials/teacher training for under-resourced classrooms + AMI 0-3 Diploma in French; already logged in disadvantaged.csv,yes
Montessori Foundation Ghana,Ghana,Accra (Labone),https://montessorifoundationghana.org/,,,,Not re-researched this session,0,ngo_program,yes,Non-profit of Montessori practitioners supporting schools/guides/families; already logged in disadvantaged.csv,yes
Foundation for Montessori Education in Nigeria (FMEN),Nigeria,"Lekki Phase 1, Lagos",http://fmen.org.ng/,,,,Not re-researched this session,0,ngo_program,yes,AMI-affiliated Incorporated Trustee promoting Montessori integration across Nigeria; already logged in disadvantaged.csv,yes
Montessori for Lebanon,Lebanon,Nationwide (volunteer-led),,,,,Not re-researched this session,0,ngo_program,yes,5-year volunteer-led effort training Montessori teachers via AMI 3-6 Diploma for underserved aspiring educators; already logged in disadvantaged.csv,yes
Montessori Forest,Israel,Mikveh Israel campus,,,,,Not re-researched this session,0,single_school,yes,Elementary program on historic Mikveh Israel agricultural campus for children who struggled in traditional classrooms; already logged in disadvantaged.csv,yes
Pulse of Life Kindergarten,Syria,Dara'a,,,,,Not re-researched this session,0,single_school,partial,"Serves 76 displaced/war-affected children ages 5-12, educators are former refugees; Montessori training funded by MGGF; already logged in disadvantaged.csv",yes
