org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,dup_of_master,notes,source_file,montessori_fit,fit_reason
Xela AID / Local Hope,Guatemala,"San Martin Chiquito, near Quetzaltenango",xelaaid.org,,facebook.com/XelaAID,instagram.com/xela.aid,,5,ngo_program,,yes,no,30+ yr NGO in indigenous poverty-belt; Montessori preschool for up to 90 children/yr,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — 30+ yr NGO in indigenous poverty-belt; Montessori preschool for up to 90 children/yr
ANIFU (Asociacion Ninez con Futuro),Guatemala,Chimaltenango / Santa Catarina Pinula,orphanoutreach.org,,facebook.com/ANIFUGUA,,5078,5,ngo_program,,yes,no,"Montessori classrooms for low-income families, est. 2008 by US-based Orphan Outreach",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Montessori classrooms for low-income families, est. 2008 by US-based Orphan Outreach"
Friends of Matenwa,Haiti,Lagonav (La Gonave) Island,matenwa.org,Matenwa3@gmail.com,,,,5,single_school,,partial,no,"~350 students, child-centered/discovery pedagogy in Haitian Creole, ~30-yr rural community school",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — ~350 students, child-centered/discovery pedagogy in Haitian Creole, ~30-yr rural community school"
Kidogo,Kenya,Nairobi,https://www.kidogo.co/,,https://www.facebook.com/KidogoECD/,,"FB 15,760 likes",5,network,"largest childcare network in Kenya - 56,000+ children/day",partial,no,"Hub-and-spoke early-childhood social franchise for East African low-income informal settlements; early-childhood-education adjacent, not Montessori-branded but philosophically aligned",underpriv-global-networks-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Hub-and-spoke early-childhood social franchise for East African low-income informal settlements;…"
Educateurs sans Frontières (EsF) / AMI,Netherlands,Amsterdam (AMI HQ),https://montessori-esf.org/,info@montessori-esf.org,https://www.facebook.com/educateurssansfrontieres/,,not captured this sweep,5,network,"dozens of EsF-branded projects across Africa/Asia/Latin America/Caribbean (Kenya, Ethiopia, Thailand, Haiti, Mexico, India, UK prisons, US, Australia, etc.)",yes,yes,"THE central AMI social-justice division - extensively already present in Montree's master CSV as the umbrella behind ~15+ individual disadvantaged-school rows (Corner of Hope, Nomadic Samburu, Peter Hesse Foundation, UPAVIM, Horme, CoRE India/Thailand, Lumin, Family Star, Crossway, MCM, MCF, INE, Born Inside/MMI). Re-listing the umbrella itself here for the networks layer.",underpriv-global-networks-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — THE central AMI social-justice division - extensively already present in Montree's master CSV as the umbrella…
Aseema Charitable Trust,India,Mumbai,aseema.org,contact@aseema.org,facebook.com/p/Aseema-Charitable-Trust-100064472120838,instagram.com/aseema_charitable_trust,2662,4,ngo_program,,yes,no,"Runs Montessori-method classrooms for slum/street children inside MCGM municipal schools; ~9,000 children/yr, Bandra + tribal Igatpuri",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Runs Montessori-method classrooms for slum/street children inside MCGM municipal schools; ~9,000 children/yr,…"
Pehli Kiran Schools,Pakistan,Islamabad (Katchi Abadi slum communities),pkschools.org,,facebook.com/PehliKiranSchools,instagram.com/pehlikiranschools,10591,4,mobile,,yes,no,"Mobile/relocatable schools that move WITH evicted slum communities; Montessori instruction, 25,000+ children since 1995",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Mobile/relocatable schools that move WITH evicted slum communities; Montessori instruction, 25,000+ children…"
UPAVIM Community Development Foundation,Guatemala,"La Esperanza, Guatemala City",upavim.org,,facebook.com/upavimcommunitydevelopmentfoundation,,648,4,ngo_program,,yes,no,Women's cooperative in high-poverty zone; K-6 Montessori school + infant/preschool daycare (~62 children),underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Women's cooperative in high-poverty zone; K-6 Montessori school + infant/preschool daycare (~62 children)
Nuestros Pequenos Hermanos (NPH) Guatemala,Guatemala,"Parramos, Chimaltenango",nph.org,,,,,4,ngo_program,,partial,no,Orphanage (350+ resident + 300+ scholarship children) incl. Montessori pre-K and daycare,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Orphanage (350+ resident + 300+ scholarship children) incl. Montessori pre-K and daycare"
Asociacion Montessori de Mexico (AMMAC),Mexico,Mexico City (national),asociacionmontessori.mx,,,,,4,ngo_program,,yes,no,"Trains rural teachers, low-cost materials; opened Montessori schools in rural Veracruz, Guerrero, Oaxaca",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Trains rural teachers, low-cost materials; opened Montessori schools in rural Veracruz, Guerrero, Oaxaca"
Creche Comunitaria Montessori,Brazil,Rio de Janeiro (Santa Cruz + Paciencia),,,facebook.com/Crechecomunitariamontessori,instagram.com/crechemontessori,6400,4,single_school,,yes,no,Full-time Montessori daycare for ~150 children ages 1-3y11m in poverty-affected Zona Oeste,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Full-time Montessori daycare for ~150 children ages 1-3y11m in poverty-affected Zona Oeste
Asuncion Montessori House,Paraguay,Villa Elisa,asuncionmontessori.com,amh.montessoripy@gmail.com,facebook.com/asuncionmontessorihouse,instagram.com/amh_py,,4,single_school,,yes,no,"Founded 2011; Paraguay's pioneering sustained Montessori community, ages 3-12",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Founded 2011; Paraguay's pioneering sustained Montessori community, ages 3-12"
Fundacion Aldeas de Paz,Dominican Republic,Santa Barbara de Samana / Las Terrenas,peacevillages.org,mail@peacevillages.org,facebook.com/AldeasDePaz,,,4,ngo_program,,partial,no,"Grassroots NGO; early-childhood learning program + disability-inclusion center, creative pedagogy",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Grassroots NGO; early-childhood learning program + disability-inclusion center, creative pedagogy"
OneSky (fka Half the Sky Foundation),USA,San Francisco CA,https://onesky.org/,,,,not captured this sweep,4,network,"60,000+ caregivers trained across 300+ China welfare institutions, plus Mongolia + Vietnam",partial,no,Reggio-Emilia-inspired (not branded Montessori) preschool + caregiver-training model for orphaned/vulnerable children in China - directly relevant to Montree's China outreach angle,underpriv-global-networks-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Reggio-Emilia-inspired (not branded Montessori) preschool + caregiver-training model for orphaned/vulnerable…"
National Center for Montessori in the Public Sector (NCMPS),USA,West Hartford CT,https://www.public-montessori.org/,info@public-montessori.org,https://www.facebook.com/CenterForPublicMontessori/,,not captured this sweep,4,network,"dozens of public Montessori schools directly, hundreds of teachers, tens of thousands of children nationally (US)",yes,no,THE US hub for tuition-free public Montessori (equity/access mission); runs montessoricensus.org (school directory) - a natural Montree distribution partner,underpriv-global-networks-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — THE US hub for tuition-free public Montessori (equity/access mission); runs montessoricensus.org (school…
FX Foundation,South Africa,Cape Town (materials distributed pan-Africa),https://www.fx-foundation.org/,,,,Not found in snippets,3,ngo_program,,yes,no,Designs Montessori-inspired tactile learning materials for underprivileged early-childhood centers; distributes to under-resourced schools/ECD centers across Africa starting in SA; licensing-revenue self-sustaining model,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Designs Montessori-inspired tactile learning materials for underprivileged early-childhood centers;…
Vanavil Trust,India,"Nagapattinam, Tamil Nadu",vanavil.org,team@vanavil.org,facebook.com/vanavil,instagram.com/vanavil_trust,1055,3,single_school,,yes,no,"Montessori-method residential/day school for nomadic tribal children (Narikuravars), ~139 children, est. 2005",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Montessori-method residential/day school for nomadic tribal children (Narikuravars), ~139 children, est. 2005"
Gram Mangal,India,"Dahanu, Palghar, Maharashtra",grammangal.org,,facebook.com/Grammangal,,2582,3,network,,partial,no,"12+ Balwadis (preschools) + teacher training for tribal children, founded 1982, Tarabai Modak-lineage child-centred pedagogy",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — 12+ Balwadis (preschools) + teacher training for tribal children, founded 1982, Tarabai Modak-lineage…"
Good Shepherd Sisters Myanmar Montessori Preschools,Myanmar,"Yangon, Dala, Loikaw, Techileik, Magyikwin, Hopin",goodshepherdmyanmar.org,,,,,3,network,,yes,no,"Montessori preschools across 5 locations, ~770 children (majority IDPs); backed by Children of the Mekong",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Montessori preschools across 5 locations, ~770 children (majority IDPs); backed by Children of the Mekong"
Montessori Association of Thailand,Thailand,Samut Prakan,montessoriassothailand.org,,facebook.com/MontessoriAssoThailand,,1199,3,network,,yes,no,AMI-affiliated; multiplier partner — placed Montessori into 82+ Thai public school/orphanage programs since 2004,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — AMI-affiliated; multiplier partner — placed Montessori into 82+ Thai public school/orphanage programs since…
Opal House Guatemala,Guatemala,"Agua Escondida, Solola (Lake Atitlan)",opalhouseguatemala.com,will@opalhouse.org,facebook.com/opalhouseguatemala,,549,3,single_school,,yes,no,Free Montessori preschool/K/1st for impoverished/disabled highland children + nutrition program,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Free Montessori preschool/K/1st for impoverished/disabled highland children + nutrition program
Mi Casita Montessori,Guatemala,"La Esperanza, Quetzaltenango (Xela)",micasitamontessori.com,,facebook.com/MiCasitaMontessoriXela,,,3,single_school,,yes,no,"First Montessori program in Xela, grown from 6 to ~59 children (ages 2.5-9), low-income neighborhood",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — First Montessori program in Xela, grown from 6 to ~59 children (ages 2.5-9), low-income neighborhood"
CRHF La Carpio Montessori Daycare,Costa Rica,"La Carpio, San Jose",crhf.org,,,,,3,ngo_program,,partial,no,"Full-day Montessori-inspired daycare in marginalized migrant settlement, local women trained as teachers",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Full-day Montessori-inspired daycare in marginalized migrant settlement, local women trained as teachers"
Proyecto Social Montessori Peru,Peru,Lima,proyectosocialmontessoriperu.com,,,,,3,ngo_program,,yes,no,"Free Montessori sessions in borrowed spaces across vulnerable Lima neighborhoods, incl. special needs",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Free Montessori sessions in borrowed spaces across vulnerable Lima neighborhoods, incl. special needs"
Montessori for Social Justice,USA,Houston TX,https://www.montessoriforsocialjustice.org/,,https://www.facebook.com/montessoriforsocialjustice/,,not captured this sweep,3,network,US public-Montessori equity movement/conference community,yes,no,"Advocacy + conference community (not a funder/school operator) centring anti-racist, equity-driven Montessori practice",underpriv-global-networks-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Advocacy + conference community (not a funder/school operator) centring anti-racist, equity-driven Montessori…"
Montessori Global Growth Fund (MGGF),USA,Dallas TX,https://www.montessori-mggf.org/,info@montessori-mggf.org,https://www.facebook.com/montessori.mggf/,https://www.instagram.com/montessori.growth/,not captured this sweep - small/niche,3,foundation,"funds grassroots Montessori initiatives in under-resourced communities globally (Ghana, Côte d'Ivoire, Mexico, Eswatini, Dominican Republic, South Africa, etc.)",yes,no,"AMI/USF successor; THE main global Montessori-access grantmaker outside the EsF/AMI structure itself - sister org to EsF, not a literal duplicate contact; email confirmed live on site",underpriv-global-networks-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — AMI/USF successor; THE main global Montessori-access grantmaker outside the EsF/AMI structure itself - sister…
Fundación Argentina María Montessori (FAMM),Argentina,Buenos Aires,https://www.fundacionmontessori.org/,marisa@fundacionmontessori.org,,,not captured this sweep,3,foundation,AMI foundation + training centre running Montessori programmes in vulnerable contexts across Argentina/South America,yes,yes,Existing warm Montree contact (Marisa Canova de Sioli) already in active reply-thread tracking; PRIOR_CONTACT flag also in master CSV - re-listed here because it is exactly the multiplier-org type this sweep targets,underpriv-global-networks-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Existing warm Montree contact (Marisa Canova de Sioli) already in active reply-thread tracking; PRIOR_CONTACT…
Instituto Nueva Escuela (INE),Puerto Rico (USA),San Juan,https://www.inepr.org/,info@inepr.com,,,not captured this sweep,3,network,52+ Puerto Rico PUBLIC schools transformed to Montessori model (goal 100),yes,yes,Already in master CSV disadvantaged rows; nonprofit government-school-transformation network post-Hurricane Maria - re-listed here for the networks/multiplier layer,underpriv-global-networks-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Already in master CSV disadvantaged rows; nonprofit government-school-transformation network post-Hurricane…
Montessori Zimbabwe Trust,Zimbabwe,Bulawayo,https://montessorizimbabwe.org/,,https://www.facebook.com/MontessoriZimbabwe/,,FB 976 likes,2,single_school,,yes,no,NGO-registered Montessori centre; offers free tuition to police officers' preschool children + has hosted a rescued street child; periodic donations to disability/disadvantaged orgs; modest but genuinely Montessori + charitable,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — NGO-registered Montessori centre; offers free tuition to police officers' preschool children + has hosted a…
Mother Earth Montessori,Uganda,Gulu district (Northern Uganda),https://montessori-esf.org/blog/mother-earth-montessori-uganda,,,,Not confirmed,2,single_school,,yes,no,Montessori primary school opened Feb 2020 for 50 children ages 3-6 from families unable to afford preschool/kindergarten in war-recovering Northern Uganda,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Montessori primary school opened Feb 2020 for 50 children ages 3-6 from families unable to afford…
Gulu Montessori School,Uganda,Gulu district,https://gulumontessori.school.blog/,,,,Not confirmed,2,single_school,,yes,no,Founded by a Montessori teacher who relocated to Uganda to serve disadvantaged children in Gulu with authentic Montessori pedagogy,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Founded by a Montessori teacher who relocated to Uganda to serve disadvantaged children in Gulu with…
Washarika Montessori School,Uganda,Kampala area,https://washarika.org/montessori/,,,,Not confirmed,2,single_school,,yes,no,Montessori program run under the Washarika community organization in Uganda,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Montessori program run under the Washarika community organization in Uganda
Montessori Ethiopia,Ethiopia,Addis Ababa,https://montessoriethiopia.com/,,,,Not confirmed,2,single_school,,yes,no,Ethiopian Montessori initiative building a 'peace-loving society' curriculum of peace applied to young children,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Ethiopian Montessori initiative building a 'peace-loving society' curriculum of peace applied to young…
Katha,India,"New Delhi + Arunachal Pradesh, Haryana, Maharashtra",katha.org,info@katha.org,,,,2,ngo_program,,partial,no,"Schools for underprivileged children across 252 slums; Katha Lab School serves ~700 children/yr, StoryPedagogy model",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Schools for underprivileged children across 252 slums; Katha Lab School serves ~700 children/yr,…"
Mithing Pangarap Educational Foundation (MPEFI),Philippines,"Tondo, Manila",mpefi.org,info@mpefi.org,facebook.com/mpefi,,1200,2,ngo_program,,yes,yes,Outreach arm of Philippine Montessori Center; free Montessori pre-K-HS for Smokey Mountain former-dumpsite community since 1988,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Outreach arm of Philippine Montessori Center; free Montessori pre-K-HS for Smokey Mountain former-dumpsite…
Cerdas Berdaya Foundation,Indonesia,"Cikarang Selatan, Bekasi",cerdasberdaya.org,,,,,2,ngo_program,,yes,no,"Runs Montessori-environment programs in underserved communities; donates Montessori materials, provides lead teacher",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Runs Montessori-environment programs in underserved communities; donates Montessori materials, provides lead…"
Hoa Mau Don Montessori-based Orphanage,Vietnam,Ho Chi Minh City,orphanagehoamaudon.wixsite.com/mau-don,orphanage.hoamaudon@gmail.com,facebook.com/hoamaudon.orphanage,,,2,single_school,,yes,no,"Montessori-based orphanage since 1998, ~55 children; 10-yr kindergarten support from Montessori Intl School of Vietnam",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Montessori-based orphanage since 1998, ~55 children; 10-yr kindergarten support from Montessori Intl School…"
Fundacion Maria Montessori (Otavalo),Ecuador,Otavalo,susiladharma.de,,,,,2,single_school,,partial,no,"Only inclusive school in Otavalo indigenous Kichwa region; ~60 children incl. disabilities, founded 1994",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Only inclusive school in Otavalo indigenous Kichwa region; ~60 children incl. disabilities, founded 1994"
Diakonos International,Haiti,Carrefour (Port-au-Prince),diakonosintl.org,,,,,2,ngo_program,,yes,no,Family/orphan home; Montessori school for ages 3-6 started 2018 in underserved Carrefour,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Family/orphan home; Montessori school for ages 3-6 started 2018 in underserved Carrefour
Montessori Foundation of Ghana (MoFoG),Ghana,Accra,,,,,not captured this sweep,2,network,national (Ghana) Montessori school-quality network,yes,no,"MGGF grantee; works with Montessori schools throughout Ghana to raise quality - found via MGGF partner list, no independent site/social captured this sweep",underpriv-global-networks-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — MGGF grantee; works with Montessori schools throughout Ghana to raise quality - found via MGGF partner list,…"
Association Maria Montessori de Côte d'Ivoire (AMMCI),Côte d'Ivoire,Abidjan,,,,,not captured this sweep,2,network,launching first AMI 0-3 Diploma course in French on African soil,yes,no,"MGGF grantee; leading Francophone-Africa Montessori teacher-training expansion - found via MGGF partner list, no independent site/social captured this sweep",underpriv-global-networks-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — MGGF grantee; leading Francophone-Africa Montessori teacher-training expansion - found via MGGF partner list,…"
Trust for Learning,USA,(distributed - funder collaborative),https://trustforlearning.org/,,,,"not captured this sweep - funder, not public-facing brand",2,foundation,backs the Montessori Leaders Collaborative (MLC) - a coalition of national Montessori orgs,partial,no,Philanthropic collaborative (10+ partner funders) expanding whole-child/Montessori access for historically underserved US children; started the Montessori Teacher Licensure Initiative,underpriv-global-networks-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Philanthropic collaborative (10+ partner funders) expanding whole-child/Montessori access for historically…"
Montessori on Wheels (Rungano Montessori on Wheels),USA,Boulder CO (also active Kenya + Zimbabwe),https://www.montessorionwheels.org/,,https://www.facebook.com/MontessoriZimbabwe/,,not captured this sweep - small/niche,2,ngo_program,mobile Montessori learning incubator for Black/Indigenous/POC communities; also Kenya + Zimbabwe initiatives,yes,yes,"Known contact: Tatenda Blessing Muchiriri, first partner minted in the Jul-8 Partner Program mint tool (agent_id fef4ed1c-...). Re-listed here as it is exactly the multiplier-org type this sweep targets.",underpriv-global-networks-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Known contact: Tatenda Blessing Muchiriri, first partner minted in the Jul-8 Partner Program mint tool…"
Pakistan Montessori Association,Pakistan,Islamabad,pakistanmontessoriassociation.org,,,,,1,ngo_program,,yes,no,Runs Montessori Children's Villa for 100 children; states intent to open a school for the underprivileged pending funds,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Runs Montessori Children's Villa for 100 children; states intent to open a school for the underprivileged…
Rumah Montessori (Montessori Untuk Indonesia),Indonesia,"BSD, Tangerang Selatan",rumah-montessori.blogspot.com,montessori4everyone@gmail.com,,,,1,ngo_program,,yes,no,Affordable Montessori teacher-coaching (6-12mo) using cross-subsidization so select trainees train free,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Affordable Montessori teacher-coaching (6-12mo) using cross-subsidization so select trainees train free
Corner of Hope Montessori (New Canaan & Kisima) / Montessori for Kenya,Kenya,Nakuru,https://cornerofhope-esf.org/,info@montessori-esf.org,,,Not re-researched this session,0,ngo_program,,yes,yes,"Flagship AMI/EsF IDP-camp initiative since 2010; ~1,500 children served; already logged in disadvantaged.csv",underpriv-africa-me-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Flagship AMI/EsF IDP-camp initiative since 2010; ~1,500 children served; already logged in disadvantaged.csv"
Footprints CBO Montessori Schools,Kenya,Samburu County (Kalepo/Kalama/Losesia/Sera),https://www.montessori-mggf.org/current-outstanding-grants/footprints-cbo,,,,Not re-researched this session,0,mobile,,yes,yes,Community-based org building mobile early-childhood Montessori schools for nomadic pastoralists; already logged in disadvantaged.csv,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Community-based org building mobile early-childhood Montessori schools for nomadic pastoralists; already…
Nomadic Samburu Montessori Schools (EsF),Kenya,Samburu / Namunyak Conservancy,https://montessori-esf.org/project/samburu,info@montessori-esf.org,,,Not re-researched this session,0,mobile,,yes,yes,Transferable Montessori schools for nomadic Samburu communities since 2018; already logged in disadvantaged.csv (adjacent to SARARA above),underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Transferable Montessori schools for nomadic Samburu communities since 2018; already logged in…
East Pokot Montessori Teacher Training Initiative (EsF),Kenya,East Pokot district,https://montessori-esf.org/project/east-pokot,info@montessori-esf.org,,,Not re-researched this session,0,ngo_program,,yes,yes,Trains Pokot youth as certified Montessori teachers; ~250 children served across 5 environments; already logged in disadvantaged.csv,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Trains Pokot youth as certified Montessori teachers; ~250 children served across 5 environments; already…
Ikhaya Labantwana Montessori,South Africa,"Jonga Village, Coffee Bay, Eastern Cape",https://sustainablecoffeebay.org.za/home/our-work/early-childhood-development/ikhaya-labantwana-montessori/,ilm@sustainablecoffeebay.org.za,,,Not re-researched this session,0,single_school,,yes,yes,Rural Xhosa preschool run by Sustainable Coffee Bay NPO; already logged in disadvantaged.csv,underpriv-africa-me-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Rural Xhosa preschool run by Sustainable Coffee Bay NPO; already logged in disadvantaged.csv
Ncinci One's Montessori,South Africa,"Nqileni Village / Hole in the Wall, Eastern Cape",https://www.wildcoast.co.za/ncinci-ones-montessori,,,,Not re-researched this session,0,single_school,,yes,yes,"Rural NPO Montessori preschool, sister project of Ikhaya Labantwana; already logged in disadvantaged.csv",underpriv-africa-me-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Rural NPO Montessori preschool, sister project of Ikhaya Labantwana; already logged in disadvantaged.csv"
