org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,dup_of_master,notes,source_file,montessori_fit,fit_reason
Plan International,United Kingdom,Woking (global HQ network),https://plan-international.org/,,https://www.facebook.com/planinternational/,,"FB 409,906 likes",9,network,operates in 80+ countries,no,no,"Global children's-rights + girls'-education org; huge reach, general (not Montessori)",underpriv-global-networks-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Global children's-rights + girls'-education org; huge reach, general (not Montessori)"
JAAGO Foundation,Bangladesh,Dhaka,https://jaago.com.bd/,,https://www.facebook.com/JAAGOFoundation/,https://www.instagram.com/jaagofoundation/,"FB 398,951 likes",9,ngo_program,"30,000+ children across 64 districts / 495 upazilas",no,no,"Runs its own schools + Sponsor-A-Child program for underprivileged Bangladeshi children; email is Cloudflare-obscured mailto on /contact (seen on page, not decoded - contact via form)",underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Runs its own schools + Sponsor-A-Child program for underprivileged Bangladeshi children; email is…
ChildFund International,USA,Richmond VA,https://www.childfund.org/,,https://www.facebook.com/ChildFundInternational/,https://www.instagram.com/childfund/,FB 255K followers,9,network,multi-country child sponsorship + education network,no,no,"Education for Protection and Well-being (EPW) program in Sri Lanka, Sierra Leone, Uganda, Philippines, Gambia",underpriv-global-networks-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Education for Protection and Well-being (EPW) program in Sri Lanka, Sierra Leone, Uganda, Philippines, Gambia"
Tawasol Egypt (Tawasol for Developing Istabl Antar),Egypt,Cairo (Istabl Antar / Ezbet Khairallah),https://tawasolegypt.org/,,https://www.facebook.com/TwasolEgypt/,https://www.instagram.com/tawasol.egypt/,"FB 45,170 likes; IG 45K",8,single_school,,no,no,Est. 2008; free community school (~500 students incl. special needs) for out-of-school children in Cairo's slums; vocational + arts programs; very strong social footprint,underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Est. 2008; free community school (~500 students incl. special needs) for out-of-school children in Cairo's…
SHOFCO (Shining Hope for Communities) - Kibera & Mathare Schools for Girls,Kenya,Nairobi (Kibera + Mathare),https://www.shofco.org/,,https://www.facebook.com/ShiningHopeforCommunities/,,"Facebook page active (follower count not confirmed in snippet); large press coverage (HuffPost, Hundred.org, major foundation funding)",8,network,,no,no,Free schools for the most vulnerable girls in Kenya's largest slums; 521+ girls enrolled across 2 primary schools; holistic model incl. healthcare/food; internationally recognized flagship urban-slum education org,underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Free schools for the most vulnerable girls in Kenya's largest slums; 521+ girls enrolled across 2 primary…
Pratham,India,"Mumbai (HQ), pan-India",pratham.org,info@pratham.org,facebook.com/PrathamEducationFoundation,instagram.com/prathameducation,86402,8,network,,no,no,"India's largest ECE/literacy NGO; early-years programs in 18 states, reached 56 lakh+ children via govt partnerships",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — India's largest ECE/literacy NGO; early-years programs in 18 states, reached 56 lakh+ children via govt…"
Shanti Bhavan,India,Tamil Nadu (near Bangalore),shantibhavanchildren.org,info@shantibhavanchildren.org,facebook.com/ShantiBhavan,instagram.com/shanti_bhavan,47000,8,network,,no,no,Free K-college boarding school network for families earning <$2/day; ~300 children; Netflix's Daughters of Destiny,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Free K-college boarding school network for families earning <$2/day; ~300 children; Netflix's Daughters of…
Project Nanhi Kali,India,"Mumbai (HQ), 15 states",nanhikali.org,,facebook.com/ProjectNanhiKali,instagram.com/nanhikali,105153,8,network,,no,no,"Girls' education program (Mahindra/Naandi); after-school academic support for 870,000+ underprivileged girls since 1996",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Girls' education program (Mahindra/Naandi); after-school academic support for 870,000+ underprivileged girls…"
Volunteers Initiative Nepal (VIN),Nepal,Kathmandu,vin.org.np,support@vin.org.np,facebook.com/VolunteersInitiativeNepal,instagram.com/vinnepal,114187,8,ngo_program,,no,no,"Runs 55 Early Childhood Education Centers in underprivileged rural communities (ages 3-5), est. 2005",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Runs 55 Early Childhood Education Centers in underprivileged rural communities (ages 3-5), est. 2005"
Gawad Kalinga (SIBOL Preschool Program),Philippines,"Mandaluyong HQ, 2,000+ communities",gk1world.com,,facebook.com/gawadkalinga,instagram.com/gawadkalinga,255395,8,network,,partial,no,"SIBOL is a values-based, child-centered preschool program (ages 3-6) embedded across GK's 2,000+ poverty communities",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — SIBOL is a values-based, child-centered preschool program (ages 3-6) embedded across GK's 2,000+ poverty…"
Fe y Alegria El Salvador,El Salvador,Antiguo Cuscatlan,feyalegria.org.sv,comunicacionesfya@feyalegria.org.sv,facebook.com/feyalegriaelsalvador,instagram.com/feyalegria.sv,30330,8,network,,no,no,Popular-education movement since 1969; 23 centers incl. preschool for poor/rural/suburban communities,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Popular-education movement since 1969; 23 centers incl. preschool for poor/rural/suburban communities
Fe y Alegria Venezuela,Venezuela,"Caracas (national, 350+ centers)",feyalegria.org/venezuela,,facebook.com/FeyAlegriaVenezuela,instagram.com/feyalegriave,41000,8,network,,no,no,"Birthplace of the network (est. 1955); serves 100,000+ students incl. preschool, urban/rural/indigenous",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Birthplace of the network (est. 1955); serves 100,000+ students incl. preschool, urban/rural/indigenous"
Fe y Alegria Peru,Peru,Lima (national),feyalegria.org.pe,auehara@feyalegria.org.pe,facebook.com/FeyAlegriadelPeru,instagram.com/feyalegriaperuoficial,64913,8,network,,no,no,Operating since 1966; inicial/primaria/secundaria in poor urban and rural communities,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Operating since 1966; inicial/primaria/secundaria in poor urban and rural communities
Fundacao Abrinq,Brazil,Sao Paulo (national),fadc.org.br,faleconosco@fadc.org.br,facebook.com/fundabrinq,instagram.com/fundacaoabrinq,286259,8,ngo_program,,no,no,Runs Creche para Todas as Criancas funding/renovating community daycares in low-income regions,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Runs Creche para Todas as Criancas funding/renovating community daycares in low-income regions
Fundacion Argentina Maria Montessori (FAMM),Argentina,"Boulogne, Buenos Aires",fundacionmontessori.org,info@fundacionmontessori.org,facebook.com/MontessoriArgentina,instagram.com/fundacionmontessorioficial,41500,8,ngo_program,,yes,no,"AMI-affiliated; 70 Montessori projects since 2007, 54% in vulnerable-context public settings",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — AMI-affiliated; 70 Montessori projects since 2007, 54% in vulnerable-context public settings"
Global Fund for Children,USA,Washington DC,https://globalfundforchildren.org/,,https://www.facebook.com/GlobalFundforChildren/,,"FB 125,784 likes",8,foundation,"1,000+ local grassroots partners; 11M+ children reached since 1994",no,no,Intermediary funder for grassroots education/child-rights orgs worldwide - a potential multiplier INTO its whole partner network,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Intermediary funder for grassroots education/child-rights orgs worldwide - a potential multiplier INTO its…
Barefoot College International,India (Tilonia HQ),Tilonia / Ajmer (Rajasthan),https://barefootcollege.org/,,https://www.facebook.com/barefootcollege/,https://www.instagram.com/barefootcollegetilonia/,"Int'l FB 123,675 likes; Tilonia FB 1,545 likes",8,network,"250+ night schools across 10 Indian states, 100,000+ out-of-school children",no,no,50-year grassroots org; night-school network for the most marginalised rural children; note Barefoot College Int'l and Barefoot College Tilonia are legally separate per their own disclaimer,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — 50-year grassroots org; night-school network for the most marginalised rural children; note Barefoot College…
Room to Read,USA,San Francisco CA,https://www.roomtoread.org/,,https://www.facebook.com/RoomtoRead/,,"FB 109,566 likes",8,network,50M+ children reached across 28 countries,no,no,Global literacy + girls'-education org; India chapter also has its own FB page,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Global literacy + girls'-education org; India chapter also has its own FB page
Slum2School Africa,Nigeria,Lagos (HQ; multi-state incl. NE Nigeria),https://slum2school.org/,,https://www.facebook.com/slum2school/,https://www.instagram.com/slum2school/,"IG 49K; FB 10,916 likes; X 10K",7,network,,no,no,"Est. 2012; volunteer-driven org serving underserved/slum communities across Nigeria; 3,050+ scholarships, 107,450+ children given psychosocial support; Green Academies serve 250+ children each free of charge",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Est. 2012; volunteer-driven org serving underserved/slum communities across Nigeria; 3,050+ scholarships,…"
Isha Vidhya,India,"Coimbatore, Tamil Nadu",consciousplanet.org/en/isha-vidhya,info@ishavidhya.org,facebook.com/ishavidhya,instagram.com/ishavidhya,30788,7,network,,no,no,"9 rural low-cost schools across Tamil Nadu, 8,900+ children, 63% on scholarship (Sadhguru's Isha Education)",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 9 rural low-cost schools across Tamil Nadu, 8,900+ children, 63% on scholarship (Sadhguru's Isha Education)"
Saigon Children's Charity,Vietnam,Ho Chi Minh City,saigonchildren.com,info@saigonchildren.com,facebook.com/Saigonchildren,instagram.com/saigonchildren,38700,7,network,,no,no,"UK-registered charity since 1992; scholarships, school-readiness/early years, school-improvement for disadvantaged children",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — UK-registered charity since 1992; scholarships, school-readiness/early years, school-improvement for…"
Fe y Alegria Ecuador,Ecuador,Quito (national),feyalegria.org.ec,,facebook.com/fyaecuador,instagram.com/fyaecuador,22677,7,network,,no,no,"Popular-education movement since 1964, poorest sectors nationwide incl. educacion inicial",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Popular-education movement since 1964, poorest sectors nationwide incl. educacion inicial"
Aldeas Infantiles SOS Uruguay,Uruguay,Montevideo (national),aldeasinfantiles.org.uy,corporativos@aldeasinfantiles.org.uy,facebook.com/aldeasinfantilesuruguay,instagram.com/aldeasuruguay,36000,7,ngo_program,,no,no,"10 state-partnered CAIF early-childhood centers, 1,000+ low-income children under 2",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 10 state-partnered CAIF early-childhood centers, 1,000+ low-income children under 2"
BRAC,Bangladesh,Dhaka,https://www.brac.net/,,,,"not captured this sweep - large global NGO, presumed 6-figure+",7,network,"peak 64,000 schools / 1.8M students; 40M+ learners served since 1980s",no,no,World's largest NGO; non-formal primary education model for children missed by the state system - a major reference/credibility multiplier,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — World's largest NGO; non-formal primary education model for children missed by the state system - a major…
SOS Children's Villages International,Austria,Innsbruck,https://www.sos-childrensvillages.org/,,,,"not captured this sweep - large global charity, presumed 6-figure+",7,network,"187 SOS primary/secondary schools, ~100,000 children enrolled, 138 countries",no,no,World's largest org for children without parental care; EduCare program (Ethiopia/Somaliland/Rwanda/Tanzania) is the direct education arm,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — World's largest org for children without parental care; EduCare program (Ethiopia/Somaliland/Rwanda/Tanzania)…
Ahlan Simsim (Sesame Workshop + IRC),USA,New York NY,https://sesameworkshop.org/our-work/what-we-do/ahlan-simsim/,,,,Sesame Workshop brand is very large; initiative-specific FB not isolated this sweep,7,ngo_program,3M+ children/caregivers direct (Iraq/Jordan/Lebanon/Syria) + 27M+ via broadcast,no,no,Largest early-childhood-development initiative in humanitarian-response history; MacArthur Foundation $100M grant + LEGO Foundation support,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Largest early-childhood-development initiative in humanitarian-response history; MacArthur Foundation $100M…
CAMFED (Campaign for Female Education),United Kingdom,Cambridge (UK)/multi-HQ,https://camfed.org/,,https://www.facebook.com/camfed/,https://www.instagram.com/camfed/,FB 64K; IG 30K; LinkedIn 38K,7,network,"operates in Zimbabwe, Zambia, Ghana, Tanzania, Malawi, Kenya",no,no,"CAMFED Association = Africa's largest peer network of educated young women (355,303 members as of early 2026)",underpriv-global-networks-jul12.csv,NOT,"No Montessori affiliation; runs its own model — CAMFED Association = Africa's largest peer network of educated young women (355,303 members as of early 2026)"
Karam Foundation,USA,Chicago IL,https://karamfoundation.org/,,https://www.facebook.com/karamgives/,,"FB 76,000+ likes",7,ngo_program,"3,000+ Syrian youth equipped via Innovative Education program",no,no,Syrian-refugee-focused education + mentorship; Karam Families program keeps kids in school via conditional stipends,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Syrian-refugee-focused education + mentorship; Karam Families program keeps kids in school via conditional…
Teach For All,USA,New York NY,https://teachforall.org/,,https://www.facebook.com/teachforall/,https://www.instagram.com/teachforall/,FB 69K followers,7,network,60+ independent locally-led partner organizations worldwide,no,no,Global network of Teach For America-style teacher-leadership orgs; a partnership could reach every affiliate's alumni network,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Global network of Teach For America-style teacher-leadership orgs; a partnership could reach every…
War Child UK,United Kingdom,London,https://www.warchild.net/education/,,https://www.facebook.com/warchilduk/,,"FB 68,016 likes",7,network,multi-country conflict-zone education (TeamUp + Can't Wait to Learn programs),no,no,Education for children in active conflict zones; strong brand recognition,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Education for children in active conflict zones; strong brand recognition
Sarvodaya Shramadana Movement,Sri Lanka,Moratuwa,https://www.sarvodaya.org/,,https://www.facebook.com/p/Sarvodaya-100064712584887/,https://www.instagram.com/sarvodayasrilanka/,"FB 63,903 likes; IG 1,370",7,network,"national (Sri Lanka) - largest community-development movement, education is one pillar",no,no,Sri Lanka's largest grassroots development movement since 1958; village-level education + youth/women empowerment sister orgs,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Sri Lanka's largest grassroots development movement since 1958; village-level education + youth/women…
Street Child (of Sierra Leone / Liberia / NE Nigeria),Sierra Leone,Freetown (network across SL/Liberia/Nigeria),https://www.street-child.org/,,https://www.facebook.com/streetchilduk/,https://www.instagram.com/streetchilduk/,"FB 20,079 likes; IG 11K",6,network,,no,no,"UK-founded (2008) children's charity; works with 95+ local partner orgs; EFECT program enrolled 100,200+ out-of-school children across Sierra Leone/Liberia/NE Nigeria into primary school",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — UK-founded (2008) children's charity; works with 95+ local partner orgs; EFECT program enrolled 100,200+…"
Ubuntu Pathways,South Africa,Gqeberha / Port Elizabeth (Zwide township),https://ubuntupathways.org/,,https://www.facebook.com/UbuntuPathways/,,"FB 19,169 likes",6,network,,no,no,"Est. 1999; integrated health+education+social support across Port Elizabeth townships; Ubuntu School is first high-achieving primary-through-high school in the townships; serves ~2,000 vulnerable children cradle-to-career",underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Est. 1999; integrated health+education+social support across Port Elizabeth townships; Ubuntu School is first…
Iraqi Al-Amal Association,Iraq,Baghdad,https://iraqi-alamal.org/en/home-2/,,https://www.facebook.com/IraqiAlamalAssociation/,,FB 35K,6,ngo_program,,no,no,"Est. 1992 post-Gulf War; children's education/protection + peacebuilding programs (conflict resolution, human rights, psychosocial support) for vulnerable Iraqi youth",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Est. 1992 post-Gulf War; children's education/protection + peacebuilding programs (conflict resolution, human…"
SARARA Foundation - Nomadic Mobile Montessori Schools,Kenya,"Namunyak Conservancy, Samburu (Northern Kenya)",https://sarara.co/nomadic-education,,,https://www.instagram.com/sararafoundation/,IG @sararafoundation 19K; parent brand @sarara 66K,6,mobile,,yes,no,"Since 2019, mobile Montessori classrooms follow Samburu pastoralist communities; 4 schools, 185 children enrolled 2024 (96 boys/89 girls); explicitly Montessori-branded nomadic model; overlaps with EsF Samburu projects already in disadvantaged.csv but SARARA is a distinct funder/operator",underpriv-africa-me-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Since 2019, mobile Montessori classrooms follow Samburu pastoralist communities; 4 schools, 185 children…"
Muktangan,India,Mumbai,muktanganedu.org,muktangan1978@gmail.com,facebook.com/NGOMuktangan,instagram.com/ngomuktangan,4066,6,network,,partial,no,"7 municipal schools (Worli-Prabhadevi-Lower Parel), 2,400+ children, community-teacher training model since 2003",underpriv-asia-latam-jul12.csv,NOT,"Web-verified Jul 17: independently-developed ""child-centred"" community-teacher pedagogy since 2003; no Montessori affiliation anywhere in org materials — Jul-12 ""partial"" tag was too generous, corrected to NOT."
Nepal Youth Foundation,Nepal,"Kathmandu (ops), San Francisco (HQ)",nepalyouthfoundation.org,,facebook.com/@nepalyouthfoundation,instagram.com/nepalyouthfoundation,29699,6,ngo_program,,no,no,Upgrades sub-standard government rural ECD centres for disadvantaged preschoolers; also runs Olgapuri Children's Village,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Upgrades sub-standard government rural ECD centres for disadvantaged preschoolers; also runs Olgapuri…
BRAC (Play Lab / ECD program),Bangladesh,"Dhaka (HQ), nationwide + Uganda/Tanzania",brac.net,,,,,6,network,,no,no,"Play Lab low-cost play-based ECD model reached 500,000+ children since 2015; also operates urban slum schools in Dhaka",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Play Lab low-cost play-based ECD model reached 500,000+ children since 2015; also operates urban slum schools…"
UCEP Bangladesh,Bangladesh,Dhaka (4 major cities),ucepbd.org,,facebook.com/ucepbd.org,instagram.com/ucep_bangladesh,58783,6,network,,no,no,"Education + vocational training for working/slum children in urban Bangladesh, ~50,000 children/yr since 1972",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Education + vocational training for working/slum children in urban Bangladesh, ~50,000 children/yr since 1972"
OB Montessori Center (Pagsasarili Preschools),Philippines,San Juan City + Luzon-wide,obmontessori.edu.ph,info@obmontessori.edu.ph,facebook.com/obmcofficial,instagram.com/obmontessoriofficial,40909,6,network,,yes,no,~150 outreach Montessori-method preschools across Luzon for underprivileged/indigenous communities since 1966,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — ~150 outreach Montessori-method preschools across Luzon for underprivileged/indigenous communities since 1966
Childhope Philippines Foundation,Philippines,"Sta. Cruz, Manila",childhope.org.ph,igivehope@childhope.org.ph,facebook.com/ChildhopePH,instagram.com/childhope_ph,27288,6,mobile,,no,no,Mobile-van KalyEskwela school delivers education directly to street children across 5 Metro Manila cities,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Mobile-van KalyEskwela school delivers education directly to street children across 5 Metro Manila cities
Preda Foundation,Philippines,Olongapo City,preda.org,francisbermido@preda.org,facebook.com/predaforchildren,,12000,6,ngo_program,,no,no,"50+ yrs rescuing/educating trafficked, abused, street children",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 50+ yrs rescuing/educating trafficked, abused, street children"
Virlanie Foundation,Philippines,"Makati + 12 homes, Metro Manila",virlanie.org,info@virlanie.org,facebook.com/virlaniefoundation,instagram.com/virlanie,2876,6,network,,no,no,Largest private child-caring institution in Metro Manila; 400+ children resident + 800 via outreach; mobile street school,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Largest private child-caring institution in Metro Manila; 400+ children resident + 800 via outreach; mobile…
Christina Noble Children's Foundation Vietnam,Vietnam,Ho Chi Minh City,cncf.org,international@cncf.org,facebook.com/CNCFVN,,15800,6,ngo_program,,no,no,Since 1991; Sunshine Social & Medical Centre serves disadvantaged/street children with education + health,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Since 1991; Sunshine Social & Medical Centre serves disadvantaged/street children with education + health
PEPY Empowering Youth,Cambodia,Siem Reap,pepyempoweringyouth.org,,facebook.com/pepyempoweringyouth,instagram.com/pepy_cambodia,20300,6,ngo_program,,partial,no,Local NGO since 2005; child-centered community learning incl. early-childhood component,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Local NGO since 2005; child-centered community learning incl. early-childhood component"
Dignity for Children Foundation,Malaysia,Kuala Lumpur (Sentul),dignityforchildren.org,dignity@dignityforchildren.org,facebook.com/dignityforchildren,instagram.com/dignityforchildren,16000,6,ngo_program,,partial,no,"Founded 1998; ~2,300 urban-poor students ages 2-19, references Montessori-influenced early provision",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Founded 1998; ~2,300 urban-poor students ages 2-19, references Montessori-influenced early provision"
Fe y Alegria Honduras,Honduras,El Progreso,feyalegria.org/honduras,honduras@feyalegria.org,facebook.com/feyalegriahonduras,,6569,6,network,,no,no,Preschool coordination programs for vulnerable Honduran communities,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Preschool coordination programs for vulnerable Honduran communities
Las Golondrinas Foundation,Colombia,Medellin (Antioquia + Cordoba),fundacionlasgolondrinas.org,,facebook.com/FunGolondrinas,instagram.com/fundacionlasgolondrinas,11000,6,ngo_program,,partial,no,Early-childhood centers for displaced/marginalized families since 1981; Reggio-inspired; IADB-recognized,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Early-childhood centers for displaced/marginalized families since 1981; Reggio-inspired; IADB-recognized"
