School,Email,Region,City,Phone,Website,Source,Notes
St. Helens Montessori School,office@sthelensmontessori.co.uk,South and South East,,01622 721731,http://www.sthelensmontessori.co.uk/,Montessori Society AMI UK member directory,
Step by Step Montessori Ltd,info@stepbystepmontessori.co.uk,London North,London,020 8906 9001,http://www.stepbystepmontessori.co.uk,Montessori Society AMI UK member directory,
Stisted C of E Primary Academy,admin@stisted.academy,Essex,Stisted,01376 325116,https://www.stisted.academy/welcome,Montessori Society AMI UK member directory,State primary academy using Montessori approach
The Hearth and Horizon,thehearthandhorizon@gmail.com,South West,,,https://gcpdtrainer.co.uk/hearthandhorizon,Montessori Society AMI UK member directory,
The Montessori Infant Community & Clapham Park Montessori,lucia@montessoriclapham.co.uk,London South,London (Clapham),07757 317 179,http://www.montessoriclapham.co.uk,Montessori Society AMI UK member directory,Sister listing of Clapham Park Montessori (same group)
"The Montessori Nursery and School, Murrayfield",info@themontessorinurseryschool.com,Scotland,Edinburgh (Murrayfield),0131 346 8921,https://www.themontessorinurseryschool.com/,Montessori Society AMI UK member directory,
The Montessori Place,info@themontessoriplace.org.uk,South and South East,,01273 773 764,http://www.themontessoriplace.org.uk/,Montessori Society AMI UK member directory,
Under the Willow Nursery,manager@underthewillow.co.uk,London South,London,020 8761 7972,https://www.underthewillow.co.uk/,Montessori Society AMI UK member directory,
Westwood Montessori Nursery,office@mymontessori.org.uk,Essex,,01371 832870,http://westwoodmontessori.co.uk/,Montessori Society AMI UK member directory,
Wharfedale Montessori,secretary@wharfedalemontessori.co.uk,Yorkshire,,01756 710 452,https://www.wharfedalemontessori.co.uk/,Montessori Society AMI UK member directory,
Wildwood Montessori,mail@wildwoodmontessori.com,London South,London,0208 305 2202 or 07710 433 994,http://www.wildwoodmontessori.com,Montessori Society AMI UK member directory,
Windsor Montessori School,menik.ellawala@windsor-montessori.com,Berkshire,Windsor,01344 844592,http://www.windsormontessorischool.co.uk,Montessori Society AMI UK member directory,
Montessori by Busy Bees (East Putney),putney.centredirector@busybees.com,South East,London (Putney),,https://www.busybeeschildcare.co.uk/nursery/east-putney,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 01/01/2026
Haydon Hall Montessori Day Nursery,haydonhall.head@asquithmontessori.co.uk,South East,Harrow,,https://www.brighthorizons.co.uk/our-nurseries/haydon-hall-montessori-day-nursery,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Bright Horizons group; expiry 01/08/2026; MX_FAIL domain dead Jul6 - use phone
Kids Planet Sandbach Montessori,centralsupportenquiries@kidsplanetdaynurseries.co.uk,North West,Sandbach (Cheshire),,https://www.kidsplanetdaynurseries.co.uk/find-a-nursery/sandbach-montessori/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Group central email; expiry 31/03/2026
Fountain Montessori Pre-school (Edgware),admin@fountainmontessori.com,South East,Edgware,,https://fountainmontessori.com/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 01/08/2026
Hopes and Dreams Montessori Nursery (Angel),city@hopesanddreams.co.uk,South East,London (Angel),,https://www.hopesanddreams.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 30/04/2026
Rushbrook Primary Academy,admin@rpa.bright-futures.co.uk,North West,Manchester,,https://rpa.bright-futures.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",State primary academy; expiry 01/07/2026
Milkshake Montessori,info@milkshakemontessori.co.uk,South,Twickenham,,http://milkshakemontessori.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 30/09/2026
The Elms - Early Years Provision,office@elmsschool.co.uk,Midlands,Colwall,,https://www.elmsschool.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Prep school early years; expiry 30/06/2026
Horsham Montessori,info@montessori-uk.co.uk,South East,Horsham,,https://montessori-uk.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 01/03/2026
Holly Tree Montessori Nursery,stockport@hollytreemontessorinursery.co.uk,North West,Stockport,,https://www.hollytreemontessorinursery.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/12/2025
The Lighthouse Nursery School,office@lighthousenurseryschool.co.uk,South,Newington,,https://www.lighthousenurseryschool.co.uk/index.php,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/01/2026
Pear Tree Montessori Nursery,sale@peartreemontessorinursery.co.uk,North West,Sale,,https://www.peartreemontessorinursery.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Accreditation expired 31/10/2024
Village Montessori Nursery,villagemontessori@hotmail.com,Eastern England,Epping (Essex),,,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",No website (Google Maps link in directory); expiry 31/05/2026
Little Gems Montessori Nursery,littlegemsmontessori@outlook.com,South East,Kent,,https://www.littlegemsmontessori.co.uk,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/01/2026
Montessori by Busy Bees (Wandsworth Road),southlambeth.centredirector@busybees.com,South East,London (South Lambeth),,https://www.busybeeschildcare.co.uk/nursery/wandsworth-road,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 01/02/2026
Buttercups Nursery - Chalfont Park,chudasamakirti18@gmail.com,South East,Chalfont Park,,https://www.buttercups-nursery.co.uk,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/01/2026
Fountain Montessori Nursery & Pre-school (St Albans),office@fountainmontessori.com,South East,St Albans,,https://fountainmontessori.com/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 01/08/2026
Fountain Montessori Nursery Pre-school and Nido (Colindale),colindale@fountainmontessori.com,South East,London (Colindale),,https://fountainmontessori.com/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 30/09/2026
Holly Grange Montessori Nursery Lymm,hello@hgmnursery.co.uk,North West,Lymm,,https://hollygrangemontessori.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/01/2026
Hopes and Dreams Montessori Nursery (Old Street),worship@hopesanddreams.co.uk,South East,London (Old Street),,https://www.hopesanddreams.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 30/04/2026
Privett Montessori Nursery School,Veronica@privettmontessori.co.uk,South East,Alton,,https://privettmontessori.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/07/2026
Learning World Montessori,learningworldmontessori@gmail.com,South East,Croydon,,https://learningworldmontessori.co.uk/,"STAR accredited (Montessori Global Education / Montessori St Nicholas, MEAB successor)",Expiry 31/10/2026
